term,relative_frequency
wusste,0.000837404047452896
gar,0.0005582693649685974
passen,4.652244708071645e-05
höchstwahrscheinlich,4.652244708071645e-05
sofort,0.0011165387299371947
wissen,0.0003256571295650151
mal,0.0010234938357757619
begabung,4.652244708071645e-05
dafür,0.0005117469178878809
interessant,4.652244708071645e-05
schon,0.002186555012793673
testament,0.00013956734124214934
erwähnt,0.00013956734124214934
schien,0.000418702023726448
versprach,9.30448941614329e-05
spannend,4.652244708071645e-05
erlaube,4.652244708071645e-05
jederzeit,4.652244708071645e-05
manor,0.0001860897883228658
verlassen,4.652244708071645e-05
kannst,0.00013956734124214934
dreien,4.652244708071645e-05
begleiten,4.652244708071645e-05
solltest,4.652244708071645e-05
alleine,0.0003256571295650151
irgendwo,4.652244708071645e-05
musst,9.30448941614329e-05
zuerst,9.30448941614329e-05
fragen,0.00023261223540358222
begrabe,4.652244708071645e-05
abneigung,4.652244708071645e-05
tot,0.00023261223540358222
verdammt,0.0001860897883228658
sage,0.00013956734124214934
letzten,0.00023261223540358222
vater,0.0008839264945336125
betrifft,4.652244708071645e-05
regel,9.30448941614329e-05
hast,0.0003256571295650151
wegen,0.0003256571295650151
angst,0.00023261223540358222
kannte,9.30448941614329e-05
offenbarte,4.652244708071645e-05
dramatisch,9.30448941614329e-05
rieb,0.00013956734124214934
nebenbei,4.652244708071645e-05
nase,0.0002791346824842987
schwaches,4.652244708071645e-05
lächeln,0.00023261223540358222
lippen,9.30448941614329e-05
zauberte,9.30448941614329e-05
wer,0.0002791346824842987
pate,0.0002791346824842987
kindes,4.652244708071645e-05
lucien,9.30448941614329e-05
tritt,4.652244708071645e-05
sobald,9.30448941614329e-05
eingriff,4.652244708071645e-05
wenige,9.30448941614329e-05
möglichkeiten,4.652244708071645e-05
tun,0.0006978367062107466
hing,9.30448941614329e-05
davon,0.00046522447080716444
ab,0.0008839264945336125
seite,0.00023261223540358222
schöne,0.00013956734124214934
leute,0.0003256571295650151
derart,4.652244708071645e-05
leicht,0.0001860897883228658
bestechen,4.652244708071645e-05
berechenbar,4.652244708071645e-05
gierig,4.652244708071645e-05
liebte,9.30448941614329e-05
sodass,0.0001860897883228658
einfach,0.0005582693649685974
nutzen,4.652244708071645e-05
grimmauld,9.30448941614329e-05
place,9.30448941614329e-05
umzäunten,4.652244708071645e-05
garten,0.0001860897883228658
gesessen,4.652244708071645e-05
wehmütig,4.652244708071645e-05
läufe,4.652244708071645e-05
zurück,0.0006978367062107466
erinnert,9.30448941614329e-05
hund,0.0001860897883228658
begleitet,9.30448941614329e-05
verstand,0.00013956734124214934
sagen,0.0006978367062107466
hundeanimagusform,4.652244708071645e-05
erkannt,9.30448941614329e-05
ganz,0.0005117469178878809
ehrlich,4.652244708071645e-05
gekämpft,9.30448941614329e-05
hätte,0.0009304489416143289
wären,0.0002791346824842987
chancenlos,4.652244708071645e-05
erst,0.0005582693649685974
todesraum,4.652244708071645e-05
erscheinung,4.652244708071645e-05
getreten,9.30448941614329e-05
zusammen,0.0007908816003721796
dahin,4.652244708071645e-05
augenscheinlich,4.652244708071645e-05
jagd,4.652244708071645e-05
abgelenkt,4.652244708071645e-05
mehr,0.001256106071179344
zurückgehalten,9.30448941614329e-05
sicher,0.000418702023726448
nie,0.00046522447080716444
vorgehabt,4.652244708071645e-05
abend,0.0003721795766457316
jemand,0.0002791346824842987
starb,4.652244708071645e-05
warf,0.000418702023726448
resümierend,4.652244708071645e-05
gerade,0.0009769713886950454
herrisch,4.652244708071645e-05
betont,4.652244708071645e-05
fünf,0.0001860897883228658
black,0.00209351011863224
nahm,0.0003256571295650151
absolut,0.00013956734124214934
vielleicht,0.0006978367062107466
weasley,0.0001860897883228658
unsäglichen,4.652244708071645e-05
twins,4.652244708071645e-05
gelaufen,0.00013956734124214934
eng,9.30448941614329e-05
witzig,4.652244708071645e-05
fast,0.0002791346824842987
gleichen,9.30448941614329e-05
worte,0.00023261223540358222
verwendet,4.652244708071645e-05
beliebte,4.652244708071645e-05
bemerken,4.652244708071645e-05
männlichen,4.652244708071645e-05
teilnehmern,4.652244708071645e-05
verband,4.652244708071645e-05
forderte,0.00013956734124214934
urplötzlich,4.652244708071645e-05
ecke,4.652244708071645e-05
erfahren,0.0002791346824842987
wandte,0.00013956734124214934
ja,0.0011165387299371947
wormtail,4.652244708071645e-05
angewandt,4.652244708071645e-05
wobei,0.00023261223540358222
schade,4.652244708071645e-05
wäre,0.0011630611770179111
schiefgegangen,4.652244708071645e-05
leider,0.0003721795766457316
tat,0.0001860897883228658
schön,0.00023261223540358222
fragte,0.0006513142591300302
offenbar,0.00013956734124214934
verhältnis,4.652244708071645e-05
eingeweiht,4.652244708071645e-05
vorsichtig,4.652244708071645e-05
antwortete,0.00023261223540358222
stimmte,9.30448941614329e-05
immer,0.001674808094905792
schockiert,4.652244708071645e-05
geschafft,0.00013956734124214934
überraschen,4.652244708071645e-05
verunsichern,4.652244708071645e-05
brachte,0.0003256571295650151
erweiterte,4.652244708071645e-05
horizont,4.652244708071645e-05
lord,0.0005582693649685974
schätzchen,4.652244708071645e-05
antwort,9.30448941614329e-05
verlegen,4.652244708071645e-05
schlussendlich,4.652244708071645e-05
sekunde,0.00013956734124214934
alter,0.0002791346824842987
mädels,4.652244708071645e-05
lasst,9.30448941614329e-05
ruhe,9.30448941614329e-05
meinte,0.0003721795766457316
bemerkte,0.000418702023726448
gedanklich,4.652244708071645e-05
weit,0.0001860897883228658
sagt,0.00013956734124214934
entscheidung,4.652244708071645e-05
gefallen,9.30448941614329e-05
getan,0.00023261223540358222
kam,0.0011630611770179111
samstag,9.30448941614329e-05
punkte,9.30448941614329e-05
abzuziehen,4.652244708071645e-05
gordon,4.652244708071645e-05
jasper,4.652244708071645e-05
crouch,4.652244708071645e-05
kevin,4.652244708071645e-05
sogar,0.0003721795766457316
bagmann,4.652244708071645e-05
obwohl,0.0001860897883228658
unsinn,9.30448941614329e-05
hielt,0.0003721795766457316
schlug,0.0003721795766457316
statt,9.30448941614329e-05
bekanntesten,4.652244708071645e-05
drei,0.000418702023726448
gegenstände,4.652244708071645e-05
verwandelt,9.30448941614329e-05
ahnung,0.0001860897883228658
versteckt,0.00013956734124214934
fasste,4.652244708071645e-05
außer,0.00013956734124214934
todessern,0.0003721795766457316
anvertraut,4.652244708071645e-05
jedoch,0.000418702023726448
obhut,4.652244708071645e-05
ergänzte,4.652244708071645e-05
mühe,4.652244708071645e-05
bräuchte,9.30448941614329e-05
ganzen,0.00023261223540358222
schrott,4.652244708071645e-05
raum,0.0003256571295650151
wünsche,9.30448941614329e-05
lagern,4.652244708071645e-05
findet,0.00013956734124214934
mensch,9.30448941614329e-05
knurrte,0.0002791346824842987
abraxas,0.0003721795766457316
einziger,4.652244708071645e-05
sohn,0.000837404047452896
schwarzmagische,4.652244708071645e-05
familie,0.0006513142591300302
wohlhabendes,0.00013956734124214934
elternhaus,0.00013956734124214934
einfluss,0.0001860897883228658
