term,relative_frequency
ging,0.0005721121339782597
lange,0.00046809174598221254
diskussion,0.00010402038799604722
ausschweifende,5.201019399802361e-05
erklärung,5.201019399802361e-05
warum,0.00046809174598221254
passiert,0.0003640713579861653
garantiert,5.201019399802361e-05
einlassen,5.201019399802361e-05
niemandem,5.201019399802361e-05
damen,0.00010402038799604722
tisch,0.0010402038799604723
zwei,0.0009361834919644251
drei,0.0007281427159723306
frauen,5.201019399802361e-05
namentlich,5.201019399802361e-05
kannte,5.201019399802361e-05
männer,0.00010402038799604722
darunter,0.00010402038799604722
zogen,0.00010402038799604722
empört,5.201019399802361e-05
luft,0.00020804077599209444
holten,5.201019399802361e-05
zischend,5.201019399802361e-05
wissen,0.00026005096999011807
weiterging,5.201019399802361e-05
nachdem,0.0005721121339782597
biest,5.201019399802361e-05
heilmagie,0.00010402038799604722
angewandt,5.201019399802361e-05
ja,0.0010922140739584958
gebracht,0.00015603058199407084
schauerstory,5.201019399802361e-05
erzählt,0.00026005096999011807
dank,0.0003640713579861653
bücher,5.201019399802361e-05
erlernt,5.201019399802361e-05
schau,0.00010402038799604722
schon,0.0017163364019347792
stunt,5.201019399802361e-05
ersten,0.0005721121339782597
jahr,0.0003120611639881417
katze,0.00020804077599209444
pult,5.201019399802361e-05
gesprungen,5.201019399802361e-05
dabei,0.0003640713579861653
sprung,5.201019399802361e-05
zurückverwandelt,5.201019399802361e-05
art,0.00020804077599209444
wandlung,0.00010402038799604722
nachgelesen,5.201019399802361e-05
richtig,0.00010402038799604722
intensiv,5.201019399802361e-05
beschäftigt,5.201019399802361e-05
magischen,5.201019399802361e-05
phänomen,5.201019399802361e-05
erst,0.0005721121339782597
plötzlichem,5.201019399802361e-05
großes,0.00010402038799604722
thema,0.00010402038799604722
feststand,5.201019399802361e-05
marauder,0.00010402038799604722
explizit,5.201019399802361e-05
vater,0.0004160815519841889
hirsch,0.00020804077599209444
ad,5.201019399802361e-05
acta,5.201019399802361e-05
gelegt,5.201019399802361e-05
sparte,5.201019399802361e-05
magie,5.201019399802361e-05
komplex,5.201019399802361e-05
schwierig,0.00010402038799604722
absolut,5.201019399802361e-05
wurde,0.0014562854319446611
konnte,0.001352265043948614
wählen,5.201019399802361e-05
denke,0.00026005096999011807
mal,0.0008841732979664014
wirklich,0.0007281427159723306
ungerecht,5.201019399802361e-05
hob,0.0004160815519841889
sagte,0.0022364383419150153
ehrlich,0.00010402038799604722
mehr,0.0009881936859624486
darüber,0.0004160815519841889
endlich,0.00026005096999011807
familie,0.0003640713579861653
nächsten,0.0003640713579861653
kam,0.0008321631039683778
erkennen,0.00026005096999011807
situation,0.00015603058199407084
verschlimmerte,5.201019399802361e-05
ganzer,5.201019399802361e-05
hass,5.201019399802361e-05
darin,0.00010402038799604722
manifestierte,5.201019399802361e-05
schlachten,5.201019399802361e-05
liefern,5.201019399802361e-05
verstehst,5.201019399802361e-05
nickte,0.0004160815519841889
sprach,0.0003120611639881417
weiß,0.0007801529099703542
abneigung,5.201019399802361e-05
gegenseitigkeit,5.201019399802361e-05
beruhte,5.201019399802361e-05
wohl,0.0005721121339782597
allein,5.201019399802361e-05
schuld,0.00010402038799604722
zuweisen,5.201019399802361e-05
möchte,0.00010402038799604722
starb,5.201019399802361e-05
glaube,0.00020804077599209444
recht,0.0003640713579861653
geben,0.00026005096999011807
sage,5.201019399802361e-05
verraten,0.0004160815519841889
fühlte,0.00010402038799604722
gesagt,0.000676132521974307
stehst,5.201019399802361e-05
erzfeind,5.201019399802361e-05
annehmen,0.00010402038799604722
verloren,0.00015603058199407084
weggenommen,5.201019399802361e-05
möglicherweise,5.201019399802361e-05
hätte,0.0008321631039683778
müssen,0.0003120611639881417
letzter,0.00015603058199407084
zeit,0.0005721121339782597
erkannt,0.00010402038799604722
wirkliche,5.201019399802361e-05
freundschaft,0.00010402038799604722
vorbehaltlos,5.201019399802361e-05
rückte,5.201019399802361e-05
brille,5.201019399802361e-05
zurecht,0.00010402038799604722
sah,0.0009361834919644251
gerunzelter,0.00010402038799604722
stirn,0.00015603058199407084
gut,0.0005201019399802361
angriff,0.00010402038799604722
betrifft,5.201019399802361e-05
verfüge,5.201019399802361e-05
strafarbeit,0.00015603058199407084
unterzieht,5.201019399802361e-05
selten,5.201019399802361e-05
provozierte,5.201019399802361e-05
prügelei,5.201019399802361e-05
herauf,5.201019399802361e-05
meistens,5.201019399802361e-05
endete,0.00010402038799604722
verhältnisse,5.201019399802361e-05
sowieso,0.00020804077599209444
sätze,5.201019399802361e-05
allgemeine,0.00010402038799604722
gemurmel,5.201019399802361e-05
gryffindors,5.201019399802361e-05
eingesetzt,5.201019399802361e-05
eklat,5.201019399802361e-05
bereits,0.0005201019399802361
vergessen,0.0003120611639881417
plötzlich,0.0003120611639881417
stand,0.0005721121339782597
guten,0.00015603058199407084
abend,5.201019399802361e-05
ms,0.00010402038799604722
haargenau,0.00010402038799604722
törtchen,5.201019399802361e-05
schmollte,0.00010402038799604722
ganze,0.00046809174598221254
halle,0.0008841732979664014
