term,relative_frequency
zukam,6.304375236414071e-05
glaubte,0.00012608750472828143
wissen,0.000441306266548985
wer,0.00037826251418484426
wichtig,0.00025217500945656286
mal,0.0006934812760055479
wichtiger,6.304375236414071e-05
kleiner,6.304375236414071e-05
auszug,6.304375236414071e-05
gibt,0.00018913125709242213
vier,0.00018913125709242213
geschwister,0.0006304375236414071
pollux,0.00018913125709242213
black,0.005106543941495398
cassiopeia,0.000441306266548985
dorea,0.00018913125709242213
blackpollux,6.304375236414071e-05
vater,0.001071743790190392
walburga,0.0006304375236414071
cygnus,0.0005043500189131257
mutter,0.001071743790190392
unverheiratet,0.00012608750472828143
hinterließ,6.304375236414071e-05
malfoycassiopeia,6.304375236414071e-05
nachkommen,6.304375236414071e-05
squib,6.304375236414071e-05
erfährt,0.00018913125709242213
heiratete,0.00012608750472828143
charlus,0.00012608750472828143
sohn,0.0008195687807338293
ruft,6.304375236414071e-05
verlässt,6.304375236414071e-05
währenddessen,6.304375236414071e-05
bühne,6.304375236414071e-05
hause,0.00031521876182070356
zurück,0.00088261253309797
kehren,6.304375236414071e-05
kapitel,0.00025217500945656286
nachtetwa,6.304375236414071e-05
woche,0.00012608750472828143
verkündung,6.304375236414071e-05
urteils,6.304375236414071e-05
saß,0.00031521876182070356
breiten,6.304375236414071e-05
fensterbank,6.304375236414071e-05
zimmers,6.304375236414071e-05
blickte,0.000441306266548985
frühsommerhimmel,6.304375236414071e-05
bereits,0.0005673937712772665
verdunkelte,6.304375236414071e-05
abraxas,0.00037826251418484426
einziger,6.304375236414071e-05
schwarzmagische,6.304375236414071e-05
familie,0.0011978312949186736
wohlhabendes,0.00018913125709242213
elternhaus,0.00018913125709242213
einfluss,0.00012608750472828143
weltkrieg,6.304375236414071e-05
verschollen,0.00012608750472828143
tot,0.00018913125709242213
erklärt,0.00012608750472828143
heiratet,6.304375236414071e-05
geb,0.0005673937712772665
liams,6.304375236414071e-05
blick,0.001134787542554533
wanderte,6.304375236414071e-05
eigenen,6.304375236414071e-05
liste,0.00012608750472828143
liam,0.00012608750472828143
balthasar,6.304375236414071e-05
bruder,0.0007565250283696885
alexander,0.00018913125709242213
eltern,0.0013869625520110957
krieg,0.00012608750472828143
getötet,0.00012608750472828143
heirat,0.00012608750472828143
claire,6.304375236414071e-05
adoptivsohn,6.304375236414071e-05
enkelkinder,6.304375236414071e-05
nahm,0.00012608750472828143
feder,6.304375236414071e-05
tunkte,6.304375236414071e-05
rote,0.00025217500945656286
tinte,6.304375236414071e-05
unterstrich,6.304375236414071e-05
fein,6.304375236414071e-05
säuberlich,6.304375236414071e-05
worte,0.00031521876182070356
sowie,0.00018913125709242213
beiden,0.0009456562854621107
aufzählungen,6.304375236414071e-05
x,0.0007565250283696885
hör,6.304375236414071e-05
läufiger,6.304375236414071e-05
hund,0.00025217500945656286
folgen,0.00012608750472828143
zischte,6.304375236414071e-05
erbost,6.304375236414071e-05
normalen,6.304375236414071e-05
linien,6.304375236414071e-05
sterben,6.304375236414071e-05
aussehen,0.0011978312949186736
erst,0.0006934812760055479
ja,0.00088261253309797
schon,0.00176522506619594
gestorben,0.00012608750472828143
erben,0.00025217500945656286
eingesetzt,0.00012608750472828143
müsste,6.304375236414071e-05
cognatus,6.304375236414071e-05
conscript,6.304375236414071e-05
geändert,0.00012608750472828143
geschehen,0.00018913125709242213
namen,0.00018913125709242213
gewählt,6.304375236414071e-05
all,0.0005673937712772665
stimmberechtigte,6.304375236414071e-05
rechte,0.00012608750472828143
wusste,0.001134787542554533
dingen,6.304375236414071e-05
gewarnt,6.304375236414071e-05
gesagt,0.0005043500189131257
fragte,0.0007565250283696885
verdacht,6.304375236414071e-05
mannes,6.304375236414071e-05
erfahren,6.304375236414071e-05
treue,6.304375236414071e-05
mitglieder,0.00012608750472828143
hauses,0.00012608750472828143
irgendwie,0.00031521876182070356
vernachlässigt,0.00012608750472828143
wurden,0.00037826251418484426
vielleicht,0.00031521876182070356
misshandelt,6.304375236414071e-05
meda,0.00012608750472828143
irgendeine,6.304375236414071e-05
art,0.00018913125709242213
weise,0.00018913125709242213
trotzdem,0.00025217500945656286
vergessen,0.00031521876182070356
versprach,6.304375236414071e-05
blieb,0.00012608750472828143
etwa,0.00012608750472828143
weitere,0.00037826251418484426
halbe,6.304375236414071e-05
stunde,0.00025217500945656286
verschiedene,6.304375236414071e-05
themen,6.304375236414071e-05
sprachen,6.304375236414071e-05
blacks,0.0005043500189131257
onkel,0.0007565250283696885
zurückführten,6.304375236414071e-05
nie,0.0005043500189131257
sinn,0.00012608750472828143
gekommen,0.00018913125709242213
vermissen,6.304375236414071e-05
damals,0.00012608750472828143
bevor,0.000441306266548985
hogwarts,0.0006934812760055479
kamen,0.00031521876182070356
eng,6.304375236414071e-05
miteinander,6.304375236414071e-05
befreundet,6.304375236414071e-05
wiederholte,0.00012608750472828143
eindringlich,6.304375236414071e-05
ehe,0.00037826251418484426
gefolgt,0.00037826251418484426
moira,0.00018913125709242213
ländereien,6.304375236414071e-05
verließ,0.00012608750472828143
voller,0.00012608750472828143
unsicherheit,6.304375236414071e-05
bemerkt,0.00012608750472828143
aufgestanden,6.304375236414071e-05
getreten,6.304375236414071e-05
einerseits,6.304375236414071e-05
andererseits,6.304375236414071e-05
restlichen,6.304375236414071e-05
rumtreibern,6.304375236414071e-05
konnte,0.0014500063043752364
dinge,6.304375236414071e-05
sprechen,0.00018913125709242213
jedoch,0.00025217500945656286
wahren,6.304375236414071e-05
gedanken,0.00025217500945656286
dunklen,0.00025217500945656286
lord,0.00037826251418484426
lieferte,6.304375236414071e-05
informationen,0.00031521876182070356
VOLDEMORT,0.0007565250283696885
wertvoll,6.304375236414071e-05
ansah,0.00012608750472828143
obwohl,0.00031521876182070356
banal,6.304375236414071e-05
vorkommen,6.304375236414071e-05
mussten,0.00012608750472828143
irgendwann,6.304375236414071e-05
eingefallen,6.304375236414071e-05
gesichszüge,6.304375236414071e-05
schwester,0.001134787542554533
angeht,6.304375236414071e-05
glaube,0.00018913125709242213
gerade,0.0008195687807338293
besser,0.00037826251418484426
kennst,6.304375236414071e-05
weißt,0.00018913125709242213
snobistische,6.304375236414071e-05
erscheinung,6.304375236414071e-05
öffentlichkeits,6.304375236414071e-05
wegen,0.00031521876182070356
trägt,6.304375236414071e-05
charakter,0.00025217500945656286
zumindest,0.00012608750472828143
wahrheit,0.00012608750472828143
snob,6.304375236414071e-05
zeigte,6.304375236414071e-05
wirklich,0.001071743790190392
angenommen,0.00012608750472828143
einfach,0.0006304375236414071
hätte,0.0007565250283696885
grunde,0.00025217500945656286
kannte,0.00031521876182070356
gar,0.00031521876182070356
mögliche,6.304375236414071e-05
reden,0.0005673937712772665
aufpassen,6.304375236414071e-05
müssen,0.0007565250283696885
redeten,6.304375236414071e-05
zeit,0.0005673937712772665
lang,0.00031521876182070356
flohnetzwerk,6.304375236414071e-05
aktivierte,6.304375236414071e-05
zuerst,6.304375236414071e-05
fremde,6.304375236414071e-05
frau,0.00037826251418484426
daraus,6.304375236414071e-05
hervor,6.304375236414071e-05
na,0.00018913125709242213
klar,0.00025217500945656286
wahrscheinlich,0.00012608750472828143
teil,0.00012608750472828143
davon,0.000441306266548985
gut,0.0006934812760055479
unterhalten,0.00025217500945656286
gespräch,0.00025217500945656286
entspannte,6.304375236414071e-05
köstliche,6.304375236414071e-05
anblick,0.00012608750472828143
komisches,6.304375236414071e-05
verhalten,0.00012608750472828143
eigentlich,0.000441306266548985
richtig,0.00012608750472828143
fröhlich,0.00012608750472828143
indessen,6.304375236414071e-05
grimmauldplatz,0.00012608750472828143
gegangen,0.00012608750472828143
fertig,6.304375236414071e-05
hob,0.00018913125709242213
sehen,0.0005673937712772665
rachel,6.304375236414071e-05
ebenfalls,0.00031521876182070356
tisch,0.0006934812760055479
saßen,0.00018913125709242213
stillen,6.304375236414071e-05
manchmal,6.304375236414071e-05
cousin,0.0008195687807338293
richtige,0.00018913125709242213
entscheidung,0.00025217500945656286
getroffen,0.00018913125709242213
nymphadora,0.00012608750472828143
sogenannte,6.304375236414071e-05
bagage,6.304375236414071e-05
verstehe,6.304375236414071e-05
warum,0.00012608750472828143
ganze,0.00018913125709242213
aushält,6.304375236414071e-05
sabberhexe,6.304375236414071e-05
seit,0.0007565250283696885
ganz,0.0006934812760055479
klein,0.00012608750472828143
überhaupt,0.000441306266548985
erinnerte,0.00018913125709242213
beschützt,6.304375236414071e-05
bedingungslos,0.00012608750472828143
vertraut,6.304375236414071e-05
älteren,0.00025217500945656286
verlassen,0.00018913125709242213
außen,6.304375236414071e-05
getan,0.00012608750472828143
immer,0.001323918799646955
liebte,0.00018913125709242213
genau,0.00031521876182070356
schwestern,0.0005043500189131257
dritte,0.00018913125709242213
bunde,6.304375236414071e-05
rothaarige,0.00012608750472828143
hexe,6.304375236414071e-05
zuvor,6.304375236414071e-05
male,6.304375236414071e-05
nähe,0.00025217500945656286
aufgefallen,6.304375236414071e-05
wiederum,0.00018913125709242213
demonstrativ,6.304375236414071e-05
schien,0.00025217500945656286
gegenüberliegenden,6.304375236414071e-05
seite,0.00018913125709242213
zwei,0.00037826251418484426
jungen,0.000441306266548985
niedergelassen,0.00012608750472828143
würdigte,6.304375236414071e-05
blickes,6.304375236414071e-05
schätze,6.304375236414071e-05
nachdem,0.00037826251418484426
gryffindor,0.001134787542554533
wohl,0.0006934812760055479
ansehen,0.00018913125709242213
retten,6.304375236414071e-05
deshalb,6.304375236414071e-05
typen,6.304375236414071e-05
angeschleppt,6.304375236414071e-05
erklärte,0.00031521876182070356
dramatisch,6.304375236414071e-05
nickte,0.00025217500945656286
bedrohliche,6.304375236414071e-05
gestalt,6.304375236414071e-05
füllte,6.304375236414071e-05
türrahmen,6.304375236414071e-05
junge,0.00012608750472828143
sprangen,6.304375236414071e-05
lissawichtelkind,6.304375236414071e-05
tears,0.00018913125709242213
into,0.00018913125709242213
winecharaktere,6.304375236414071e-05
blacknebencharaktere,6.304375236414071e-05
fenir,6.304375236414071e-05
greybackwichteln,6.304375236414071e-05
misteln,6.304375236414071e-05
überall,6.304375236414071e-05
gwenny,6.304375236414071e-05
lovegood,6.304375236414071e-05
oo,0.00012608750472828143
familienbandefür,6.304375236414071e-05
wineschon,6.304375236414071e-05
weitem,6.304375236414071e-05
dröhnenden,6.304375236414071e-05
bässe,6.304375236414071e-05
leeren,6.304375236414071e-05
gänge,6.304375236414071e-05
schallen,6.304375236414071e-05
hören,6.304375236414071e-05
recht,0.0005043500189131257
getäuscht,6.304375236414071e-05
versucht,0.000441306266548985
viele,0.00018913125709242213
zuckerwürfel,6.304375236414071e-05
möglich,0.00018913125709242213
stapeln,6.304375236414071e-05
daher,0.00025217500945656286
ausnahme,0.00012608750472828143
schliefen,6.304375236414071e-05
fast,6.304375236414071e-05
stühlen,6.304375236414071e-05
außer,0.00025217500945656286
niemanden,6.304375236414071e-05
gehört,0.00031521876182070356
eher,0.00025217500945656286
reserviert,6.304375236414071e-05
funken,6.304375236414071e-05
liebe,0.00031521876182070356
vergleichbares,6.304375236414071e-05
letzte,0.00031521876182070356
lestrange,0.00088261253309797
angeheiratet,6.304375236414071e-05
vermögen,0.00012608750472828143
vererbt,6.304375236414071e-05
bibliothek,6.304375236414071e-05
bekommen,0.000441306266548985
unterbrach,0.00018913125709242213
augenbraue,6.304375236414071e-05
kurz,0.0006304375236414071
anhob,6.304375236414071e-05
fortfuhr,0.00012608750472828143
ging,0.0007565250283696885
großcousin,0.00018913125709242213
cousine,0.0015760938091035179
grades,6.304375236414071e-05
aaronio,0.00012608750472828143
zurückhalten,6.304375236414071e-05
arrogant,6.304375236414071e-05
hinterhältigwesen,6.304375236414071e-05
vampir,6.304375236414071e-05
elbmixmagieart,6.304375236414071e-05
schwarzmagischblutstatus,0.00012608750472828143
reinblutaugen,6.304375236414071e-05
dunkelblaupate,6.304375236414071e-05
dave,6.304375236414071e-05
ricka,6.304375236414071e-05
lovegoodschule,6.304375236414071e-05
burg,6.304375236414071e-05
big,6.304375236414071e-05
endless,6.304375236414071e-05
powerhaus,6.304375236414071e-05
basilisklieblingsfach,6.304375236414071e-05
zaubertränkte,6.304375236414071e-05
pflegemagiescher,6.304375236414071e-05
geschöpfe,6.304375236414071e-05
gefährlich,0.00012608750472828143
ungefährlich,6.304375236414071e-05
runenkunde,6.304375236414071e-05
wfdlumschulmannschaft,6.304375236414071e-05
quidditch,6.304375236414071e-05
basilisk,6.304375236414071e-05
sucherfreunde,6.304375236414071e-05
aiko,6.304375236414071e-05
dracielia,6.304375236414071e-05
salazakiraclique,6.304375236414071e-05
rebelsrang,6.304375236414071e-05
bodyguard,6.304375236414071e-05
beschützeranimagigestallt,6.304375236414071e-05
grimm,0.00012608750472828143
erbe,0.00025217500945656286
eisphönixlieblingstier,6.304375236414071e-05
wolf,6.304375236414071e-05
drache,6.304375236414071e-05
schlange,0.00012608750472828143
magische,6.304375236414071e-05
tierelieblingsfarbe,6.304375236414071e-05
rot,6.304375236414071e-05
tönepatenkind,6.304375236414071e-05
setzte,0.000441306266548985
tradition,0.00018913125709242213
fort,0.00012608750472828143
kinder,0.001071743790190392
sternen,6.304375236414071e-05
sternenkonstellationen,6.304375236414071e-05
benennen,6.304375236414071e-05
eigener,6.304375236414071e-05
name,0.00037826251418484426
lucairo,6.304375236414071e-05
orion,0.0010087000378262514
iii,0.00018913125709242213
arcturus,0.00025217500945656286
großvater,0.00018913125709242213
väterlicherseits,0.00012608750472828143
melania,0.00012608750472828143
macmillan,0.00012608750472828143
großmutter,0.00025217500945656286
mütterlicherseits,0.00012608750472828143
irma,0.00018913125709242213
druella,0.0005043500189131257
rosier,0.00012608750472828143
tante,0.00031521876182070356
lucretia,0.00012608750472828143
blackwesen,6.304375236414071e-05
vampiremagieart,6.304375236414071e-05
reinblutanimagiegestallt,6.304375236414071e-05
grau,0.00012608750472828143
schwarzer,6.304375236414071e-05
schwarze,0.00012608750472828143
cobrarang,6.304375236414071e-05
stellvertretter,6.304375236414071e-05
clanführersfreunde,6.304375236414071e-05
tomlieblingsfach,6.304375236414071e-05
zaubertränkeschule,6.304375236414071e-05
hogwartsschule,6.304375236414071e-05
hexerei,6.304375236414071e-05
zaubereispitzname,6.304375236414071e-05
regregulus,6.304375236414071e-05
ätere,6.304375236414071e-05
brunder,6.304375236414071e-05
geschockt,0.00012608750472828143
haus,0.0006304375236414071
kommt,0.00031521876182070356
slytherin,0.0006304375236414071
drehte,6.304375236414071e-05
plötzlich,0.00012608750472828143
ruckartig,6.304375236414071e-05
oh,0.00025217500945656286
merlin,0.00025217500945656286
atmete,0.00012608750472828143
heftig,6.304375236414071e-05
wäre,0.0008195687807338293
