term,relative_frequency
bitte,0.00025094852567741167
weiterhin,9.858692080184029e-05
trank,0.00010754936814746214
versorgen,5.97496489708123e-06
dafür,0.00031368565709676455
hinterlasse,2.987482448540615e-06
galleonen,1.194992979416246e-05
sodass,0.00019418635915513996
monatlich,2.987482448540615e-06
versorgst,2.987482448540615e-06
dritten,8.962447345621844e-05
jahr,0.0002389985958832492
wormtail,2.389985958832492e-05
gestellt,5.676216652227168e-05
magisch,1.792489469124369e-05
enttarnt,5.97496489708123e-06
kleinigkeit,5.97496489708123e-06
richtigen,4.481223672810922e-05
zauber,0.00012248678039016521
finden,0.00015833656977265259
kam,0.0007827204015176411
sichtlich,3.286230693394676e-05
bewegt,1.194992979416246e-05
schloss,0.00027783586771427715
gequält,3.584978938248738e-05
augen,0.001147193260239596
schon,0.0019747258984853465
angst,0.00017028649956681504
nächste,7.767454366205598e-05
mal,0.0013593045140859797
hände,0.0002957607624055209
fallen,0.00023601111343470857
all,0.00022704866608908673
menschen,0.00012248678039016521
gar,0.00040629761300152364
schätzen,2.987482448540615e-06
wissen,0.000403310130552983
gehasst,2.0912377139784303e-05
immer,0.0018671765303378842
wusste,0.0007498580945836943
warum,0.0003973351656559018
aufgebracht,2.6887342036865534e-05
recht,0.0003674603411704956
betonen,5.97496489708123e-06
möchte,0.0001374241926328683
behalte,2.987482448540615e-06
gut,0.000869357392525319
erinnerung,6.871209631643415e-05
verurteile,2.987482448540615e-06
geprügelt,2.987482448540615e-06
verteidigte,2.0912377139784303e-05
verteidigt,2.987482448540615e-06
wirklich,0.0006542586562303947
fand,0.0002001613240522212
gereizt,2.389985958832492e-05
leid,0.00013443671018432767
tat,0.00027783586771427715
verliebt,4.481223672810922e-05
wurde,0.0010844561288202432
barsch,5.97496489708123e-06
verteidigst,2.987482448540615e-06
cousin,1.792489469124369e-05
obgleich,8.962447345621844e-06
geschlagen,5.0787201625190454e-05
schlägt,2.0912377139784303e-05
frau,0.00014937412242703075
letzte,0.00017924894691243688
großen,0.0003405729991336301
marauder,3.286230693394676e-05
verräter,6.572461386789353e-05
abgesehen,5.0787201625190454e-05
lebte,4.779971917664984e-05
weich,8.962447345621844e-06
ließ,0.0007647955068263974
bisschen,0.00021509873629492427
gemeißelte,2.987482448540615e-06
emotionslose,2.987482448540615e-06
maske,1.194992979416246e-05
sah,0.0019986257580736715
mitleidig,1.792489469124369e-05
lieber,0.00014638663997849013
netter,5.97496489708123e-06
mann,0.0002658859379201147
wütendes,1.194992979416246e-05
knurren,2.987482448540615e-05
unterbrochen,8.962447345621844e-05
blick,0.0014399665401965763
abwenden,8.962447345621844e-06
wer,0.00020912377139784303
zuckersüßen,2.987482448540615e-06
kommentar,3.883727183102799e-05
abgab,2.987482448540615e-06
unterdrückte,2.987482448540615e-05
gänsehaut,8.962447345621844e-06
überziehen,2.987482448540615e-06
daran,0.0003047232097511427
dachte,0.0004122725778986048
worte,0.0002180862187434649
konsequenzen,1.4937412242703074e-05
ziehen,8.364950855913721e-05
könnten,8.962447345621844e-05
antwortet,2.0912377139784303e-05
fest,0.00031368565709676455
hart,4.1824754279568605e-05
tod,0.00012846174528724643
unsanft,1.194992979416246e-05
geheimnissen,5.97496489708123e-06
erfahren,0.00011651181549308397
