term,relative_frequency
erregte,2.3347575354299457e-05
freund,0.0005369942331488875
wirkte,0.00016343302748009618
tun,0.0003735612056687913
zusammen,0.0007938175620461815
schon,0.001844458452989657
länger,0.00014008545212579673
vermutung,4.669515070859891e-05
gehabt,0.00016343302748009618
reporterin,2.3347575354299457e-05
teil,0.00011673787677149727
wahren,4.669515070859891e-05
total,4.669515070859891e-05
verdrehten,2.3347575354299457e-05
aussagen,4.669515070859891e-05
tagespropheten,0.00011673787677149727
spionage,2.3347575354299457e-05
herangekommen,2.3347575354299457e-05
konnte,0.0012140739184235718
nie,0.00035021363031449183
jemandem,2.3347575354299457e-05
erzählt,0.0002101281781886951
hätten,0.00030351847960589294
dank,9.339030141719783e-05
geschichte,0.000256823328897294
rumtreiber,0.00016343302748009618
recht,0.0003735612056687913
schnell,0.0003969087810230907
idee,0.00014008545212579673
gekommen,0.000256823328897294
nichtregistrierten,2.3347575354299457e-05
animagus,9.339030141719783e-05
könnten,9.339030141719783e-05
beschied,2.3347575354299457e-05
kalt,7.004272606289837e-05
löste,9.339030141719783e-05
bestimmt,0.000256823328897294
entschuldigend,4.669515070859891e-05
ging,0.0007938175620461815
ecke,4.669515070859891e-05
wohlsten,2.3347575354299457e-05
fühlen,2.3347575354299457e-05
sank,9.339030141719783e-05
gegenüber,0.000256823328897294
stuhl,4.669515070859891e-05
platz,0.00030351847960589294
unbesetzt,2.3347575354299457e-05
blieb,0.00016343302748009618
kroch,2.3347575354299457e-05
spät,4.669515070859891e-05
nachts,7.004272606289837e-05
kuschelte,4.669515070859891e-05
wisperte,0.00011673787677149727
ohr,2.3347575354299457e-05
wiesel,2.3347575354299457e-05
wohnzimmer,0.00016343302748009618
gehört,0.00016343302748009618
erstaunlich,7.004272606289837e-05
ruhig,0.00018678060283439565
geredet,7.004272606289837e-05
glaubte,9.339030141719783e-05
gerne,0.00032686605496019236
gut,0.0011440311923606734
tat,0.00030351847960589294
mal,0.0010973360416520743
reflektieren,2.3347575354299457e-05
letzten,0.00030351847960589294
wochen,0.00018678060283439565
geschehen,4.669515070859891e-05
schließlich,0.00028017090425159347
verlust,7.004272606289837e-05
lang,0.00018678060283439565
her,0.0003969087810230907
kannte,9.339030141719783e-05
wäre,0.0005836893838574864
sprachlos,4.669515070859891e-05
tja,0.00014008545212579673
wusste,0.0005369942331488875
sachen,0.0002101281781886951
echt,0.00014008545212579673
schwer,0.00011673787677149727
einzuschätzen,2.3347575354299457e-05
zusätzlich,4.669515070859891e-05
lächelte,0.00011673787677149727
runde,0.00011673787677149727
fragte,0.0007471224113375826
raum,0.00032686605496019236
lange,0.0006303845345660853
weasleys,0.0003735612056687913
sack,2.3347575354299457e-05
pack,2.3347575354299457e-05
seit,0.00032686605496019236
beginn,9.339030141719783e-05
ferien,0.0003735612056687913
nickte,0.00028017090425159347
verstehend,2.3347575354299457e-05
antwortete,0.00032686605496019236
bedeutet,7.004272606289837e-05
freundschaft,4.669515070859891e-05
zerstört,4.669515070859891e-05
ekelst,2.3347575354299457e-05
wandte,0.00014008545212579673
rücken,0.00016343302748009618
sprach,0.00023347575354299455
seufzend,4.669515070859891e-05
weißt,0.00023347575354299455
mag,2.3347575354299457e-05
daran,0.00023347575354299455
denken,9.339030141719783e-05
fledermaus,2.3347575354299457e-05
getan,0.00018678060283439565
hast,0.000513646657794588
schüttelt,4.669515070859891e-05
alt,2.3347575354299457e-05
entscheidung,9.339030141719783e-05
starrte,9.339030141719783e-05
ungläubig,0.00018678060283439565
offenem,4.669515070859891e-05
mund,0.00023347575354299455
sah,0.001330811795195069
ähnlich,7.004272606289837e-05
dreckigste,2.3347575354299457e-05
grinsen,9.339030141719783e-05
gesicht,0.0004669515070859891
bisher,0.00016343302748009618
gesehen,0.000256823328897294
vermute,7.004272606289837e-05
wort,0.0002101281781886951
schrien,4.669515070859891e-05
gleichermaßen,2.3347575354299457e-05
erregt,4.669515070859891e-05
wild,0.00011673787677149727
ja,0.0015642875487380636
weiß,0.0003969087810230907
wirklich,0.0006303845345660853
töten,0.00016343302748009618
nachgedacht,7.004272606289837e-05
mitgenommen,0.00018678060283439565
traf,4.669515070859891e-05
wege,4.669515070859891e-05
eingeschlagen,2.3347575354299457e-05
ahnung,0.00011673787677149727
fall,0.00011673787677149727
vater,0.0003969087810230907
letzter,9.339030141719783e-05
minute,4.669515070859891e-05
weide,0.00014008545212579673
gefischt,2.3347575354299457e-05
witterung,2.3347575354299457e-05
verfolgung,2.3347575354299457e-05
aufgenommen,9.339030141719783e-05
meinte,0.0007004272606289837
klipp,2.3347575354299457e-05
klar,0.00028017090425159347
blass,4.669515070859891e-05
nase,9.339030141719783e-05
richtigen,2.3347575354299457e-05
wölfe,2.3347575354299457e-05
gerettet,7.004272606289837e-05
hauchte,9.339030141719783e-05
indes,4.669515070859891e-05
baff,2.3347575354299457e-05
offenheit,2.3347575354299457e-05
zeigte,0.0002101281781886951
wahrheit,9.339030141719783e-05
richtig,0.00014008545212579673
wurde,0.0014708972473208657
gerügt,2.3347575354299457e-05
verhalten,0.00011673787677149727
gelobt,2.3347575354299457e-05
neugierde,4.669515070859891e-05
gemaßregelt,2.3347575354299457e-05
rechter,2.3347575354299457e-05
hand,0.0004902990824402886
somit,0.00011673787677149727
neben,0.0006770796852746842
sitzen,0.00011673787677149727
bevor,0.0004669515070859891
besitzansprüche,2.3347575354299457e-05
erheben,2.3347575354299457e-05
saß,0.00028017090425159347
rief,0.00030351847960589294
gemacht,0.00035021363031449183
fuchtelte,7.004272606289837e-05
aufgeregt,4.669515070859891e-05
hände,0.0003969087810230907
luft,0.00016343302748009618
verdrehte,7.004272606289837e-05
sichtbar,9.339030141719783e-05
augen,0.0006303845345660853
spielte,7.004272606289837e-05
traurig,9.339030141719783e-05
gab,0.0003735612056687913
moment,0.00035021363031449183
erwachsen,7.004272606289837e-05
ne,4.669515070859891e-05
komplizierte,2.3347575354299457e-05
nummer,9.339030141719783e-05
versucht,9.339030141719783e-05
jahr,0.0004902990824402886
umzubringen,2.3347575354299457e-05
sieht,0.0002101281781886951
sommer,0.00011673787677149727
