term,relative_frequency
erzählte,0.005
geschrien,0.0025
allein,0.005
schuld,0.0025
tod,0.0075
trage,0.0025
gesicht,0.0025
geschlagen,0.0025
laut,0.0025
verteidigte,0.0025
schon,0.0025
merkwürdig,0.0025
genug,0.0025
hätte,0.0025
duell,0.0025
rücken,0.0025
gebundenen,0.0025
händen,0.0025
vernichten,0.0025
schaut,0.0025
fast,0.0025
tag,0.0025
vorbei,0.0025
hinreißende,0.0025
alte,0.0025
dame,0.0025
kennt,0.005
erstaunlichsten,0.0025
geschichten,0.005
sicher,0.0025
erfreut,0.0025
wäre,0.0025
wüsste,0.0025
katze,0.0025
gehabt,0.0025
vielleicht,0.0025
eltern,0.005
s,0.01
hollow,0.01
umgekommen,0.0025
geflohen,0.0025
niemand,0.0025
mehr,0.0025
füttern,0.0025
ersten,0.0025
besen,0.0025
gekauft,0.0025
gekannt,0.0025
einander,0.0025
vorgestellt,0.0025
schließlich,0.0025
erstaunliche,0.0025
erscheint,0.0025
unglaublich,0.0025
zustand,0.0025
zuließ,0.0025
redete,0.005
ort,0.0025
besuchen,0.0025
geliebte,0.0025
menschen,0.0025
verloren,0.0025
ja,0.0025
empfinden,0.0025
menge,0.0025
zufall,0.0025
überlassen,0.0025
nie,0.0025
verraten,0.0025
schwert,0.0025
fälschung,0.0025
ersetzt,0.0025
freundschaft,0.0025
erwähnt,0.0025
zeitpunkt,0.0025
einzige,0.0025
mensch,0.0025
mutter,0.0025
überhaupt,0.0025
rest,0.0025
zaubererwelt,0.0025
schreibt,0.0025
vorzeitigen,0.0025
fehlgeschlagenen,0.0025
zauber,0.0025
geschichte,0.005
späteren,0.0025
jahren,0.0025
wiederholt,0.0025
thema,0.0025
jedoch,0.0025
mühe,0.0025
durchaus,0.0025
wert,0.0025
beschaffung,0.0025
veritaserum,0.0025
gekostet,0.0025
ganze,0.0025
bestgehüteten,0.0025
geheimnisses,0.0025
leben,0.0025
ebendem,0.0025
sommer,0.0025
heimkehrte,0.0025
waise,0.0025
oberhaupt,0.0025
familie,0.0025
erklärte,0.0025
bereit,0.0025
großneffen,0.0025
hause,0.0025
aufzunehmen,0.0025
zeigt,0.0025
aufbewahrten,0.0025
brief,0.0025
tief,0.0025
nacht,0.0025
geschickt,0.0025
