term,relative_frequency
denkarium,0.004761904761904762
gesehen,0.002380952380952381
seltsamen,0.002380952380952381
apparatur,0.002380952380952381
gedanken,0.002380952380952381
erinnerungen,0.002380952380952381
gespeichert,0.002380952380952381
konnten,0.002380952380952381
große,0.002380952380952381
schwarzhaarige,0.002380952380952381
frau,0.004761904761904762
schweren,0.002380952380952381
augenlidern,0.002380952380952381
gericht,0.002380952380952381
gestanden,0.002380952380952381
unverbrüchliche,0.002380952380952381
treue,0.004761904761904762
lord,0.002380952380952381
VOLDEMORT,0.007142857142857143
verkündet,0.002380952380952381
stolz,0.002380952380952381
sturz,0.002380952380952381
finden,0.002380952380952381
versucht,0.002380952380952381
überzeugung,0.002380952380952381
tages,0.002380952380952381
belohnt,0.002380952380952381
deckglas,0.002380952380952381
mochte,0.002380952380952381
gesprungen,0.002380952380952381
kleinen,0.004761904761904762
leute,0.002380952380952381
spähten,0.002380952380952381
hochmütig,0.002380952380952381
darunter,0.002380952380952381
versetzte,0.002380952380952381
leichten,0.002380952380952381
stoß,0.002380952380952381
magen,0.002380952380952381
dunkle,0.002380952380952381
schwerlidrige,0.002380952380952381
deren,0.002380952380952381
prozess,0.002380952380952381
mitverfolgt,0.002380952380952381
erzählt,0.002380952380952381
versprochen,0.002380952380952381
niemandem,0.002380952380952381
sagen,0.002380952380952381
dafür,0.002380952380952381
askaban,0.004761904761904762
geschickt,0.002380952380952381
worden,0.002380952380952381
eltern,0.002380952380952381
traktiert,0.002380952380952381
verstand,0.002380952380952381
verloren,0.002380952380952381
rannte,0.002380952380952381
hals,0.002380952380952381
kopf,0.002380952380952381
davon,0.002380952380952381
blitzschnell,0.002380952380952381
umdrehte,0.002380952380952381
wohl,0.002380952380952381
kaum,0.002380952380952381
sagte,0.007142857142857143
obwohl,0.002380952380952381
erfreut,0.002380952380952381
posten,0.002380952380952381
nie,0.002380952380952381
verlassen,0.002380952380952381
zurückkam,0.002380952380952381
konnte,0.002380952380952381
informationen,0.002380952380952381
geben,0.002380952380952381
sechzehn,0.002380952380952381
jahre,0.002380952380952381
lang,0.002380952380952381
gesammelt,0.002380952380952381
nützlicheres,0.002380952380952381
wiedersehensgeschenk,0.002380952380952381
endlosen,0.002380952380952381
geschichten,0.002380952380952381
ungemütliche,0.002380952380952381
geblieben,0.004761904761904762
ja,0.007142857142857143
zeigte,0.002380952380952381
ersten,0.002380952380952381
mal,0.002380952380952381
anflug,0.002380952380952381
ungeduld,0.002380952380952381
schon,0.002380952380952381
immer,0.002380952380952381
großer,0.002380952380952381
zauberer,0.002380952380952381
o,0.004761904761904762
verächtlich,0.002380952380952381
geschnaubt,0.002380952380952381
weiß,0.002380952380952381
darum,0.002380952380952381
kreacher,0.014285714285714285
gehört,0.004761904761904762
blacks,0.002380952380952381
neue,0.002380952380952381
herrin,0.002380952380952381
geht,0.002380952380952381
siehst,0.002380952380952381
laut,0.002380952380952381
kreachers,0.002380952380952381
anhaltendes,0.002380952380952381
hinweg,0.002380952380952381
zeigt,0.002380952380952381
gewisse,0.002380952380952381
abneigung,0.002380952380952381
besitz,0.002380952380952381
überzugehen,0.002380952380952381
zauberstabmacher,0.002380952380952381
altbekannten,0.002380952380952381
alptraum,0.002380952380952381
sinken,0.002380952380952381
kurzen,0.002380952380952381
moment,0.002380952380952381
kniete,0.002380952380952381
neben,0.002380952380952381
leiche,0.002380952380952381
fuß,0.002380952380952381
höchsten,0.002380952380952381
turmes,0.002380952380952381
hogwarts,0.002380952380952381
wirklichkeit,0.002380952380952381
starrte,0.002380952380952381
gras,0.002380952380952381
zusammengekrümmten,0.002380952380952381
körper,0.002380952380952381
silbernem,0.002380952380952381
messer,0.002380952380952381
erstochen,0.002380952380952381
