term,relative_frequency
DOBBY,0.039473684210526314
gehört,0.0018796992481203006
zauberkräfte,0.0037593984962406013
genannt,0.0018796992481203006
darf,0.0018796992481203006
höhe,0.0018796992481203006
macht,0.0018796992481203006
ebenbürtig,0.0018796992481203006
sir,0.018796992481203006
stimme,0.0037593984962406013
senkte,0.0037593984962406013
dringlichen,0.0018796992481203006
flüstern,0.0018796992481203006
gibt,0.0018796992481203006
kräfte,0.0018796992481203006
anständiger,0.0018796992481203006
zauberer,0.0018796992481203006
bevor,0.0018796992481203006
festhalten,0.0018796992481203006
konnte,0.0037593984962406013
stürzte,0.0018796992481203006
bett,0.0037593984962406013
packte,0.0018796992481203006
schreibtischlampe,0.0018796992481203006
schlug,0.0018796992481203006
ohrenbetäubendem,0.0018796992481203006
jaulen,0.0018796992481203006
kopf,0.0018796992481203006
WINKY,0.007518796992481203
arbeit,0.0018796992481203006
gegeben,0.0018796992481203006
gegangen,0.0018796992481203006
gehen,0.0018796992481203006
genommen,0.0018796992481203006
sagt,0.0018796992481203006
bezahlen,0.0018796992481203006
lohn,0.0018796992481203006
zehn,0.0018796992481203006
galleonen,0.0018796992481203006
woche,0.0018796992481203006
angeboten,0.0018796992481203006
freie,0.0018796992481203006
wochenenden,0.0018796992481203006
sagte,0.0037593984962406013
plötzlich,0.005639097744360902
leiser,0.0018796992481203006
schauder,0.0018796992481203006
überkam,0.0018796992481203006
aussicht,0.0018796992481203006
muße,0.0018796992481203006
reichtum,0.0018796992481203006
erschreckend,0.0018796992481203006
wäre,0.0018796992481203006
runtergehandelt,0.0018796992481203006
miss,0.005639097744360902
mag,0.0037593984962406013
freiheit,0.0018796992481203006
lieber,0.0018796992481203006
arbeiten,0.0018796992481203006
bewahren,0.0037593984962406013
geheimnisse,0.0037593984962406013
brechen,0.0018796992481203006
nie,0.005639097744360902
schweigen,0.0018796992481203006
halten,0.0018796992481203006
ehre,0.0018796992481203006
familie,0.0018796992481203006
aufrecht,0.0018796992481203006
sprechen,0.0018796992481203006
schlecht,0.0018796992481203006
gesagt,0.007518796992481203
sei,0.0018796992481203006
wichtig,0.0018796992481203006
dürfen,0.0018796992481203006
freimütig,0.0018796992481203006
schien,0.0018796992481203006
nervös,0.0018796992481203006
winkte,0.0018796992481203006
näher,0.0018796992481203006
gern,0.0018796992481203006
stolz,0.0018796992481203006
glaubt,0.0018796992481203006
immer,0.0018796992481203006
meister,0.0037593984962406013
sagen,0.0018796992481203006
neuen,0.0018796992481203006
annehmen,0.0018796992481203006
fuhr,0.0018796992481203006
schuldbewusster,0.0018796992481203006
miene,0.0018796992481203006
fort,0.0018796992481203006
benutzt,0.0018796992481203006
betrunken,0.0018796992481203006
raum,0.0037593984962406013
wünsche,0.0018796992481203006
versteckt,0.0018796992481203006
mittel,0.0018796992481203006
butterbier,0.0018796992481203006
gefunden,0.0037593984962406013
hübsches,0.0018796992481203006
elfengroßes,0.0018796992481203006
rausch,0.0018796992481203006
ausschlafen,0.0018796992481203006
weiß,0.0018796992481203006
schon,0.0018796992481203006
putzmittel,0.0018796992481203006
ausgegangen,0.0018796992481203006
wirklich,0.0018796992481203006
mal,0.0037593984962406013
aufs,0.0018796992481203006
klo,0.0018796992481203006
müsstest,0.0018796992481203006
eingefallen,0.0018796992481203006
beim,0.0037593984962406013
letzten,0.0018796992481203006
weihnachtsball,0.0037593984962406013
voller,0.0018796992481203006
nachttöpfe,0.0018796992481203006
bloß,0.0018796992481203006
verrückte,0.0018796992481203006
idee,0.0018796992481203006
kennt,0.0018796992481203006
gegenüber,0.0018796992481203006
erwähnt,0.0018796992481203006
erklär,0.0018796992481203006
woher,0.0018796992481203006
wusste,0.0018796992481203006
keller,0.0018796992481203006
entscheidung,0.0018796992481203006
getroffen,0.0018796992481203006
grab,0.0018796992481203006
ausgehoben,0.0018796992481203006
beschlossen,0.0018796992481203006
gewundenen,0.0018796992481203006
gefährlichen,0.0018796992481203006
weiterzugehen,0.0018796992481203006
gewiesen,0.0018796992481203006
hinzunehmen,0.0018796992481203006
wissen,0.0018796992481203006
stattdessen,0.0018796992481203006
einfach,0.0018796992481203006
vertrauen,0.0018796992481203006
