term,relative_frequency
augenblick,0.0014094432699083862
gehen,0.0021141649048625794
schreckliche,0.0007047216349541931
angelegenheit,0.0007047216349541931
sagte,0.011980267794221282
lässig,0.0007047216349541931
zog,0.0014094432699083862
lange,0.0014094432699083862
pergamentrolle,0.0007047216349541931
hervor,0.0014094432699083862
oh,0.0007047216349541931
immer,0.004228329809725159
ruhe,0.0007047216349541931
nervös,0.0014094432699083862
beurlauben,0.0007047216349541931
nein,0.0021141649048625794
letzte,0.0007047216349541931
ernennung,0.0007047216349541931
entlassung,0.0007047216349541931
schulleiters,0.0014094432699083862
aufgabe,0.0007047216349541931
schulräte,0.0007047216349541931
mr,0.0021141649048625794
beiläufig,0.0007047216349541931
hellblaue,0.0007047216349541931
augen,0.004228329809725159
blickten,0.0007047216349541931
unverwandt,0.0007047216349541931
kalten,0.0007047216349541931
grauen,0.0007047216349541931
worüber,0.0007047216349541931
freute,0.0007047216349541931
wurde,0.0007047216349541931
erst,0.0007047216349541931
gut,0.0007047216349541931
zwei,0.0007047216349541931
wochen,0.0007047216349541931
fortgang,0.0007047216349541931
klar,0.0007047216349541931
verstehe,0.0014094432699083862
langsam,0.0007047216349541931
ausgefuchster,0.0007047216349541931
plan,0.0021141649048625794
gleichmütiger,0.0007047216349541931
stimme,0.0007047216349541931
sah,0.0035236081747709656
fest,0.0007047216349541931
fiel,0.0007047216349541931
schuppen,0.0007047216349541931
hastig,0.0007047216349541931
bitte,0.0007047216349541931
buch,0.0007047216349541931
zurückgeben,0.0007047216349541931
drehte,0.0007047216349541931
magen,0.0007047216349541931
geschichte,0.0007047216349541931
erzählte,0.0007047216349541931
genau,0.0028188865398167725
wissen,0.0014094432699083862
passiert,0.0007047216349541931
zurück,0.0028188865398167725
honigtopf,0.0007047216349541931
kellertreppe,0.0007047216349541931
hinunter,0.0007047216349541931
steinernen,0.0007047216349541931
fußboden,0.0007047216349541931
falltür,0.0007047216349541931
umhang,0.0007047216349541931
klemmte,0.0007047216349541931
arm,0.0014094432699083862
rannte,0.0007047216349541931
nachzudenken,0.0007047216349541931
geheimgang,0.0007047216349541931
entlang,0.0007047216349541931
brauchen,0.0007047216349541931
lehrer,0.0007047216349541931
finden,0.0007047216349541931
mehr,0.0014094432699083862
nähe,0.0007047216349541931
seit,0.0007047216349541931
beobachtet,0.0007047216349541931
