term,relative_frequency
glaubte,0.0020920502092050207
schwert,0.0041841004184100415
erben,0.0020920502092050207
slytherin,0.0020920502092050207
besiegen,0.0020920502092050207
kannte,0.0020920502092050207
schon,0.0020920502092050207
seit,0.0020920502092050207
vielen,0.0020920502092050207
jahren,0.0041841004184100415
reise,0.0020920502092050207
s,0.03138075313807531
hollow,0.029288702928870293
durchaus,0.0020920502092050207
wert,0.0020920502092050207
gelebt,0.0041841004184100415
einziges,0.0020920502092050207
mal,0.0020920502092050207
sechs,0.0020920502092050207
erzählt,0.0020920502092050207
beide,0.0020920502092050207
geliebte,0.0041841004184100415
menschen,0.0041841004184100415
verloren,0.0041841004184100415
dachte,0.0041841004184100415
gräber,0.0020920502092050207
nie,0.0020920502092050207
erwähnt,0.0020920502092050207
mysteriöse,0.0020920502092050207
gegenstände,0.0020920502092050207
testament,0.0020920502092050207
erklärung,0.0020920502092050207
vermacht,0.0020920502092050207
spürte,0.0020920502092050207
dunkelheit,0.0020920502092050207
wachsenden,0.0020920502092050207
unmut,0.0020920502092050207
katze,0.0020920502092050207
gehabt,0.0020920502092050207
vielleicht,0.0020920502092050207
eltern,0.0041841004184100415
umgekommen,0.0020920502092050207
geflohen,0.0020920502092050207
niemand,0.0041841004184100415
mehr,0.0020920502092050207
füttern,0.0020920502092050207
ersten,0.0020920502092050207
besen,0.0020920502092050207
gekauft,0.0020920502092050207
gekannt,0.0020920502092050207
einander,0.0020920502092050207
vorgestellt,0.0020920502092050207
zustand,0.0020920502092050207
zuließ,0.0020920502092050207
redete,0.0041841004184100415
ort,0.0020920502092050207
besuchen,0.0041841004184100415
gewusst,0.0020920502092050207
dorthin,0.0020920502092050207
zurückwillst,0.0020920502092050207
immerhin,0.0020920502092050207
geburtsort,0.0020920502092050207
wirklich,0.0020920502092050207
gryffindors,0.0020920502092050207
glaubst,0.0020920502092050207
hätte,0.0020920502092050207
erwartet,0.0020920502092050207
verbindung,0.0020920502092050207
siehst,0.0020920502092050207
purer,0.0020920502092050207
verzweiflung,0.0020920502092050207
eingeredet,0.0020920502092050207
antworten,0.0020920502092050207
bereithielte,0.0020920502092050207
gegenseitig,0.0020920502092050207
davon,0.0020920502092050207
überzeugt,0.0020920502092050207
zurückgehen,0.0020920502092050207
sollten,0.0020920502092050207
teil,0.0020920502092050207
geheimen,0.0020920502092050207
weges,0.0020920502092050207
sei,0.0020920502092050207
vorgezeichnet,0.0020920502092050207
gab,0.0020920502092050207
karte,0.0020920502092050207
plan,0.0020920502092050207
zweifellos,0.0020920502092050207
kehrte,0.0020920502092050207
sofort,0.0020920502092050207
zurück,0.0020920502092050207
angeblich,0.0020920502092050207
jüngeren,0.0020920502092050207
geschwister,0.0020920502092050207
sorgen,0.0020920502092050207
zeitpunkt,0.0020920502092050207
tod,0.0020920502092050207
einzige,0.0020920502092050207
mensch,0.0020920502092050207
mutter,0.0020920502092050207
überhaupt,0.0020920502092050207
ebendem,0.0020920502092050207
sommer,0.0020920502092050207
heimkehrte,0.0020920502092050207
waise,0.0020920502092050207
oberhaupt,0.0020920502092050207
familie,0.0020920502092050207
erklärte,0.0020920502092050207
bereit,0.0020920502092050207
großneffen,0.0020920502092050207
hause,0.0020920502092050207
aufzunehmen,0.0020920502092050207
stelle,0.0020920502092050207
enthüllt,0.0020920502092050207
entschied,0.0020920502092050207
großtante,0.0020920502092050207
extrem,0.0020920502092050207
schockierend,0.0020920502092050207
viele,0.0020920502092050207
ohren,0.0020920502092050207
klingen,0.0020920502092050207
mag,0.0020920502092050207
enge,0.0020920502092050207
freundschaft,0.0020920502092050207
schloss,0.0020920502092050207
symbol,0.0020920502092050207
miteinander,0.0020920502092050207
verbindet,0.0020920502092050207
