term,relative_frequency
mr,0.008522727272727272
vergangenen,0.002840909090909091
monaten,0.002840909090909091
unermüdlich,0.002840909090909091
vorbereitung,0.002840909090909091
trimagischen,0.002840909090909091
turniers,0.002840909090909091
gearbeitet,0.002840909090909091
fuhr,0.002840909090909091
fort,0.002840909090909091
neben,0.002840909090909091
professor,0.005681818181818182
madame,0.008522727272727272
jury,0.002840909090909091
bilden,0.002840909090909091
leistungen,0.002840909090909091
champions,0.005681818181818182
befindet,0.002840909090909091
aufgaben,0.002840909090909091
jahr,0.002840909090909091
lösen,0.002840909090909091
müssen,0.002840909090909091
bereits,0.002840909090909091
geprüft,0.002840909090909091
sagte,0.008522727272727272
truhe,0.002840909090909091
vorsichtig,0.002840909090909091
tisch,0.005681818181818182
stellte,0.002840909090909091
notwendigen,0.002840909090909091
vorbereitungen,0.002840909090909091
herausforderungen,0.002840909090909091
getroffen,0.002840909090909091
oben,0.002840909090909091
lehrertisch,0.002840909090909091
aufgestanden,0.002840909090909091
vorbei,0.002840909090909091
gerauscht,0.002840909090909091
leichtem,0.002840909090909091
stirnrunzeln,0.002840909090909091
ohr,0.002840909090909091
zuneigte,0.002840909090909091
dringlich,0.002840909090909091
zuflüsterte,0.002840909090909091
podium,0.002840909090909091
leer,0.002840909090909091
tanzte,0.002840909090909091
walzten,0.002840909090909091
breite,0.002840909090909091
schneise,0.002840909090909091
tanzenden,0.002840909090909091
spurlos,0.002840909090909091
verschwunden,0.002840909090909091
glaube,0.002840909090909091
erfreut,0.002840909090909091
wäre,0.002840909090909091
wüsste,0.002840909090909091
mogeln,0.002840909090909091
anstiften,0.002840909090909091
standen,0.002840909090909091
strahlten,0.002840909090909091
entgegen,0.002840909090909091
ufer,0.002840909090909091
zuschwammen,0.002840909090909091
blass,0.002840909090909091
merkwürdig,0.002840909090909091
jünger,0.002840909090909091
aussah,0.002840909090909091
kam,0.002840909090909091
wasser,0.002840909090909091
gepatscht,0.002840909090909091
begrüßen,0.002840909090909091
zogen,0.002840909090909091
beine,0.002840909090909091
griff,0.002840909090909091
entwunden,0.002840909090909091
umarmte,0.002840909090909091
schwester,0.002840909090909091
ungeheuerlich,0.002840909090909091
fauchte,0.002840909090909091
setzte,0.002840909090909091
hinausging,0.002840909090909091
zwei,0.002840909090909091
fragen,0.002840909090909091
zunge,0.002840909090909091
brannten,0.002840909090909091
drehten,0.002840909090909091
schuld,0.002840909090909091
lebender,0.002840909090909091
ähm,0.002840909090909091
wurde,0.002840909090909091
seither,0.002840909090909091
nie,0.002840909090909091
mehr,0.002840909090909091
irgendwelcher,0.002840909090909091
schwarzer,0.002840909090909091
umtriebe,0.002840909090909091
beschuldigt,0.002840909090909091
antwortete,0.002840909090909091
leise,0.002840909090909091
hätte,0.002840909090909091
darauf,0.002840909090909091
gewettet,0.002840909090909091
oh,0.002840909090909091
denke,0.002840909090909091
irgendjemand,0.002840909090909091
glaubt,0.002840909090909091
dementoren,0.002840909090909091
seien,0.002840909090909091
rein,0.002840909090909091
zufällig,0.002840909090909091
gelassen,0.002840909090909091
