term,relative_frequency
zuckte,0.0005730659025787965
zurück,0.0005730659025787965
zwei,0.0005730659025787965
weitere,0.001146131805157593
bonbons,0.0005730659025787965
tüte,0.0005730659025787965
fischte,0.0005730659025787965
schien,0.0017191977077363897
davon,0.0017191977077363897
notiz,0.0005730659025787965
nehmen,0.0005730659025787965
sah,0.0017191977077363897
scharf,0.0005730659025787965
sagte,0.006876790830945559
eulen,0.0005730659025787965
gerüchte,0.0005730659025787965
umherfliegen,0.0005730659025787965
offenbar,0.001146131805157593
punkt,0.0005730659025787965
erreicht,0.0005730659025787965
unbedingt,0.0005730659025787965
reden,0.0005730659025787965
wirklichen,0.0005730659025787965
grund,0.001146131805157593
warum,0.0005730659025787965
ganzen,0.001146131805157593
tag,0.0005730659025787965
kalten,0.0005730659025787965
harten,0.0005730659025787965
mauer,0.001146131805157593
gewartet,0.0005730659025787965
weder,0.0005730659025787965
katze,0.0005730659025787965
frau,0.0005730659025787965
durchdringenden,0.0005730659025787965
blick,0.002292263610315186
festgenagelt,0.0005730659025787965
rief,0.0005730659025787965
sprang,0.0005730659025787965
deutete,0.0005730659025787965
nummer,0.0005730659025787965
geht,0.0005730659025787965
neigten,0.0005730659025787965
köpfe,0.0005730659025787965
leintuchbündel,0.0005730659025787965
einfach,0.0017191977077363897
fassen,0.0005730659025787965
tot,0.001146131805157593
arme,0.0005730659025787965
kleine,0.001146131805157593
muggels,0.0005730659025787965
leben,0.0005730659025787965
ja,0.0017191977077363897
traurig,0.0005730659025787965
reiß,0.0005730659025787965
zusammen,0.0017191977077363897
entdecken,0.0005730659025787965
flüsterte,0.001146131805157593
klopfte,0.0005730659025787965
behutsam,0.0005730659025787965
arm,0.0005730659025787965
niedrige,0.0005730659025787965
gartenmauer,0.0005730659025787965
stieg,0.0005730659025787965
vordereingang,0.0005730659025787965
trat,0.0005730659025787965
ganze,0.0005730659025787965
minute,0.0005730659025787965
lang,0.0005730659025787965
standen,0.0005730659025787965
drei,0.001146131805157593
sahen,0.0005730659025787965
bündel,0.0005730659025787965
schultern,0.0005730659025787965
zuckten,0.0005730659025787965
blinzelte,0.0005730659025787965
heftig,0.0005730659025787965
funkelnde,0.0005730659025787965
licht,0.0005730659025787965
immer,0.005157593123209169
augen,0.0028653295128939827
wohl,0.0005730659025787965
erloschen,0.0005730659025787965
nacht,0.0005730659025787965
sir,0.0005730659025787965
bald,0.0005730659025787965
wiedersehen,0.0005730659025787965
vermute,0.0005730659025787965
nickte,0.0005730659025787965
