term,relative_frequency
holen,0.0027548209366391185
madam,0.03305785123966942
flüsterte,0.005509641873278237
hastete,0.0027548209366391185
fußende,0.0027548209366391185
bett,0.005509641873278237
vorbei,0.0027548209366391185
verschwand,0.0027548209366391185
gewandt,0.005509641873278237
beugte,0.0027548209366391185
statue,0.0027548209366391185
geschmolzen,0.005509641873278237
sagte,0.01928374655647383
schüttelte,0.0027548209366391185
kopf,0.0027548209366391185
bedeutet,0.0027548209366391185
direktor,0.005509641873278237
verzeihung,0.0027548209366391185
kurz,0.0027548209366391185
sprechen,0.0027548209366391185
gelassen,0.0027548209366391185
prustete,0.0027548209366391185
brauchen,0.005509641873278237
pflege,0.0027548209366391185
ruhe,0.0027548209366391185
duldet,0.0027548209366391185
aufschub,0.0027548209366391185
stockte,0.0027548209366391185
atem,0.0027548209366391185
begann,0.0027548209366391185
sofort,0.0027548209366391185
ratschläge,0.0027548209366391185
erteilen,0.0027548209366391185
nannte,0.0027548209366391185
grundlagenwerk,0.0027548209366391185
verschiedensten,0.0027548209366391185
namen,0.0027548209366391185
krankenschwester,0.0027548209366391185
hogwarts,0.0027548209366391185
weisen,0.0027548209366391185
bitte,0.0027548209366391185
unten,0.0027548209366391185
kommen,0.0027548209366391185
tür,0.005509641873278237
aufstieß,0.0027548209366391185
sah,0.0027548209366391185
mrs,0.0027548209366391185
weasley,0.0027548209366391185
zermürbt,0.0027548209366391185
wirkende,0.0027548209366391185
geschart,0.0027548209366391185
vergewisserte,0.0027548209366391185
geschlossen,0.0027548209366391185
schritte,0.0027548209366391185
entfernt,0.0027548209366391185
erst,0.0027548209366391185
hob,0.0027548209366391185
erneut,0.0027548209366391185
stimme,0.0027548209366391185
fort,0.005509641873278237
immer,0.005509641873278237
selbstverständlich,0.0027548209366391185
gehalten,0.0027548209366391185
reizbar,0.0027548209366391185
starrsinnig,0.0027548209366391185
vielleicht,0.0027548209366391185
verlässlich,0.0027548209366391185
stets,0.0027548209366391185
verfügbar,0.0027548209366391185
wundert,0.0027548209366391185
erschrocken,0.0027548209366391185
gesicht,0.0027548209366391185
zeigte,0.0027548209366391185
art,0.0027548209366391185
grimmiges,0.0027548209366391185
einverständnis,0.0027548209366391185
flickt,0.0027548209366391185
zusammen,0.0027548209366391185
wiederholte,0.0027548209366391185
geschichte,0.0027548209366391185
vorkam,0.0027548209366391185
schon,0.0027548209366391185
hundertmal,0.0027548209366391185
erzählt,0.0027548209366391185
müssen,0.0027548209366391185
hoch,0.0027548209366391185
schule,0.0027548209366391185
bringen,0.0027548209366391185
sir,0.0027548209366391185
nein,0.0027548209366391185
