term,relative_frequency
ernennung,0.002857142857142857
wurde,0.005714285714285714
zauberergemeinschaft,0.002857142857142857
überwiegend,0.002857142857142857
begeisterung,0.005714285714285714
aufgenommen,0.002857142857142857
obwohl,0.002857142857142857
wenige,0.002857142857142857
stunden,0.002857142857142857
amtsübernahme,0.002857142857142857
gerüchte,0.002857142857142857
aufkamen,0.002857142857142857
gebe,0.002857142857142857
konflikt,0.005714285714285714
neuen,0.002857142857142857
minister,0.002857142857142857
jüngst,0.002857142857142857
eingesetzten,0.002857142857142857
großmeister,0.002857142857142857
zaubergamots,0.002857142857142857
sprecher,0.002857142857142857
räumten,0.002857142857142857
sofort,0.002857142857142857
übernahme,0.002857142857142857
höchsten,0.002857142857142857
amtes,0.002857142857142857
zusammengetroffen,0.002857142857142857
sei,0.002857142857142857
wollten,0.002857142857142857
jedoch,0.002857142857142857
erörterten,0.002857142857142857
fragen,0.002857142857142857
stellung,0.002857142857142857
nehmen,0.002857142857142857
wartete,0.002857142857142857
sagte,0.014285714285714285
tagesprophet,0.002857142857142857
berichtet,0.002857142857142857
lust,0.002857142857142857
thema,0.002857142857142857
weiterzuverfolgen,0.002857142857142857
wechselte,0.002857142857142857
weiß,0.002857142857142857
versucht,0.002857142857142857
persönlich,0.002857142857142857
wort,0.002857142857142857
einzulegen,0.002857142857142857
befragt,0.002857142857142857
gibt,0.005714285714285714
ungefähr,0.002857142857142857
todesser,0.002857142857142857
mandarine,0.002857142857142857
führungsetage,0.002857142857142857
eindruck,0.002857142857142857
vermitteln,0.002857142857142857
gewisse,0.002857142857142857
fortschritte,0.002857142857142857
leute,0.005714285714285714
klingt,0.002857142857142857
besser,0.002857142857142857
irrtümlich,0.002857142857142857
verhaftet,0.002857142857142857
mal,0.002857142857142857
streng,0.002857142857142857
geheim,0.002857142857142857
werd,0.002857142857142857
ausplaudern,0.002857142857142857
immer,0.002857142857142857
gehütet,0.002857142857142857
augapfel,0.002857142857142857
fragte,0.002857142857142857
irgendeiner,0.002857142857142857
wichtigen,0.002857142857142857
leuten,0.002857142857142857
wirklich,0.002857142857142857
traurig,0.002857142857142857
darüber,0.002857142857142857
tot,0.002857142857142857
treue,0.002857142857142857
natürlich,0.002857142857142857
bewundernswert,0.002857142857142857
ärger,0.002857142857142857
mühsam,0.002857142857142857
zügeln,0.002857142857142857
schien,0.002857142857142857
mehr,0.002857142857142857
tausende,0.002857142857142857
schülern,0.002857142857142857
unterrichtet,0.002857142857142857
fuhr,0.002857142857142857
unbeirrt,0.002857142857142857
fort,0.002857142857142857
leider,0.002857142857142857
stand,0.002857142857142857
schwert,0.005714285714285714
verschenken,0.002857142857142857
deluminator,0.002857142857142857
märchen,0.002857142857142857
beedle,0.002857142857142857
barden,0.002857142857142857
riefen,0.002857142857142857
allseits,0.002857142857142857
hervor,0.002857142857142857
wohingegen,0.002857142857142857
tatsache,0.002857142857142857
bedauert,0.002857142857142857
geweigert,0.002857142857142857
herauszugeben,0.002857142857142857
niemand,0.002857142857142857
irgendeine,0.002857142857142857
erklärung,0.002857142857142857
parat,0.002857142857142857
weshalb,0.002857142857142857
alten,0.002857142857142857
schnatz,0.002857142857142857
vermacht,0.002857142857142857
