term,relative_frequency
vermute,0.00017310022503029253
einzige,0.0017310022503029255
VOLDEMORT,0.027696036004846807
angst,0.0010386013501817552
großes,0.00017310022503029253
rätsel,0.00017310022503029253
warum,0.0006924009001211701
nie,0.0015579020252726328
versucht,0.0005193006750908776
seite,0.0005193006750908776
bringen,0.00017310022503029253
wohl,0.0006924009001211701
gewusst,0.0005193006750908776
nahe,0.00017310022503029253
dunklen,0.0005193006750908776
tun,0.0005193006750908776
sagen,0.0015579020252726328
sei,0.0017310022503029255
je,0.0008655011251514627
nähe,0.00034620045006058506
anrühren,0.00017310022503029253
kommt,0.00017310022503029253
fast,0.00034620045006058506
meinte,0.0005193006750908776
hätte,0.003288904275575558
recht,0.0006924009001211701
stellen,0.00017310022503029253
konnte,0.0024234031504240957
ja,0.0017310022503029255
draht,0.00017310022503029253
allerdings,0.00034620045006058506
sagte,0.009347412151635797
stolz,0.00034620045006058506
hogwarts,0.0013848018002423402
kennen,0.00017310022503029253
gelernt,0.0005193006750908776
unbekannte,0.00017310022503029253
zauberer,0.0015579020252726328
schulleiter,0.0005193006750908776
menschen,0.0008655011251514627
fünfzig,0.00017310022503029253
jahren,0.0006924009001211701
unsichtbares,0.00017310022503029253
phantom,0.00017310022503029253
gut,0.00034620045006058506
rasch,0.00034620045006058506
bett,0.00034620045006058506
starrte,0.0008655011251514627
genauso,0.00034620045006058506
durchdringend,0.00034620045006058506
schon,0.0008655011251514627
kannte,0.0005193006750908776
durchschaut,0.00017310022503029253
schule,0.0005193006750908776
macht,0.0006924009001211701
immer,0.0027696036004846805
heute,0.0006924009001211701
verstecken,0.00017310022503029253
magst,0.00017310022503029253
lächeln,0.00017310022503029253
gesicht,0.0006924009001211701
gewichen,0.00017310022503029253
schaute,0.00017310022503029253
hässlichen,0.00017310022503029253
blick,0.0006924009001211701
lachte,0.00017310022503029253
heftig,0.00017310022503029253
dunkle,0.00017310022503029253
kammer,0.00017310022503029253
davon,0.0005193006750908776
widerhallte,0.00017310022503029253
zehn,0.0005193006750908776
lachten,0.00017310022503029253
schickt,0.00017310022503029253
verteidiger,0.00017310022503029253
messen,0.00017310022503029253
kräfte,0.00017310022503029253
lord,0.003462004500605851
erben,0.00017310022503029253
denen,0.0006924009001211701
berühmten,0.00017310022503029253
besten,0.00017310022503029253
waffen,0.00017310022503029253
geben,0.0005193006750908776
warf,0.00034620045006058506
belustigten,0.00017310022503029253
FAWKES,0.00034620045006058506
sprechenden,0.00017310022503029253
hut,0.00017310022503029253
ging,0.0005193006750908776
meisten,0.00034620045006058506
interessiert,0.00017310022503029253
sanft,0.00017310022503029253
frage,0.0006924009001211701
geschafft,0.00034620045006058506
verzaubern,0.00017310022503029253
kundschafter,0.00017310022503029253
gegenwärtig,0.00017310022503029253
wäldern,0.00017310022503029253
albaniens,0.00017310022503029253
versteckt,0.00017310022503029253
geschrieben,0.00017310022503029253
sechzehn,0.0005193006750908776
nahm,0.0006924009001211701
tagebuch,0.00034620045006058506
hand,0.0005193006750908776
senkte,0.00034620045006058506
neugierig,0.00017310022503029253
lange,0.0005193006750908776
hakennase,0.00017310022503029253
verbrannten,0.00017310022503029253
durchweichten,0.00017310022503029253
seiten,0.00017310022503029253
hinab,0.00017310022503029253
hast,0.0006924009001211701
getroffen,0.00034620045006058506
nachdenklich,0.00017310022503029253
seltsame,0.00034620045006058506
ähnlichkeit,0.00017310022503029253
ach,0.00017310022503029253
dachten,0.00017310022503029253
zeit,0.0010386013501817552
lang,0.0005193006750908776
wäre,0.0010386013501817552
slytherins,0.00017310022503029253
erbe,0.00017310022503029253
parsel,0.0005193006750908776
sprechen,0.0005193006750908776
kannst,0.00017310022503029253
ruhig,0.0006924009001211701
tatsächlich,0.0005193006750908776
letzte,0.0006924009001211701
nachfahre,0.00017310022503029253
ganzem,0.00017310022503029253
herzen,0.00017310022503029253
mrs,0.00017310022503029253
weasley,0.00017310022503029253
sicherste,0.00017310022503029253
ort,0.0005193006750908776
erden,0.00034620045006058506
gerade,0.0005193006750908776
aufhielt,0.00017310022503029253
sagten,0.00017310022503029253
leute,0.0006924009001211701
gehabt,0.0005193006750908776
ausnahme,0.00034620045006058506
natürlich,0.0008655011251514627
treffen,0.00034620045006058506
ende,0.00034620045006058506
vorigen,0.00017310022503029253
schuljahrs,0.00017310022503029253
vorausgesagt,0.00034620045006058506
gelangen,0.00017310022503029253
trance,0.00017310022503029253
beschrieben,0.00017310022503029253
gemeint,0.00017310022503029253
gespielt,0.00017310022503029253
bleibt,0.00017310022503029253
dabei,0.00017310022503029253
vertraut,0.00034620045006058506
weiß,0.0008655011251514627
längst,0.00017310022503029253
misstrauisch,0.00017310022503029253
einfach,0.00034620045006058506
vorstellen,0.00034620045006058506
unterrichten,0.00017310022503029253
ließe,0.00017310022503029253
gearbeitet,0.00034620045006058506
entkommen,0.00034620045006058506
warnen,0.00034620045006058506
schuld,0.0006924009001211701
tot,0.0006924009001211701
sohn,0.0005193006750908776
sag,0.00017310022503029253
stärker,0.0005193006750908776
hol,0.00017310022503029253
loslassen,0.00017310022503029253
wolle,0.00017310022503029253
schreckliches,0.00017310022503029253
getan,0.0010386013501817552
gesagt,0.0008655011251514627
wegen,0.0006924009001211701
beschleunigte,0.00017310022503029253
schritte,0.00017310022503029253
hinaus,0.00034620045006058506
rabenschwarze,0.00017310022503029253
nacht,0.0008655011251514627
flure,0.00017310022503029253
lief,0.00017310022503029253
überlegte,0.00017310022503029253
soeben,0.00034620045006058506
traum,0.0005193006750908776
gesehen,0.0006924009001211701
ebenso,0.00017310022503029253
klar,0.00017310022503029253
deutlich,0.00034620045006058506
ligusterweg,0.00017310022503029253
schlaf,0.00017310022503029253
gerissen,0.00017310022503029253
führte,0.00017310022503029253
einzelheiten,0.00017310022503029253
augen,0.0006924009001211701
später,0.00034620045006058506
daran,0.00017310022503029253
erinnern,0.00017310022503029253
gehört,0.0005193006750908776
beschuldigte,0.00017310022503029253
dummen,0.00017310022503029253
fehler,0.0006924009001211701
gemacht,0.00017310022503029253
uhu,0.00017310022503029253
gute,0.00017310022503029253
nachrichten,0.00017310022503029253
gebracht,0.00017310022503029253
ausgemerzt,0.00017310022503029253
jemand,0.00017310022503029253
deshalb,0.00017310022503029253
schlange,0.0010386013501817552
verfüttert,0.00017310022503029253
statt,0.00017310022503029253
fraß,0.00017310022503029253
vorgeworfen,0.00017310022503029253
gedankenversunken,0.00017310022503029253
steinernen,0.00034620045006058506
wasserspeier,0.00017310022503029253
eingang,0.00017310022503029253
büro,0.00017310022503029253
bewachte,0.00017310022503029253
vorbeigegangen,0.00017310022503029253
sah,0.0005193006750908776
moment,0.0006924009001211701
theorie,0.00017310022503029253
mehr,0.0015579020252726328
auffassung,0.00017310022503029253
narbe,0.0006924009001211701
schmerzt,0.00017310022503029253
sowohl,0.00017310022503029253
besonders,0.00034620045006058506
starke,0.00017310022503029253
woge,0.00017310022503029253
hasses,0.00017310022503029253
überkommt,0.00017310022503029253
dritte,0.00017310022503029253
aufgabe,0.00034620045006058506
sogar,0.00017310022503029253
glaubt,0.0005193006750908776
sage,0.00017310022503029253
vielleicht,0.0015579020252726328
glaubten,0.00017310022503029253
größere,0.00017310022503029253
könne,0.0005193006750908776
existieren,0.00017310022503029253
besiegen,0.0005193006750908776
huldigen,0.00017310022503029253
fürsprecher,0.00017310022503029253
gewöhnlichen,0.00017310022503029253
schlammblüter,0.00017310022503029253
muggel,0.0006924009001211701
augenblick,0.0010386013501817552
verstand,0.00034620045006058506
ersten,0.0005193006750908776
mal,0.0010386013501817552
wirklich,0.00034620045006058506
hieß,0.00017310022503029253
gefürchtet,0.00034620045006058506
anweisungen,0.00017310022503029253
erteilt,0.00017310022503029253
kommen,0.0005193006750908776
gewiss,0.00034620045006058506
crouch,0.00017310022503029253
womöglich,0.00017310022503029253
geglaubt,0.00017310022503029253
befehl,0.00017310022503029253
unnennbaren,0.00017310022503029253
handeln,0.00017310022503029253
wort,0.0008655011251514627
verrückten,0.00017310022503029253
bare,0.00017310022503029253
münze,0.00017310022503029253
nehmen,0.00034620045006058506
stunden,0.00017310022503029253
trimagischen,0.00017310022503029253
pokal,0.00017310022503029253
berührte,0.00017310022503029253
direkt,0.00034620045006058506
transportiert,0.00017310022503029253
fuhr,0.0005193006750908776
unbeeindruckt,0.00017310022503029253
fort,0.0005193006750908776
verzeihen,0.00034620045006058506
fluchnarbe,0.00017310022503029253
alarmglocke,0.00017310022503029253
gewirkt,0.00017310022503029253
hören,0.00017310022503029253
zurückkam,0.0005193006750908776
zurück,0.0012117015752120478
wiederholte,0.00017310022503029253
schlafen,0.00017310022503029253
entgegnete,0.0005193006750908776
wissen,0.0010386013501817552
gefährlichsten,0.00017310022503029253
anhänger,0.00034620045006058506
obhut,0.00017310022503029253
kreaturen,0.00017310022503029253
gestellt,0.00017310022503029253
anschließen,0.00017310022503029253
sobald,0.00017310022503029253
auffordert,0.00017310022503029253
bieten,0.00034620045006058506
freundschaft,0.00017310022503029253
bevor,0.00017310022503029253
spät,0.00017310022503029253
damals,0.0005193006750908776
einreden,0.00017310022503029253
rechte,0.00017310022503029253
freiheiten,0.00017310022503029253
arbeiten,0.00034620045006058506
gedenke,0.00017310022503029253
genau,0.0010386013501817552
anweisung,0.00017310022503029253
übergelaufen,0.00017310022503029253
richtigen,0.00017310022503029253
abgewartet,0.00017310022503029253
gelungen,0.00017310022503029253
überlegten,0.00017310022503029253
her,0.00034620045006058506
unternahm,0.00017310022503029253
marsch,0.00017310022503029253
aufzuhalten,0.00017310022503029253
verstummten,0.00017310022503029253
erst,0.0005193006750908776
imbisswagen,0.00017310022503029253
kam,0.00034620045006058506
