term,relative_frequency
heute,0.005357142857142857
recht,0.0017857142857142857
früh,0.0035714285714285713
büro,0.0017857142857142857
paar,0.0017857142857142857
eulen,0.0017857142857142857
wegzuschicken,0.0017857142857142857
all,0.0017857142857142857
leute,0.0017857142857142857
missbrauch,0.0017857142857142857
magie,0.0017857142857142857
losfliegen,0.0017857142857142857
sehen,0.0035714285714285713
wind,0.0017857142857142857
davon,0.0017857142857142857
kriegt,0.0017857142857142857
genau,0.0017857142857142857
gesehen,0.0017857142857142857
kennst,0.0017857142857142857
sagte,0.008928571428571428
kopf,0.0035714285714285713
erneutem,0.0017857142857142857
augenrollen,0.0017857142857142857
tut,0.0017857142857142857
leid,0.0017857142857142857
ruhiger,0.0017857142857142857
stören,0.0017857142857142857
mal,0.0035714285714285713
einzige,0.0017857142857142857
raushauen,0.0017857142857142857
eigentlich,0.0017857142857142857
neue,0.0017857142857142857
stelle,0.0017857142857142857
antreten,0.0017857142857142857
offenbar,0.0017857142857142857
hilfe,0.0017857142857142857
geeilt,0.0017857142857142857
jahre,0.0017857142857142857
gekommenen,0.0017857142857142857
ministerium,0.0035714285714285713
ruhestand,0.0017857142857142857
versetzt,0.0017857142857142857
unterschied,0.0017857142857142857
händedruck,0.0017857142857142857
mordversuch,0.0017857142857142857
mehr,0.0035714285714285713
erkennen,0.0017857142857142857
vermochte,0.0017857142857142857
niemanden,0.0017857142857142857
überraschen,0.0017857142857142857
ankunft,0.0017857142857142857
mr,0.0035714285714285713
schwer,0.0017857142857142857
bewachtem,0.0017857142857142857
haus,0.0017857142857142857
feststellte,0.0017857142857142857
falschen,0.0017857142857142857
alarm,0.0017857142857142857
geschlagen,0.0017857142857142857
weiß,0.0035714285714285713
stöhnte,0.0017857142857142857
mrs,0.0017857142857142857
weasley,0.0017857142857142857
schritt,0.0017857142857142857
entschiedener,0.0017857142857142857
warten,0.0017857142857142857
autos,0.0017857142857142857
besorgt,0.0017857142857142857
hätte,0.0017857142857142857
heutzutage,0.0017857142857142857
leeres,0.0017857142857142857
tintenfass,0.0017857142857142857
ausleihen,0.0017857142857142857
lassen,0.0017857142857142857
ertragen,0.0017857142857142857
muggel,0.0017857142857142857
bloß,0.0017857142857142857
reisen,0.0017857142857142857
zauberei,0.0017857142857142857
große,0.0017857142857142857
schwarze,0.0017857142857142857
hund,0.0017857142857142857
bellte,0.0017857142857142857
freudig,0.0017857142857142857
sprang,0.0017857142857142857
herum,0.0017857142857142857
schnappte,0.0017857142857142857
tauben,0.0017857142857142857
jagte,0.0017857142857142857
eigenen,0.0017857142857142857
schwanz,0.0017857142857142857
tür,0.0017857142857142857
sobald,0.0017857142857142857
weihnachtsessen,0.0017857142857142857
fertig,0.0017857142857142857
wollten,0.0017857142857142857
weasleys,0.0017857142857142857
eskortiert,0.0017857142857142857
besuchen,0.0017857142857142857
saßen,0.0017857142857142857
vorbeigeschaut,0.0017857142857142857
beglückwünschen,0.0017857142857142857
ja,0.0017857142857142857
denk,0.0017857142857142857
schon,0.0017857142857142857
führte,0.0017857142857142857
hinein,0.0017857142857142857
küche,0.0017857142857142857
lachend,0.0017857142857142857
schwatzend,0.0017857142857142857
stühlen,0.0017857142857142857
niederließen,0.0017857142857142857
tante,0.0017857142857142857
glänzende,0.0017857142857142857
arbeitsplatten,0.0017857142857142857
hockten,0.0017857142857142857
makellos,0.0017857142857142857
sauberen,0.0017857142857142857
haushaltsgeräte,0.0017857142857142857
lehnten,0.0017857142857142857
lang,0.0017857142857142857
schlaksig,0.0017857142857142857
buschige,0.0017857142857142857
haar,0.010714285714285714
langen,0.005357142857142857
zopf,0.0017857142857142857
zurückgebunden,0.0017857142857142857
ununterscheidbar,0.0017857142857142857
grinsend,0.0017857142857142857
üblen,0.0017857142857142857
narben,0.0017857142857142857
haaren,0.0017857142857142857
freundlichem,0.0017857142857142857
gesicht,0.0017857142857142857
schütterem,0.0017857142857142857
leicht,0.0017857142857142857
schief,0.0017857142857142857
sitzender,0.0017857142857142857
brille,0.0017857142857142857
kampf,0.0017857142857142857
gezeichnet,0.0017857142857142857
bein,0.0017857142857142857
strahlend,0.0017857142857142857
blauen,0.0017857142857142857
auge,0.0017857142857142857
höhle,0.0017857142857142857
surrte,0.0017857142857142857
kurzes,0.0017857142857142857
lieblingsfarbe,0.0017857142857142857
trug,0.0017857142857142857
knalligen,0.0017857142857142857
pink,0.0017857142857142857
grauer,0.0017857142857142857
faltiger,0.0017857142857142857
schlank,0.0017857142857142857
schön,0.0017857142857142857
silbrig,0.0017857142857142857
blonden,0.0017857142857142857
kahlköpfig,0.0017857142857142857
schwarz,0.0017857142857142857
breitschultrig,0.0017857142857142857
struppigen,0.0017857142857142857
bart,0.0017857142857142857
gebückt,0.0017857142857142857
dastand,0.0017857142857142857
decke,0.0017857142857142857
stoßen,0.0017857142857142857
klein,0.0017857142857142857
schmutzig,0.0017857142857142857
erbärmlich,0.0017857142857142857
matten,0.0017857142857142857
bassetartigen,0.0017857142857142857
hundeaugen,0.0017857142857142857
verfilzten,0.0017857142857142857
zwilling,0.0017857142857142857
deutete,0.0017857142857142857
