term,relative_frequency
entzückte,0.0012738853503184713
sagte,0.006369426751592357
gegenüber,0.0012738853503184713
tagespropheten,0.0012738853503184713
gold,0.0012738853503184713
sommerurlaub,0.0012738853503184713
ägypten,0.0012738853503184713
ausgeben,0.0012738853503184713
ältester,0.0025477707006369425
sohn,0.005095541401273885
fluchbrecher,0.0012738853503184713
arbeitet,0.0012738853503184713
ah,0.0012738853503184713
ja,0.0012738853503184713
grinsend,0.0025477707006369425
gerade,0.0025477707006369425
ministerium,0.0012738853503184713
angefangen,0.0012738853503184713
nein,0.0012738853503184713
tut,0.0012738853503184713
leid,0.0012738853503184713
tochter,0.0012738853503184713
freunde,0.0012738853503184713
grüne,0.0012738853503184713
rosetten,0.0012738853503184713
vorzuzeigen,0.0012738853503184713
trug,0.0025477707006369425
irische,0.0012738853503184713
flagge,0.0012738853503184713
schon,0.0012738853503184713
liefen,0.0012738853503184713
näher,0.0012738853503184713
kommenden,0.0012738853503184713
marschierern,0.0012738853503184713
entgegen,0.0012738853503184713
eilte,0.0012738853503184713
beweisen,0.0012738853503184713
kochte,0.0012738853503184713
mrs,0.006369426751592357
weasley,0.007643312101910828
tasse,0.0012738853503184713
starken,0.0012738853503184713
tee,0.0012738853503184713
unbedingt,0.0012738853503184713
schuss,0.0012738853503184713
alten,0.0012738853503184713
feuerwhisky,0.0012738853503184713
kippen,0.0012738853503184713
reichte,0.0012738853503184713
vater,0.0025477707006369425
zeitung,0.0025477707006369425
hörte,0.0012738853503184713
hastig,0.0012738853503184713
mädchen,0.0012738853503184713
verabschiedete,0.0012738853503184713
kaum,0.0012738853503184713
verschwunden,0.0012738853503184713
traten,0.0012738853503184713
küche,0.0025477707006369425
ende,0.0012738853503184713
tisches,0.0012738853503184713
köpfe,0.0012738853503184713
zusammengesteckt,0.0012738853503184713
redeten,0.0012738853503184713
leise,0.0012738853503184713
miteinander,0.0012738853503184713
gespräch,0.0012738853503184713
kobolde,0.0012738853503184713
vertieft,0.0012738853503184713
blickte,0.0012738853503184713
reihum,0.0012738853503184713
stelle,0.0012738853503184713
erschien,0.0012738853503184713
brille,0.0025477707006369425
schief,0.0025477707006369425
nase,0.0012738853503184713
rinnsal,0.0012738853503184713
blut,0.0012738853503184713
gesicht,0.003821656050955414
manchmal,0.0012738853503184713
brachten,0.0012738853503184713
neuigkeiten,0.0012738853503184713
hause,0.0012738853503184713
ehe,0.0012738853503184713
überhaupt,0.0012738853503184713
gelangten,0.0012738853503184713
wiedersehen,0.0012738853503184713
sagen,0.0012738853503184713
allesamt,0.0012738853503184713
arbeiten,0.0012738853503184713
unterwegs,0.0012738853503184713
bann,0.0012738853503184713
musik,0.0012738853503184713
gebrochen,0.0012738853503184713
sammelten,0.0012738853503184713
trance,0.0012738853503184713
