term,relative_frequency
gesagt,0.003105590062111801
dienstag,0.003105590062111801
fertig,0.003105590062111801
erklärte,0.003105590062111801
nachdruck,0.003105590062111801
oh,0.009316770186335404
ganz,0.003105590062111801
nett,0.003105590062111801
natürlich,0.006211180124223602
sagte,0.012422360248447204
geringschätzig,0.003105590062111801
jemals,0.003105590062111801
abteilungsleiter,0.003105590062111801
konnte,0.003105590062111801
vergleiche,0.003105590062111801
glaubte,0.003105590062111801
fest,0.003105590062111801
strenge,0.003105590062111801
einhaltung,0.003105590062111801
vorschriften,0.003105590062111801
vorschrift,0.003105590062111801
muggelkleidung,0.003105590062111801
anzuziehen,0.003105590062111801
gründlich,0.003105590062111801
befolgt,0.003105590062111801
filialleiter,0.003105590062111801
bank,0.003105590062111801
hätte,0.003105590062111801
durchgehen,0.003105590062111801
warf,0.006211180124223602
milde,0.003105590062111801
überraschten,0.003105590062111801
blick,0.003105590062111801
könnten,0.003105590062111801
recht,0.003105590062111801
nahm,0.003105590062111801
tasse,0.003105590062111801
tee,0.003105590062111801
entgegen,0.003105590062111801
sagt,0.003105590062111801
schon,0.006211180124223602
seit,0.003105590062111801
wochen,0.003105590062111801
rasch,0.003105590062111801
seite,0.003105590062111801
professor,0.003105590062111801
saß,0.009316770186335404
neben,0.003105590062111801
madame,0.003105590062111801
chef,0.006211180124223602
lag,0.003105590062111801
frage,0.003105590062111801
zunge,0.003105590062111801
aufgehört,0.003105590062111801
weatherby,0.003105590062111801
nennen,0.003105590062111801
widerstand,0.003105590062111801
versuchung,0.003105590062111801
sicher,0.003105590062111801
nu,0.003105590062111801
beinen,0.003105590062111801
wichtiger,0.003105590062111801
miene,0.003105590062111801
dahin,0.003105590062111801
gern,0.003105590062111801
bereit,0.003105590062111801
einzuspringen,0.003105590062111801
richtertisch,0.003105590062111801
erschienen,0.003105590062111801
vorgeschlagen,0.003105590062111801
brief,0.003105590062111801
dabei,0.003105590062111801
fragten,0.003105590062111801
letzter,0.003105590062111801
zeit,0.003105590062111801
gesehen,0.003105590062111801
ministerium,0.006211180124223602
verschwinden,0.003105590062111801
vertraulich,0.003105590062111801
behandeln,0.003105590062111801
wegen,0.003105590062111801
anweisungen,0.003105590062111801
geschickt,0.003105590062111801
hart,0.003105590062111801
gebet,0.003105590062111801
genommen,0.003105590062111801
tatsächlich,0.003105590062111801
gelungen,0.003105590062111801
bemerken,0.003105590062111801
lord,0.003105590062111801
VOLDEMORT,0.003105590062111801
beherrscht,0.003105590062111801
wurde,0.003105590062111801
allerdings,0.003105590062111801
geglaubt,0.003105590062111801
gedacht,0.003105590062111801
sei,0.003105590062111801
verrückt,0.003105590062111801
geworden,0.003105590062111801
