term,relative_frequency
autorin,0.003787878787878788
geschichte,0.007575757575757576
zauberei,0.007575757575757576
sagte,0.007575757575757576
sah,0.007575757575757576
interessiert,0.003787878787878788
eltern,0.003787878787878788
kommt,0.003787878787878788
buch,0.003787878787878788
zuklappte,0.003787878787878788
neunzehnten,0.003787878787878788
jahrhundert,0.003787878787878788
passiert,0.003787878787878788
mehr,0.003787878787878788
behandelt,0.003787878787878788
murmelte,0.003787878787878788
fuhr,0.003787878787878788
zeigefinger,0.003787878787878788
namen,0.003787878787878788
umschlag,0.003787878787878788
geprägt,0.003787878787878788
schlurfte,0.007575757575757576
vorbei,0.003787878787878788
schob,0.003787878787878788
beiseite,0.003787878787878788
hätte,0.003787878787878788
gesehen,0.003787878787878788
verschwand,0.003787878787878788
art,0.003787878787878788
wohnzimmer,0.003787878787878788
stand,0.003787878787878788
mitten,0.003787878787878788
zimmer,0.011363636363636364
feuer,0.003787878787878788
entfachte,0.003787878787878788
anzumerken,0.003787878787878788
gehört,0.007575757575757576
schritte,0.003787878787878788
aufmachen,0.003787878787878788
schüttelte,0.003787878787878788
überraschend,0.003787878787878788
energisch,0.003787878787878788
kopf,0.007575757575757576
deutete,0.003787878787878788
zuerst,0.003787878787878788
ging,0.003787878787878788
ließ,0.003787878787878788
merkten,0.003787878787878788
silbern,0.003787878787878788
gerahmte,0.003787878787878788
foto,0.003787878787878788
unbekannten,0.003787878787878788
diebs,0.003787878787878788
jacke,0.003787878787878788
gleiten,0.003787878787878788
sobald,0.003787878787878788
oben,0.003787878787878788
schickte,0.003787878787878788
schlange,0.007575757575757576
botschaft,0.003787878787878788
gespürt,0.003787878787878788
erregte,0.003787878787878788
wies,0.003787878787878788
aufzuhalten,0.003787878787878788
erinnerte,0.003787878787878788
hals,0.003787878787878788
gekrochen,0.003787878787878788
einzelheiten,0.003787878787878788
konnte,0.003787878787878788
ersparen,0.003787878787878788
