term,relative_frequency
tatsächlich,0.002881844380403458
hielt,0.002881844380403458
beifall,0.002881844380403458
lange,0.002881844380403458
zeit,0.005763688760806916
brauchte,0.002881844380403458
gehör,0.002881844380403458
verschaffen,0.002881844380403458
schlage,0.002881844380403458
geht,0.002881844380403458
oben,0.002881844380403458
sagte,0.008645533141210375
lächelte,0.002881844380403458
beiden,0.002881844380403458
wäre,0.005763688760806916
erste,0.002881844380403458
verschwendet,0.002881844380403458
irgendjemanden,0.002881844380403458
kümmern,0.002881844380403458
wasserlied,0.002881844380403458
ernst,0.002881844380403458
genommen,0.002881844380403458
kauerte,0.002881844380403458
ufer,0.002881844380403458
vertieft,0.002881844380403458
gespräch,0.002881844380403458
wassermenschen,0.002881844380403458
offenbar,0.002881844380403458
anführerin,0.002881844380403458
besonders,0.002881844380403458
wild,0.002881844380403458
grimmig,0.002881844380403458
aussehenden,0.002881844380403458
nixe,0.002881844380403458
krank,0.002881844380403458
verletzt,0.002881844380403458
eltern,0.002881844380403458
tribüne,0.002881844380403458
nehme,0.002881844380403458
nehm,0.002881844380403458
schon,0.002881844380403458
nein,0.002881844380403458
besser,0.002881844380403458
läuft,0.002881844380403458
amos,0.002881844380403458
kommt,0.002881844380403458
rüber,0.002881844380403458
sollten,0.002881844380403458
sagen,0.002881844380403458
bevor,0.002881844380403458
sieht,0.002881844380403458
heißt,0.002881844380403458
fuhr,0.005763688760806916
langsam,0.002881844380403458
unverwandtem,0.002881844380403458
blick,0.002881844380403458
fort,0.005763688760806916
irgendeiner,0.002881844380403458
gestalt,0.002881844380403458
erschienen,0.002881844380403458
echo,0.002881844380403458
erscheinung,0.002881844380403458
wesen,0.002881844380403458
barg,0.002881844380403458
mensch,0.002881844380403458
viele,0.002881844380403458
tugenden,0.002881844380403458
haus,0.002881844380403458
hufflepuff,0.002881844380403458
auszeichnen,0.002881844380403458
vereinte,0.002881844380403458
jemand,0.002881844380403458
zusammenhang,0.002881844380403458
tod,0.002881844380403458
erwähnt,0.002881844380403458
mitten,0.002881844380403458
rasen,0.002881844380403458
aufgetaucht,0.002881844380403458
hattest,0.002881844380403458
toten,0.002881844380403458
gepresst,0.002881844380403458
niemand,0.002881844380403458
gesehen,0.002881844380403458
irrgarten,0.002881844380403458
passiert,0.002881844380403458
wort,0.002881844380403458
wonach,0.002881844380403458
VOLDEMORT,0.002881844380403458
zurückgekommen,0.002881844380403458
getötet,0.005763688760806916
gekämpft,0.002881844380403458
letztes,0.002881844380403458
jahr,0.002881844380403458
gesagt,0.002881844380403458
erwiderte,0.002881844380403458
abweisend,0.002881844380403458
wurde,0.002881844380403458
leiche,0.002881844380403458
hogwarts,0.002881844380403458
zurückgebracht,0.002881844380403458
hast,0.002881844380403458
