term,relative_frequency
dabei,0.004878048780487805
günstig,0.0024390243902439024
weggekommen,0.0024390243902439024
amos,0.004878048780487805
wandte,0.0024390243902439024
wohlwollendem,0.0024390243902439024
blick,0.0024390243902439024
drei,0.0024390243902439024
freundin,0.0024390243902439024
freund,0.0024390243902439024
beim,0.0024390243902439024
barte,0.0024390243902439024
merlin,0.0024390243902439024
sagte,0.004878048780487805
augen,0.004878048780487805
weiteten,0.0024390243902439024
aß,0.0024390243902439024
mühe,0.0024390243902439024
schinken,0.0024390243902439024
schlucken,0.0024390243902439024
schwierigkeiten,0.0024390243902439024
aufstand,0.0024390243902439024
sah,0.004878048780487805
verlassen,0.0024390243902439024
wusste,0.004878048780487805
drachen,0.0024390243902439024
einzige,0.0024390243902439024
champion,0.0024390243902439024
ahnung,0.0024390243902439024
sicher,0.0024390243902439024
madame,0.0024390243902439024
schützlingen,0.0024390243902439024
gesagt,0.0024390243902439024
sehen,0.0024390243902439024
gewächshaus,0.0024390243902439024
gefolgt,0.0024390243902439024
entschluss,0.0024390243902439024
gefasst,0.0024390243902439024
madam,0.0024390243902439024
herumwirbelte,0.0024390243902439024
allesamt,0.0024390243902439024
dicke,0.0024390243902439024
decken,0.0024390243902439024
eingewickelt,0.0024390243902439024
gryffindors,0.0024390243902439024
tischauf,0.0024390243902439024
tischab,0.0024390243902439024
klatschten,0.0024390243902439024
beifall,0.0024390243902439024
weasleys,0.0024390243902439024
wünschten,0.0024390243902439024
glück,0.0024390243902439024
gemeinsam,0.0024390243902439024
verließ,0.0024390243902439024
große,0.0024390243902439024
halle,0.004878048780487805
ganze,0.0024390243902439024
klasse,0.0024390243902439024
schien,0.0024390243902439024
gleichzeitig,0.0024390243902439024
luft,0.0024390243902439024
schnappen,0.0024390243902439024
außer,0.0024390243902439024
je,0.0024390243902439024
sprechen,0.0024390243902439024
hören,0.0024390243902439024
nacht,0.0024390243902439024
gestorben,0.0024390243902439024
ereignet,0.0024390243902439024
richtiges,0.0024390243902439024
gespräch,0.0024390243902439024
zustande,0.0024390243902439024
gebracht,0.0024390243902439024
einziges,0.0024390243902439024
mal,0.0024390243902439024
trottel,0.0024390243902439024
angestellt,0.0024390243902439024
wirklich,0.0024390243902439024
mutig,0.004878048780487805
gewehrt,0.0024390243902439024
hast,0.0024390243902439024
genannt,0.0024390243902439024
hasste,0.0024390243902439024
lebte,0.0024390243902439024
natürlich,0.0024390243902439024
vorzug,0.0024390243902439024
gegeben,0.0024390243902439024
wegen,0.0024390243902439024
weihnachtsballs,0.0024390243902439024
gefragt,0.0024390243902439024
hätte,0.0024390243902439024
vielleicht,0.0024390243902439024
wäre,0.0024390243902439024
gekommen,0.0024390243902439024
offensichtlich,0.0024390243902439024
aufrichtig,0.0024390243902439024
leidgetan,0.0024390243902439024
damals,0.0024390243902439024
absagen,0.0024390243902439024
müssen,0.0024390243902439024
morgen,0.0024390243902439024
begrüßte,0.0024390243902439024
strahlend,0.0024390243902439024
großen,0.0024390243902439024
setzte,0.0024390243902439024
angehängt,0.0024390243902439024
kriegst,0.0024390243902439024
irgendwas,0.0024390243902439024
falschen,0.0024390243902439024
hilflos,0.0024390243902439024
blickte,0.0024390243902439024
kopf,0.0024390243902439024
geschlagen,0.0024390243902439024
