term,relative_frequency
rumänien,0.0041753653444676405
erforscht,0.0020876826722338203
drachen,0.0041753653444676405
afrika,0.0020876826722338203
erledigt,0.0020876826722338203
gringotts,0.0020876826722338203
sagte,0.018789144050104383
arbeit,0.0020876826722338203
erzählte,0.0041753653444676405
zog,0.0020876826722338203
blatt,0.0020876826722338203
papier,0.0020876826722338203
teehaube,0.0020876826722338203
hervor,0.0020876826722338203
hören,0.0020876826722338203
altem,0.0020876826722338203
besen,0.0041753653444676405
fast,0.0020876826722338203
drachenflieger,0.0020876826722338203
zusammengestoßen,0.0020876826722338203
sei,0.0020876826722338203
brüder,0.0020876826722338203
blieben,0.0020876826722338203
mr,0.0020876826722338203
mrs,0.0041753653444676405
weasley,0.0041753653444676405
fuhren,0.0020876826722338203
besuchen,0.0020876826722338203
haus,0.0020876826722338203
mehr,0.0020876826722338203
gewonnen,0.0020876826722338203
seit,0.0020876826722338203
legendäre,0.0020876826722338203
zweitältester,0.0020876826722338203
bruder,0.0020876826722338203
sucher,0.0020876826722338203
gespielt,0.0020876826722338203
ähnlich,0.0020876826722338203
gebaut,0.0020876826722338203
zwillinge,0.0020876826722338203
kleiner,0.0020876826722338203
stämmiger,0.0020876826722338203
beide,0.0020876826722338203
groß,0.0020876826722338203
schlaksig,0.0020876826722338203
komm,0.0041753653444676405
hastig,0.0020876826722338203
kramte,0.0020876826722338203
hand,0.0020876826722338203
voll,0.0020876826722338203
besteck,0.0020876826722338203
schublade,0.0020876826722338203
gehen,0.0020876826722338203
draußen,0.0020876826722338203
helfen,0.0020876826722338203
schicke,0.0020876826722338203
mittag,0.0020876826722338203
mann,0.0020876826722338203
gewandt,0.0020876826722338203
gingen,0.0020876826722338203
hinaus,0.0020876826722338203
folgten,0.0020876826722338203
hof,0.0020876826722338203
ah,0.0020876826722338203
ja,0.0041753653444676405
grinsend,0.0020876826722338203
sohn,0.0020876826722338203
gerade,0.0020876826722338203
ministerium,0.0020876826722338203
angefangen,0.0020876826722338203
nein,0.0020876826722338203
tut,0.0020876826722338203
leid,0.0020876826722338203
tochter,0.0020876826722338203
freunde,0.0020876826722338203
schon,0.0020876826722338203
drei,0.0041753653444676405
spielen,0.006263048016701462
kannst,0.0020876826722338203
ausprobieren,0.0020876826722338203
augenblick,0.0020876826722338203
quidditch,0.0041753653444676405
macht,0.0020876826722338203
sorgen,0.0020876826722338203
müde,0.0020876826722338203
brauchen,0.0020876826722338203
schlaf,0.0020876826722338203
plötzlich,0.0020876826722338203
neuen,0.0041753653444676405
kessel,0.0020876826722338203
alter,0.0020876826722338203
rostet,0.0020876826722338203
neue,0.0020876826722338203
ratte,0.0020876826722338203
hast,0.0020876826722338203
KRAETZE,0.0020876826722338203
immer,0.0020876826722338203
gemocht,0.0020876826722338203
mum,0.0041753653444676405
hoffnungsvoll,0.0020876826722338203
wow,0.0020876826722338203
weiß,0.0020876826722338203
eins,0.0020876826722338203
getragen,0.0020876826722338203
betrachtete,0.0020876826722338203
freudig,0.0020876826722338203
abzeichen,0.0020876826722338203
gut,0.0020876826722338203
heimkommt,0.0020876826722338203
allein,0.0020876826722338203
dachkammer,0.0020876826722338203
schläft,0.0041753653444676405
weihnachten,0.0020876826722338203
gelaufen,0.0020876826722338203
murmelte,0.0020876826722338203
wahrscheinlich,0.0020876826722338203
schleicht,0.0020876826722338203
haare,0.0020876826722338203
nachwachsen,0.0020876826722338203
lassen,0.0020876826722338203
nervös,0.0020876826722338203
