term,relative_frequency
geistigen,0.001692047377326565
auge,0.001692047377326565
spielte,0.001692047377326565
wunderbares,0.001692047377326565
ab,0.001692047377326565
unparteiischen,0.001692047377326565
richter,0.001692047377326565
glauben,0.001692047377326565
gemacht,0.001692047377326565
sei,0.001692047377326565
siebzehn,0.001692047377326565
champion,0.001692047377326565
hogwarts,0.001692047377326565
geworden,0.001692047377326565
stand,0.001692047377326565
draußen,0.001692047377326565
gelände,0.001692047377326565
arme,0.001692047377326565
siegerpose,0.001692047377326565
erhoben,0.001692047377326565
schule,0.001692047377326565
klatschten,0.001692047377326565
kreischten,0.001692047377326565
gerade,0.00338409475465313
trimagische,0.001692047377326565
turnier,0.001692047377326565
gewonnen,0.001692047377326565
verschwommenen,0.001692047377326565
menge,0.001692047377326565
hob,0.001692047377326565
deutlich,0.001692047377326565
gesicht,0.001692047377326565
hervor,0.001692047377326565
bewundernd,0.001692047377326565
anstrahlte,0.001692047377326565
grinste,0.001692047377326565
kissen,0.001692047377326565
hinein,0.001692047377326565
diesmal,0.001692047377326565
äußerst,0.001692047377326565
froh,0.001692047377326565
sehen,0.001692047377326565
konnte,0.00676818950930626
sah,0.001692047377326565
angebunden,0.001692047377326565
plötzlich,0.001692047377326565
wissen,0.001692047377326565
deutete,0.001692047377326565
himmelblauen,0.001692047377326565
sticker,0.001692047377326565
goldenen,0.001692047377326565
umhang,0.001692047377326565
gesteckt,0.001692047377326565
wartete,0.001692047377326565
halb,0.001692047377326565
hof,0.001692047377326565
nahm,0.00338409475465313
brust,0.001692047377326565
ganzen,0.001692047377326565
hinunter,0.001692047377326565
kerker,0.001692047377326565
stritten,0.001692047377326565
ausgiebig,0.001692047377326565
darüber,0.001692047377326565
nachgrübeln,0.001692047377326565
glück,0.001692047377326565
reden,0.00338409475465313
durfte,0.001692047377326565
wenigstens,0.001692047377326565
mal,0.00338409475465313
zwei,0.001692047377326565
minuten,0.001692047377326565
unterhalten,0.001692047377326565
hinterher,0.001692047377326565
gefühl,0.001692047377326565
müsse,0.001692047377326565
land,0.001692047377326565
verlassen,0.001692047377326565
richtiges,0.001692047377326565
gespräch,0.001692047377326565
zustande,0.001692047377326565
gebracht,0.001692047377326565
dabei,0.001692047377326565
einziges,0.001692047377326565
trottel,0.001692047377326565
angestellt,0.001692047377326565
wirklich,0.001692047377326565
mutig,0.00338409475465313
gewehrt,0.001692047377326565
hast,0.001692047377326565
genannt,0.001692047377326565
hasste,0.001692047377326565
lebte,0.001692047377326565
natürlich,0.001692047377326565
vorzug,0.001692047377326565
gegeben,0.001692047377326565
wusste,0.001692047377326565
wegen,0.001692047377326565
weihnachtsballs,0.001692047377326565
gefragt,0.001692047377326565
hätte,0.00338409475465313
vielleicht,0.001692047377326565
wäre,0.00338409475465313
gekommen,0.001692047377326565
offensichtlich,0.001692047377326565
aufrichtig,0.001692047377326565
leidgetan,0.001692047377326565
damals,0.001692047377326565
absagen,0.001692047377326565
müssen,0.001692047377326565
morgen,0.001692047377326565
begrüßte,0.001692047377326565
strahlend,0.001692047377326565
großen,0.001692047377326565
halle,0.001692047377326565
setzte,0.001692047377326565
angelächelt,0.001692047377326565
rechts,0.001692047377326565
platz,0.001692047377326565
kopf,0.001692047377326565
abschiedswinken,0.001692047377326565
schwirrte,0.001692047377326565
fand,0.001692047377326565
thema,0.001692047377326565
ganz,0.001692047377326565
spannend,0.001692047377326565
entrüstung,0.001692047377326565
sichtlich,0.001692047377326565
bebte,0.001692047377326565
reim,0.001692047377326565
bislang,0.001692047377326565
unterschwellig,0.001692047377326565
wahrgenommen,0.001692047377326565
unentwegt,0.001692047377326565
verwünschungen,0.001692047377326565
murmelte,0.001692047377326565
verdrehte,0.001692047377326565
gewandt,0.001692047377326565
augen,0.001692047377326565
sagte,0.001692047377326565
verhalten,0.001692047377326565
schon,0.001692047377326565
eigentlich,0.00338409475465313
gingen,0.001692047377326565
trödelte,0.001692047377326565
wenig,0.001692047377326565
hoffte,0.001692047377326565
fröhliche,0.001692047377326565
weihnachten,0.001692047377326565
abzubekommen,0.001692047377326565
gestern,0.001692047377326565
abend,0.001692047377326565
gleichen,0.001692047377326565
zeit,0.001692047377326565
gewusst,0.001692047377326565
vierundzwanzig,0.001692047377326565
stunden,0.001692047377326565
geküsst,0.001692047377326565
nacht,0.001692047377326565
brummte,0.001692047377326565
rechten,0.001692047377326565
machte,0.001692047377326565
nachdem,0.001692047377326565
spiegelbild,0.001692047377326565
rückseite,0.001692047377326565
teelöffels,0.001692047377326565
begutachtet,0.001692047377326565
versucht,0.001692047377326565
haar,0.001692047377326565
glätten,0.001692047377326565
ging,0.001692047377326565
allein,0.001692047377326565
eingangshalle,0.001692047377326565
treffen,0.001692047377326565
wobei,0.001692047377326565
bang,0.001692047377326565
fragte,0.001692047377326565
worüber,0.001692047377326565
himmels,0.001692047377326565
willen,0.001692047377326565
sollten,0.001692047377326565
sicher,0.001692047377326565
davon,0.001692047377326565
halten,0.001692047377326565
inzwischen,0.001692047377326565
peinlich,0.001692047377326565
anzuschauen,0.001692047377326565
gar,0.001692047377326565
miteinander,0.00338409475465313
sprechen,0.001692047377326565
anfangen,0.001692047377326565
gehen,0.001692047377326565
trennten,0.001692047377326565
