term,relative_frequency
oh,0.004366812227074236
immer,0.004366812227074236
ruhe,0.004366812227074236
sagte,0.021834061135371178
nervös,0.004366812227074236
beurlauben,0.004366812227074236
nein,0.008733624454148471
letzte,0.004366812227074236
ernennung,0.004366812227074236
entlassung,0.004366812227074236
schulleiters,0.004366812227074236
aufgabe,0.004366812227074236
schulräte,0.004366812227074236
mr,0.008733624454148471
beiläufig,0.004366812227074236
ah,0.004366812227074236
streckte,0.004366812227074236
zaubereiminister,0.004366812227074236
hand,0.004366812227074236
entgegen,0.004366812227074236
angenehm,0.008733624454148471
lächelnd,0.004366812227074236
verbeugte,0.004366812227074236
mrs,0.004366812227074236
paar,0.004366812227074236
bulgarische,0.004366812227074236
minister,0.004366812227074236
konnte,0.008733624454148471
glauben,0.008733624454148471
wagte,0.004366812227074236
gesicht,0.004366812227074236
blicken,0.004366812227074236
zaubereiministerium,0.004366812227074236
sprach,0.004366812227074236
obwohl,0.004366812227074236
erst,0.004366812227074236
wochen,0.004366812227074236
berichtet,0.004366812227074236
todesser,0.008733624454148471
hinterlasse,0.004366812227074236
nachricht,0.004366812227074236
absetze,0.004366812227074236
wissen,0.008733624454148471
schon,0.004366812227074236
geredet,0.004366812227074236
langsam,0.004366812227074236
empfängt,0.004366812227074236
vier,0.004366812227074236
augen,0.004366812227074236
trifft,0.004366812227074236
woher,0.004366812227074236
belegt,0.004366812227074236
