term,relative_frequency
ja,0.0035971223021582736
wäre,0.0035971223021582736
ganz,0.007194244604316547
geschickt,0.0035971223021582736
gibt,0.0035971223021582736
tipp,0.0035971223021582736
macht,0.0035971223021582736
drecksarbeit,0.0035971223021582736
beschlagnahmt,0.0035971223021582736
brief,0.0035971223021582736
ausbildungserlass,0.0035971223021582736
nummer,0.0035971223021582736
neunundzwanzig,0.0035971223021582736
reinkommt,0.0035971223021582736
erlaubnis,0.0035971223021582736
tun,0.0035971223021582736
minister,0.0035971223021582736
gebeten,0.0035971223021582736
anweisung,0.0035971223021582736
unterschreiben,0.0035971223021582736
PEEVES,0.0035971223021582736
rausgeworfen,0.0035971223021582736
oh,0.0035971223021582736
zügel,0.0035971223021582736
hand,0.0035971223021582736
dinge,0.0035971223021582736
laufen,0.0035971223021582736
offensichtlich,0.0035971223021582736
ziemliche,0.0035971223021582736
mühe,0.0035971223021582736
gegeben,0.0035971223021582736
seite,0.0035971223021582736
ziehen,0.0035971223021582736
überlegte,0.0035971223021582736
schlimmste,0.0035971223021582736
dabei,0.007194244604316547
wahrscheinlich,0.0035971223021582736
wichtige,0.0035971223021582736
waffe,0.0035971223021582736
erweisen,0.0035971223021582736
standen,0.0035971223021582736
halber,0.0035971223021582736
treppe,0.0035971223021582736
offenbar,0.0035971223021582736
gelähmt,0.0035971223021582736
entsetzen,0.0035971223021582736
wirbelte,0.0035971223021582736
bedrohlichen,0.0035971223021582736
uuiiiiiieee,0.0035971223021582736
lachend,0.0035971223021582736
duckte,0.0035971223021582736
rannte,0.0035971223021582736
stück,0.0035971223021582736
korridor,0.0035971223021582736
entlang,0.0035971223021582736
tür,0.007194244604316547
wusste,0.0035971223021582736
wandteppich,0.0035971223021582736
verborgen,0.0035971223021582736
schlüpfte,0.0035971223021582736
hindurch,0.0035971223021582736
stieß,0.0035971223021582736
gleich,0.0035971223021582736
dahinter,0.0035971223021582736
versteckt,0.0035971223021582736
hielten,0.0035971223021582736
geschrei,0.0035971223021582736
lauschten,0.0035971223021582736
unterdrückter,0.0035971223021582736
heiterkeit,0.0035971223021582736
bebten,0.0035971223021582736
glück,0.0035971223021582736
fast,0.0035971223021582736
weinte,0.0035971223021582736
kämpfte,0.0035971223021582736
ellbogen,0.0035971223021582736
näher,0.0035971223021582736
heran,0.0035971223021582736
beobachtet,0.0035971223021582736
worden,0.0035971223021582736
weise,0.0035971223021582736
versucht,0.0035971223021582736
freilich,0.0035971223021582736
erfolglos,0.0035971223021582736
hängte,0.0035971223021582736
neue,0.0035971223021582736
ließ,0.0035971223021582736
feuerblitz,0.0035971223021582736
kerker,0.0035971223021582736
verschwinden,0.0035971223021582736
gerücht,0.0035971223021582736
ging,0.0035971223021582736
bewachung,0.0035971223021582736
besens,0.0035971223021582736
bewaffneten,0.0035971223021582736
sicherheitstroll,0.0035971223021582736
dorthinunter,0.0035971223021582736
beordert,0.0035971223021582736
