term,relative_frequency
typ,0.0035335689045936395
sagte,0.01060070671378092
vertrocknete,0.0035335689045936395
stiele,0.0035335689045936395
abknickte,0.0035335689045936395
scheint,0.0035335689045936395
ganze,0.0035335689045936395
geschichte,0.0035335689045936395
riesig,0.0035335689045936395
freuen,0.0035335689045936395
kannst,0.0035335689045936395
vertrauensschülern,0.0035335689045936395
punkte,0.007067137809187279
abziehen,0.0035335689045936395
prompt,0.0035335689045936395
macmillan,0.007067137809187279
schließlich,0.007067137809187279
fertig,0.0035335689045936395
reiche,0.0035335689045936395
auswahl,0.0035335689045936395
zaubern,0.0035335689045936395
flüchen,0.0035335689045936395
anzuwenden,0.0035335689045936395
beigebracht,0.0035335689045936395
ähnelten,0.0035335689045936395
ehesten,0.0035335689045936395
drei,0.0035335689045936395
gigantischen,0.0035335689045936395
schnecken,0.0035335689045936395
gezwängt,0.0035335689045936395
sagen,0.0035335689045936395
freu,0.0035335689045936395
schon,0.0035335689045936395
darauf,0.0035335689045936395
gesicht,0.0035335689045936395
mutter,0.0035335689045936395
sehen,0.0035335689045936395
zug,0.0035335689045936395
steigt,0.0035335689045936395
genugtuung,0.0035335689045936395
beobachtete,0.0035335689045936395
krümmte,0.0035335689045936395
nie,0.0035335689045936395
ganz,0.007067137809187279
schmach,0.0035335689045936395
verwunden,0.0035335689045936395
kurzen,0.0035335689045936395
laufbahn,0.0035335689045936395
mitglied,0.0035335689045936395
inquisitionskommandos,0.0035335689045936395
hufflepuffs,0.007067137809187279
abgenommen,0.0035335689045936395
antwortete,0.0035335689045936395
schob,0.0035335689045936395
rasch,0.0035335689045936395
menge,0.007067137809187279
professor,0.0035335689045936395
vorbei,0.007067137809187279
quiekend,0.0035335689045936395
versuchte,0.0035335689045936395
paar,0.0035335689045936395
ravenclaws,0.0035335689045936395
richtig,0.0035335689045936395
aufzustellen,0.0035335689045936395
vorne,0.0035335689045936395
stehen,0.0035335689045936395
wollten,0.0035335689045936395
reihe,0.0035335689045936395
scheuchte,0.0035335689045936395
herumschlüpfte,0.0035335689045936395
platz,0.0035335689045936395
ende,0.0035335689045936395
ergatterte,0.0035335689045936395
direkt,0.0035335689045936395
allgemeinen,0.0035335689045936395
aufruhr,0.0035335689045936395
nutzte,0.0035335689045936395
streit,0.0035335689045936395
fortzusetzen,0.0035335689045936395
zwei,0.0035335689045936395
meter,0.0035335689045936395
entfernt,0.0035335689045936395
stand,0.0035335689045936395
rebellisch,0.0035335689045936395
dreinblickte,0.0035335689045936395
nachmittag,0.0035335689045936395
zaubertränke,0.0035335689045936395
dritt,0.0035335689045936395
glocke,0.0035335689045936395
läutete,0.0035335689045936395
gingen,0.0035335689045936395
gleichzeitig,0.0035335689045936395
hinaus,0.0035335689045936395
