term,relative_frequency
reingelegt,0.0003506311360448808
sagte,0.006661991584852735
schrie,0.001402524544179523
sprang,0.0010518934081346423
sitz,0.0007012622720897616
sehen,0.0021037868162692847
direkt,0.0003506311360448808
zuraste,0.0003506311360448808
bemerkte,0.0007012622720897616
wälzten,0.0003506311360448808
stöhnen,0.0003506311360448808
schreien,0.0003506311360448808
knäuel,0.0003506311360448808
drang,0.0003506311360448808
bestand,0.0003506311360448808
lächeln,0.0003506311360448808
ganze,0.0010518934081346423
nächste,0.0003506311360448808
woche,0.0003506311360448808
gesicht,0.0024544179523141654
hängen,0.0003506311360448808
blieb,0.0003506311360448808
machte,0.0007012622720897616
nervös,0.0003506311360448808
gehen,0.0007012622720897616
richtung,0.0003506311360448808
fang,0.0007012622720897616
gingen,0.0010518934081346423
links,0.0003506311360448808
rechts,0.0003506311360448808
lehrer,0.0003506311360448808
lieblinge,0.0003506311360448808
beispiel,0.0007012622720897616
hätte,0.0021037868162692847
gedacht,0.0003506311360448808
würdest,0.0003506311360448808
schämen,0.0003506311360448808
mädchen,0.0003506311360448808
mal,0.0024544179523141654
zaubererfamilie,0.0003506311360448808
kommt,0.0003506311360448808
prüfung,0.0003506311360448808
geschlagen,0.0007012622720897616
mr,0.0010518934081346423
schneidender,0.0003506311360448808
stimme,0.001402524544179523
ließ,0.0007012622720897616
bücher,0.0003506311360448808
ebenfalls,0.0003506311360448808
kessel,0.0003506311360448808
fallen,0.0007012622720897616
stürzte,0.0007012622720897616
packten,0.0003506311360448808
hinten,0.0007012622720897616
jacke,0.0003506311360448808
eindeutig,0.0003506311360448808
blassen,0.0003506311360448808
augen,0.0010518934081346423
schweiften,0.0003506311360448808
hinüber,0.0007012622720897616
ängstlich,0.0003506311360448808
zusahen,0.0003506311360448808
weasley,0.0003506311360448808
gern,0.0003506311360448808
autogrammkarte,0.0003506311360448808
spottete,0.0003506311360448808
wäre,0.0010518934081346423
mehr,0.0010518934081346423
wert,0.0007012622720897616
haus,0.0007012622720897616
familie,0.0003506311360448808
blitzschnell,0.0003506311360448808
zog,0.0003506311360448808
geflickten,0.0003506311360448808
zauberstab,0.0010518934081346423
hervor,0.0003506311360448808
schlug,0.0007012622720897616
abstecher,0.0003506311360448808
vampiren,0.0003506311360448808
knallend,0.0003506311360448808
flüsterte,0.0010518934081346423
achtung,0.0003506311360448808
beschimpft,0.0003506311360448808
wirklich,0.0003506311360448808
schlimm,0.0007012622720897616
ausgerastet,0.0003506311360448808
heiser,0.0003506311360448808
tauchte,0.0003506311360448808
bleich,0.0003506311360448808
schwitzend,0.0003506311360448808
tischplatte,0.0003506311360448808
sah,0.001402524544179523
draußen,0.0007012622720897616
klo,0.0003506311360448808
luft,0.0007012622720897616
rein,0.0003506311360448808
brummte,0.0003506311360448808
hätten,0.0003506311360448808
weniger,0.0003506311360448808
scherereien,0.0003506311360448808
morgen,0.0007012622720897616
einfach,0.001402524544179523
besen,0.0007012622720897616
hauen,0.0003506311360448808
könntest,0.0003506311360448808
hättest,0.0003506311360448808
sollen,0.0010518934081346423
umbringen,0.0003506311360448808
möchte,0.0003506311360448808
wissen,0.0003506311360448808
klatscher,0.0003506311360448808
verhext,0.0003506311360448808
düsterer,0.0003506311360448808
trugen,0.0003506311360448808
liste,0.0003506311360448808
gehört,0.0003506311360448808
dableiben,0.0003506311360448808
kam,0.0007012622720897616
verdächtig,0.0003506311360448808
stieß,0.0003506311360448808
ellbogen,0.0003506311360448808
beiseite,0.0003506311360448808
stellte,0.0003506311360448808
steinernen,0.0003506311360448808
stufen,0.0003506311360448808
hoch,0.0007012622720897616
schloss,0.0007012622720897616
teeblätter,0.0003506311360448808
krallen,0.0003506311360448808
nächsten,0.0003506311360448808
frühstück,0.0003506311360448808
große,0.0010518934081346423
halle,0.0003506311360448808
kamen,0.0010518934081346423
fiel,0.0003506311360448808
zuallererst,0.0003506311360448808
schar,0.0003506311360448808
slytherins,0.0003506311360448808
offenbar,0.0007012622720897616
komischen,0.0003506311360448808
geschichte,0.0003506311360448808
unterhielt,0.0003506311360448808
helft,0.0003506311360448808
rausbringen,0.0003506311360448808
lief,0.0003506311360448808
tor,0.0003506311360448808
öffnete,0.0003506311360448808
mühelos,0.0003506311360448808
erde,0.0003506311360448808
hob,0.0003506311360448808
hippogreife,0.0003506311360448808
später,0.0003506311360448808
aufheben,0.0003506311360448808
lieber,0.0007012622720897616
flubberwürmern,0.0003506311360448808
anfangen,0.0003506311360448808
dachte,0.0007012622720897616
wär,0.0003506311360448808
ne,0.0003506311360448808
gute,0.0003506311360448808
erste,0.0007012622720897616
stunde,0.0007012622720897616
fehler,0.0007012622720897616
ernster,0.0003506311360448808
vater,0.0010518934081346423
ausschuss,0.0003506311360448808
eingeschüchtert,0.0003506311360448808
wischte,0.0003506311360448808
zornig,0.0003506311360448808
paar,0.0010518934081346423
schritte,0.0003506311360448808
schneller,0.0003506311360448808
klatsch,0.0003506311360448808
gelegenheiten,0.0003506311360448808
konnte,0.0024544179523141654
mühe,0.0003506311360448808
davon,0.0003506311360448808
abhalten,0.0003506311360448808
nachzutun,0.0003506311360448808
ohrfeigen,0.0003506311360448808
verpassen,0.0003506311360448808
erst,0.0007012622720897616
vermöbelst,0.0003506311360448808
marschierst,0.0003506311360448808
unterricht,0.0007012622720897616
offensichtlich,0.0003506311360448808
fühlte,0.0003506311360448808
geschmeichelt,0.0003506311360448808
zurückgekehrt,0.0003506311360448808
leicht,0.0003506311360448808
rosa,0.0003506311360448808
anlief,0.0003506311360448808
blick,0.001402524544179523
entschlossen,0.0003506311360448808
standhielt,0.0003506311360448808
brüsteten,0.0003506311360448808
reinblüter,0.0003506311360448808
hieß,0.0003506311360448808
hielten,0.0003506311360448808
muggeln,0.0007012622720897616
abstammte,0.0003506311360448808
zweitklassig,0.0003506311360448808
warf,0.0007012622720897616
verächtlichen,0.0007012622720897616
mutter,0.0007012622720897616
nieder,0.0003506311360448808
her,0.0003506311360448808
lass,0.0003506311360448808
reden,0.0003506311360448808
packte,0.0003506311360448808
schritt,0.0007012622720897616
zutrat,0.0003506311360448808
beschwichtigend,0.0003506311360448808
arm,0.0003506311360448808
ach,0.0003506311360448808
lasst,0.0003506311360448808
ekelerfüllten,0.0003506311360448808
suchen,0.0003506311360448808
versteck,0.0003506311360448808
besser,0.0007012622720897616
großen,0.0003506311360448808
buschigen,0.0003506311360448808
kopf,0.0003506311360448808
höhnte,0.0010518934081346423
vielleicht,0.0010518934081346423
dran,0.0003506311360448808
gesagt,0.0017531556802244039
tatsächlich,0.0003506311360448808
größerer,0.0003506311360448808
gefahr,0.0003506311360448808
lernen,0.0003506311360448808
sogar,0.0003506311360448808
bringen,0.0007012622720897616
verteidigungskram,0.0003506311360448808
stand,0.0010518934081346423
ging,0.0010518934081346423
zehenspitzen,0.0003506311360448808
abteiltür,0.0003506311360448808
schob,0.0003506311360448808
hören,0.0007012622720897616
entweder,0.0003506311360448808
erklärst,0.0003506311360448808
wovon,0.0003506311360448808
redest,0.0003506311360448808
verschwindest,0.0003506311360448808
gereizt,0.0003506311360448808
rand,0.0003506311360448808
lehrbuchs,0.0003506311360448808
zaubersprüche,0.0003506311360448808
band,0.0003506311360448808
hämisches,0.0007012622720897616
grinsen,0.0007012622720897616
breitete,0.0003506311360448808
weißt,0.0007012622720897616
