term,relative_frequency
denken,0.0012048192771084338
sei,0.0012048192771084338
begabt,0.0012048192771084338
wunderbare,0.0012048192771084338
narbe,0.0012048192771084338
besen,0.0012048192771084338
hast,0.0012048192771084338
mindestens,0.0012048192771084338
schon,0.004819277108433735
dutzend,0.0012048192771084338
mal,0.0024096385542168677
erzählt,0.0036144578313253013
sagte,0.014457831325301205
mr,0.00963855421686747
mahnendem,0.0012048192771084338
blick,0.0012048192771084338
sohn,0.0024096385542168677
ersten,0.0012048192771084338
daran,0.0012048192771084338
erinnern,0.0012048192771084338
unklug,0.0012048192771084338
allzu,0.0012048192771084338
angetan,0.0012048192771084338
meisten,0.0012048192771084338
helden,0.0012048192771084338
betrachten,0.0012048192771084338
schwarzen,0.0012048192771084338
lord,0.0012048192771084338
verjagt,0.0012048192771084338
ah,0.0012048192771084338
freude,0.0012048192771084338
wiederzusehen,0.0012048192771084338
stimme,0.0024096385542168677
ölig,0.0012048192771084338
haar,0.0012048192771084338
unbedingt,0.0012048192771084338
zeigen,0.0012048192771084338
gerade,0.0024096385542168677
heute,0.0024096385542168677
hereingekommen,0.0012048192771084338
günstig,0.0012048192771084338
preis,0.0024096385542168677
kaufe,0.0012048192771084338
verkaufe,0.0012048192771084338
natürlich,0.004819277108433735
ohren,0.0012048192771084338
gekommen,0.0012048192771084338
ministerium,0.0012048192771084338
verstärkt,0.0012048192771084338
hausdurchsuchungen,0.0012048192771084338
durchführt,0.0012048192771084338
zog,0.0012048192771084338
pergamentrolle,0.0012048192771084338
tasche,0.0012048192771084338
wickelte,0.0012048192771084338
ließ,0.0012048192771084338
liste,0.0012048192771084338
liegen,0.0012048192771084338
schlurfte,0.0012048192771084338
hinüber,0.0012048192771084338
hoffe,0.0012048192771084338
mehr,0.0012048192771084338
dieb,0.0012048192771084338
plünderer,0.0012048192771084338
kühl,0.0012048192771084338
setzte,0.0012048192771084338
rasch,0.0012048192771084338
beleidigung,0.0012048192771084338
sir,0.0012048192771084338
keinesfalls,0.0012048192771084338
sollten,0.0012048192771084338
allerdings,0.0012048192771084338
schulnoten,0.0012048192771084338
besser,0.0012048192771084338
kühler,0.0012048192771084338
durchaus,0.0012048192771084338
endet,0.0012048192771084338
schuld,0.0012048192771084338
erwiderte,0.0012048192771084338
hinkommt,0.0012048192771084338
öligen,0.0012048192771084338
zaubererblut,0.0012048192771084338
gilt,0.0012048192771084338
immer,0.0012048192771084338
weniger,0.0012048192771084338
langen,0.0012048192771084338
nasenflügel,0.0012048192771084338
blähten,0.0012048192771084338
schönen,0.0012048192771084338
tag,0.0012048192771084338
stimmt,0.0012048192771084338
hälfte,0.0012048192771084338
verkauft,0.0024096385542168677
landsitz,0.0012048192771084338
versteckt,0.0012048192771084338
dumpf,0.0012048192771084338
murmelnd,0.0012048192771084338
verschwand,0.0012048192771084338
hinterzimmer,0.0012048192771084338
ladenbesitzer,0.0012048192771084338
buckliger,0.0012048192771084338
mann,0.0012048192771084338
fettigen,0.0012048192771084338
haaren,0.0012048192771084338
stand,0.0012048192771084338
gegenüber,0.0012048192771084338
sache,0.0012048192771084338
ähm,0.0012048192771084338
junge,0.0012048192771084338
eben,0.0012048192771084338
drin,0.0012048192771084338
freund,0.0012048192771084338
geburtstagsgeschenk,0.0012048192771084338
besorgen,0.0012048192771084338
reserviert,0.0012048192771084338
gleiche,0.0012048192771084338
kaufen,0.0012048192771084338
äh,0.0012048192771084338
augen,0.0012048192771084338
ziemlich,0.0012048192771084338
schwache,0.0012048192771084338
geschichte,0.0012048192771084338
offenbar,0.0012048192771084338
dachte,0.0012048192771084338
klang,0.0012048192771084338
hätte,0.0024096385542168677
kaputten,0.0012048192771084338
gegenständen,0.0012048192771084338
beide,0.0012048192771084338
repariert,0.0012048192771084338
deswegen,0.0012048192771084338
bedrohen,0.0012048192771084338
wahrscheinlich,0.0012048192771084338
schwarzmagisches,0.0012048192771084338
gefährliches,0.0012048192771084338
king,0.0012048192771084338
s,0.0012048192771084338
cross,0.0012048192771084338
ding,0.0012048192771084338
reparieren,0.0024096385542168677
nein,0.006024096385542169
erzählte,0.0012048192771084338
gefolgt,0.0012048192771084338
schilderte,0.0012048192771084338
gespräch,0.0012048192771084338
mitgehört,0.0012048192771084338
gebracht,0.0012048192771084338
professor,0.0012048192771084338
gesagt,0.0036144578313253013
laden,0.0012048192771084338
aufbewahren,0.0012048192771084338
unterbrach,0.0012048192771084338
gefragt,0.0012048192771084338
mitnehmen,0.0012048192771084338
anfassen,0.0012048192771084338
genannt,0.0012048192771084338
na,0.0012048192771084338
ja,0.0012048192771084338
leicht,0.0012048192771084338
durchschauen,0.0012048192771084338
fünf,0.0012048192771084338
sekunden,0.0012048192771084338
begriffen,0.0012048192771084338
vorhattest,0.0012048192771084338
sagen,0.0024096385542168677
jedenfalls,0.0012048192771084338
zwischenzeit,0.0012048192771084338
bringen,0.0012048192771084338
lassen,0.0012048192771084338
genug,0.0012048192771084338
weißt,0.0012048192771084338
ganz,0.0012048192771084338
genau,0.0012048192771084338
nie,0.0012048192771084338
