term,relative_frequency
KRAETZE,0.0007476635514018691
ratte,0.00037383177570093456
baumelte,0.00037383177570093456
zeigefinger,0.00037383177570093456
herab,0.00037383177570093456
scharfen,0.00037383177570093456
kleinen,0.0007476635514018691
zähne,0.00037383177570093456
tief,0.00037383177570093456
knöchel,0.0007476635514018691
versenkt,0.00037383177570093456
wichen,0.00037383177570093456
seite,0.0011214953271028037
jaulende,0.00037383177570093456
weit,0.0011214953271028037
kreis,0.0007476635514018691
herumschwang,0.00037383177570093456
ging,0.0011214953271028037
hinüber,0.0007476635514018691
freunden,0.00037383177570093456
offensichtlich,0.0007476635514018691
zufrieden,0.00037383177570093456
freunde,0.0007476635514018691
kicherten,0.00037383177570093456
vorgehaltenen,0.00037383177570093456
händen,0.00037383177570093456
mied,0.00037383177570093456
blick,0.0011214953271028037
lachen,0.0007476635514018691
schüttelten,0.00037383177570093456
oben,0.00037383177570093456
rauszuhauen,0.00037383177570093456
sah,0.002616822429906542
triumphierende,0.00037383177570093456
gesichter,0.00037383177570093456
benommen,0.00037383177570093456
hertrottete,0.00037383177570093456
raschen,0.00037383177570093456
schritts,0.00037383177570093456
schloss,0.0011214953271028037
zuging,0.00037383177570093456
kaum,0.00037383177570093456
verschwunden,0.00037383177570093456
jemand,0.0007476635514018691
auftauchte,0.0007476635514018691
weniger,0.00037383177570093456
willkommen,0.00037383177570093456
flankiert,0.0011214953271028037
musterte,0.00037383177570093456
schlugen,0.0007476635514018691
armen,0.0007476635514018691
rudernd,0.00037383177570093456
baum,0.00037383177570093456
vorbei,0.001869158878504673
verstreuten,0.00037383177570093456
nadeln,0.00037383177570093456
boden,0.0011214953271028037
grinsten,0.00037383177570093456
dabei,0.0007476635514018691
blöde,0.0007476635514018691
breitem,0.00037383177570093456
grinsen,0.00037383177570093456
heulten,0.00037383177570093456
laut,0.0007476635514018691
immer,0.001869158878504673
augen,0.00037383177570093456
spiel,0.00037383177570093456
abzuwenden,0.00037383177570093456
wagte,0.00037383177570093456
sagte,0.0011214953271028037
gib,0.00037383177570093456
s,0.0011214953271028037
schrie,0.0011214953271028037
sprang,0.0011214953271028037
sitz,0.0007476635514018691
sehen,0.0014953271028037382
direkt,0.0007476635514018691
zuraste,0.00037383177570093456
bemerkte,0.0007476635514018691
wälzten,0.0007476635514018691
stöhnen,0.00037383177570093456
schreien,0.00037383177570093456
knäuel,0.00037383177570093456
drang,0.00037383177570093456
bestand,0.00037383177570093456
blaues,0.00037383177570093456
auge,0.0007476635514018691
verpasst,0.00037383177570093456
versucht,0.00037383177570093456
allein,0.00037383177570093456
aufzunehmen,0.00037383177570093456
nachmachten,0.00037383177570093456
ebenfalls,0.00037383177570093456
liste,0.00037383177570093456
eingetragen,0.00037383177570093456
ferien,0.00037383177570093456
dableiben,0.00037383177570093456
wollten,0.0007476635514018691
natürlich,0.00037383177570093456
wäre,0.00037383177570093456
besten,0.0007476635514018691
abkriegt,0.00037383177570093456
beste,0.00037383177570093456
denen,0.00037383177570093456
erzählen,0.0007476635514018691
zaubertrankunterricht,0.00037383177570093456
reihe,0.0007476635514018691
saß,0.00037383177570093456
hörte,0.0007476635514018691
prahlen,0.00037383177570093456
späten,0.00037383177570093456
nachmittag,0.00037383177570093456
gerade,0.001869158878504673
regnen,0.00037383177570093456
begonnen,0.00037383177570093456
sanften,0.00037383177570093456
