term,relative_frequency
fiel,0.0009082652134423251
musterte,0.00045413260672116256
schulter,0.00045413260672116256
mutter,0.00045413260672116256
unverhohlenem,0.00045413260672116256
interesse,0.00045413260672116256
konnte,0.0013623978201634877
gerade,0.0027247956403269754
erkennen,0.00045413260672116256
mrs,0.004541326067211626
weasley,0.004541326067211626
halber,0.00045413260672116256
höhe,0.00045413260672116256
tribüne,0.00045413260672116256
höflich,0.00045413260672116256
beifall,0.0009082652134423251
spendeten,0.00045413260672116256
wirklich,0.00045413260672116256
gemeinsam,0.00045413260672116256
fragte,0.0009082652134423251
dauernd,0.00045413260672116256
neuen,0.0009082652134423251
wein,0.0009082652134423251
eingoss,0.00045413260672116256
hause,0.0009082652134423251
bleiben,0.00045413260672116256
besonderen,0.00045413260672116256
freude,0.00045413260672116256
reichte,0.00045413260672116256
beutel,0.00045413260672116256
voller,0.0009082652134423251
geld,0.00045413260672116256
tisch,0.0009082652134423251
immer,0.0018165304268846503
suvorkommend,0.00045413260672116256
schnurrte,0.00045413260672116256
bewunderung,0.00045413260672116256
streichelte,0.00045413260672116256
nase,0.00045413260672116256
gut,0.0009082652134423251
dad,0.00045413260672116256
besorgen,0.00045413260672116256
sagte,0.005903723887375113
anerkennend,0.00045413260672116256
streckte,0.00045413260672116256
genüsslich,0.00045413260672116256
wagen,0.00045413260672116256
zügig,0.00045413260672116256
fuchsbau,0.00045413260672116256
entfernte,0.00045413260672116256
küchenfenster,0.00045413260672116256
winkten,0.00045413260672116256
tatsächlich,0.00045413260672116256
küche,0.0013623978201634877
kam,0.002270663033605813
sah,0.002270663033605813
sitzen,0.00045413260672116256
begeistert,0.00045413260672116256
pläne,0.00045413260672116256
hochzeit,0.002270663033605813
schmieden,0.00045413260672116256
offenbar,0.0009082652134423251
schlecht,0.00045413260672116256
gelaunt,0.00045413260672116256
berg,0.00045413260672116256
putzenden,0.00045413260672116256
rosenkohl,0.00045413260672116256
überwachte,0.00045413260672116256
tages,0.00045413260672116256
oberpeinlich,0.00045413260672116256
wäre,0.0018165304268846503
zusammen,0.0009082652134423251
endgültig,0.00045413260672116256
ausgeschlossen,0.00045413260672116256
warf,0.002270663033605813
ständig,0.00045413260672116256
verstohlene,0.00045413260672116256
blicke,0.00045413260672116256
hoffte,0.00045413260672116256
abkupfern,0.00045413260672116256
furschtbar,0.00045413260672116256
fertig,0.0013623978201634877
dank,0.00045413260672116256
abzuküssen,0.00045413260672116256
verärgerten,0.00045413260672116256
blick,0.002270663033605813
schuld,0.00045413260672116256
statt,0.00045413260672116256
schwiegertochter,0.00045413260672116256
bekam,0.00045413260672116256
hinüber,0.00045413260672116256
truthahnstückchen,0.00045413260672116256
gabel,0.00045413260672116256
fütterte,0.00045413260672116256
dachte,0.0009082652134423251
längst,0.00045413260672116256
verlorene,0.00045413260672116256
schlacht,0.00045413260672116256
kämpfte,0.00045413260672116256
wiedersehen,0.00045413260672116256
sagen,0.0009082652134423251
allesamt,0.00045413260672116256
arbeiten,0.00045413260672116256
leicht,0.0013623978201634877
verengten,0.00045413260672116256
augen,0.00045413260672116256
geheftet,0.00045413260672116256
starrer,0.00045413260672116256
miene,0.0009082652134423251
hinabsah,0.00045413260672116256
rücklings,0.00045413260672116256
mann,0.0009082652134423251
äußerst,0.00045413260672116256
merkwürdigen,0.00045413260672116256
gesichtsausdruck,0.00045413260672116256
wunden,0.00045413260672116256
abtupfte,0.00045413260672116256
misch,0.0009082652134423251
eiratet,0.00045413260672116256
selig,0.00045413260672116256
schüttelte,0.0009082652134423251
kissen,0.00045413260672116256
briten,0.00045413260672116256
fleisch,0.00045413260672116256
su,0.00045413260672116256
lange,0.00045413260672116256
braten,0.00045413260672116256
abe,0.00045413260672116256
isch,0.0009082652134423251
gesagt,0.0013623978201634877
meisten,0.00045413260672116256
kannte,0.00045413260672116256
allerdings,0.00045413260672116256
schon,0.0013623978201634877
darunter,0.00045413260672116256
mitglieder,0.00045413260672116256
phönixordens,0.00045413260672116256
deren,0.0009082652134423251
haar,0.0036330608537693005
wunderbarerweise,0.00045413260672116256
höchst,0.00045413260672116256
leuchtenden,0.00045413260672116256
rosa,0.00045413260672116256
hand,0.0013623978201634877
mr,0.0009082652134423251
gestützt,0.00045413260672116256
gefolgt,0.00045413260672116256
jacketts,0.00045413260672116256
schwarzer,0.00045413260672116256
drachenhaut,0.00045413260672116256
trugen,0.0013623978201634877
heiraten,0.00045413260672116256
vergessen,0.00045413260672116256
führte,0.0009082652134423251
hinein,0.00045413260672116256
lachend,0.00045413260672116256
schwatzend,0.00045413260672116256
stühlen,0.00045413260672116256
niederließen,0.00045413260672116256
tante,0.00045413260672116256
glänzende,0.00045413260672116256
arbeitsplatten,0.00045413260672116256
hockten,0.00045413260672116256
makellos,0.00045413260672116256
sauberen,0.00045413260672116256
haushaltsgeräte,0.00045413260672116256
lehnten,0.00045413260672116256
lang,0.00045413260672116256
schlaksig,0.00045413260672116256
buschige,0.00045413260672116256
langen,0.0018165304268846503
zopf,0.00045413260672116256
zurückgebunden,0.00045413260672116256
ununterscheidbar,0.00045413260672116256
grinsend,0.00045413260672116256
üblen,0.00045413260672116256
narben,0.00045413260672116256
haaren,0.0013623978201634877
freundlichem,0.00045413260672116256
gesicht,0.00045413260672116256
schütterem,0.00045413260672116256
schief,0.00045413260672116256
sitzender,0.00045413260672116256
brille,0.00045413260672116256
kampf,0.00045413260672116256
gezeichnet,0.00045413260672116256
bein,0.00045413260672116256
strahlend,0.00045413260672116256
blauen,0.00045413260672116256
auge,0.00045413260672116256
höhle,0.00045413260672116256
surrte,0.00045413260672116256
kurzes,0.00045413260672116256
lieblingsfarbe,0.00045413260672116256
trug,0.0013623978201634877
knalligen,0.00045413260672116256
pink,0.00045413260672116256
grauer,0.00045413260672116256
faltiger,0.00045413260672116256
schlank,0.00045413260672116256
schön,0.0009082652134423251
silbrig,0.00045413260672116256
blonden,0.00045413260672116256
kahlköpfig,0.00045413260672116256
schwarz,0.00045413260672116256
breitschultrig,0.00045413260672116256
struppigen,0.00045413260672116256
bart,0.00045413260672116256
gebückt,0.00045413260672116256
dastand,0.00045413260672116256
kopf,0.00045413260672116256
decke,0.00045413260672116256
stoßen,0.00045413260672116256
klein,0.00045413260672116256
schmutzig,0.00045413260672116256
erbärmlich,0.00045413260672116256
matten,0.00045413260672116256
bassetartigen,0.00045413260672116256
hundeaugen,0.00045413260672116256
verfilzten,0.00045413260672116256
bah,0.00045413260672116256
klappe,0.00045413260672116256
mikrowelle,0.00045413260672116256
begutachtete,0.00045413260672116256
sieh,0.00045413260672116256
nischt,0.00045413260672116256
ässlisch,0.00045413260672116256
nehme,0.00045413260672116256
thestral,0.0009082652134423251
rundum,0.00045413260672116256
sprangen,0.00045413260672116256
besen,0.00045413260672116256
hände,0.00045413260672116256
großen,0.00045413260672116256
schwarzen,0.00045413260672116256
geholfen,0.00045413260672116256
gehoben,0.00045413260672116256
nein,0.00045413260672116256
warten,0.0009082652134423251
schilderten,0.00045413260672116256
erneut,0.00045413260672116256
flügen,0.00045413260672116256
ergangen,0.00045413260672116256
ließen,0.00045413260672116256
lag,0.00045413260672116256
ganze,0.00045413260672116256
zeit,0.00045413260672116256
frost,0.00045413260672116256
beißende,0.00045413260672116256
kälte,0.00045413260672116256
bald,0.00045413260672116256
kaum,0.00045413260672116256
mehr,0.0009082652134423251
ignorieren,0.00045413260672116256
glitten,0.00045413260672116256
rücken,0.00045413260672116256
zerzaust,0.0009082652134423251
unverletzt,0.00045413260672116256
gesehen,0.00045413260672116256
nickte,0.0009082652134423251
licht,0.00045413260672116256
küchenfensters,0.00045413260672116256
glitzerten,0.00045413260672116256
tränenspuren,0.00045413260672116256
wangen,0.00045413260672116256
saßen,0.0009082652134423251
frühstückstisch,0.00045413260672116256
arbeit,0.0009082652134423251
gemacht,0.00045413260672116256
oben,0.0009082652134423251
gegangen,0.00045413260672116256
wecken,0.00045413260672116256
entschwebt,0.00045413260672116256
bad,0.00045413260672116256
nehmen,0.00045413260672116256
solange,0.00045413260672116256
hast,0.00045413260672116256
dagegen,0.00045413260672116256
vorbereitungen,0.00045413260672116256
helfen,0.00045413260672116256
schlief,0.00045413260672116256
altem,0.00045413260672116256
zimmer,0.0018165304268846503
trauzeugen,0.00045413260672116256
teilen,0.00045413260672116256
sobald,0.0009082652134423251
rumänien,0.00045413260672116256
monsieur,0.0009082652134423251
frühstück,0.00045413260672116256
stand,0.0018165304268846503
bratpfanne,0.00045413260672116256
plauderte,0.00045413260672116256
päckchen,0.00045413260672116256
enthielten,0.00045413260672116256
magischen,0.00045413260672116256
rasierapparat,0.00045413260672116256
mais,0.00045413260672116256
oui,0.00045413260672116256
macht,0.00045413260672116256
sauberste,0.00045413260672116256
rasür,0.00045413260672116256
aupt,0.00045413260672116256
bekommen,0.00045413260672116256
versicherte,0.00045413260672116256
müssen,0.00045413260672116256
deutlisch,0.00045413260672116256
passieren,0.00045413260672116256
ende,0.00045413260672116256
bieschen,0.00045413260672116256
weniger,0.0009082652134423251
aare,0.00045413260672116256
aben,0.00045413260672116256
lieb,0.00045413260672116256
pralinen,0.00045413260672116256
riesige,0.00045413260672116256
schachtel,0.00045413260672116256
neuesten,0.00045413260672116256
ware,0.00045413260672116256
weasleys,0.00045413260672116256
zauberhafte,0.00045413260672116256
zauberscherze,0.00045413260672116256
riesigen,0.00045413260672116256
bund,0.00045413260672116256
goldener,0.00045413260672116256
ballons,0.00045413260672116256
genau,0.00045413260672116256
stelle,0.0009082652134423251
angebracht,0.00045413260672116256
kürze,0.00045413260672116256
frau,0.00045413260672116256
beide,0.00045413260672116256
goldene,0.00045413260672116256
kleider,0.00045413260672116256
sahen,0.00045413260672116256
sogar,0.00045413260672116256
hübscher,0.00045413260672116256
erreicht,0.00045413260672116256
schien,0.00045413260672116256
niemals,0.00045413260672116256
begegnet,0.00045413260672116256
damen,0.00045413260672116256
herren,0.00045413260672116256
leiernde,0.00045413260672116256
stimme,0.00045413260672116256
bemerkte,0.0009082652134423251
leisen,0.00045413260672116256
schrecken,0.00045413260672116256
kleine,0.00045413260672116256
zauberer,0.0009082652134423251
büscheligen,0.0009082652134423251
begräbniszeremonie,0.00045413260672116256
geleitet,0.00045413260672116256
schienen,0.00045413260672116256
weit,0.00045413260672116256
zurückzuliegen,0.00045413260672116256
vorgekommen,0.00045413260672116256
wahr,0.00045413260672116256
hätte,0.00045413260672116256
gewöhnlichen,0.00045413260672116256
menschen,0.0009082652134423251
glanzvolle,0.00045413260672116256
stunden,0.00045413260672116256
lebens,0.00045413260672116256
gestohlen,0.00045413260672116256
blitznarbe,0.00045413260672116256
stirn,0.00045413260672116256
willst,0.00045413260672116256
isabelle,0.00045413260672116256
hob,0.00045413260672116256
zauberstab,0.0009082652134423251
hoch,0.0009082652134423251
köpfe,0.00045413260672116256
silberner,0.00045413260672116256
sternenschauer,0.00045413260672116256
überrieselte,0.00045413260672116256
wand,0.00045413260672116256
spiralförmig,0.00045413260672116256
eng,0.00045413260672116256
umschlungenen,0.00045413260672116256
gestalten,0.0009082652134423251
zehenspitzen,0.00045413260672116256
hinüberspähte,0.00045413260672116256
traube,0.00045413260672116256
gratulanten,0.00045413260672116256
verschwunden,0.00045413260672116256
daddy,0.00045413260672116256
weggegangen,0.00045413260672116256
geschenk,0.00045413260672116256
geben,0.00045413260672116256
betraten,0.00045413260672116256
großem,0.00045413260672116256
erste,0.00045413260672116256
tanzfläche,0.00045413260672116256
wenig,0.00045413260672116256
später,0.00045413260672116256
madame,0.00045413260672116256
tanz,0.00045413260672116256
folgten,0.0009082652134423251
vater,0.00045413260672116256
haus,0.0013623978201634877
mum,0.00045413260672116256
weihnachten,0.00045413260672116256
kommen,0.00045413260672116256
alleine,0.00045413260672116256
feiern,0.00045413260672116256
wollten,0.00045413260672116256
vergleich,0.00045413260672116256
ausgesprochen,0.00045413260672116256
elegant,0.00045413260672116256
aufgetreten,0.00045413260672116256
seit,0.00045413260672116256
einander,0.00045413260672116256
nahe,0.00045413260672116256
ahnen,0.00045413260672116256
hinsah,0.00045413260672116256
ermunternd,0.00045413260672116256
geht,0.00045413260672116256
symbol,0.00045413260672116256
hals,0.00045413260672116256
DOBBY,0.00045413260672116256
möchte,0.00045413260672116256
schnappst,0.00045413260672116256
bringst,0.00045413260672116256
sehen,0.00045413260672116256
dunkelheit,0.00045413260672116256
hineindrehte,0.00045413260672116256
erhaschte,0.0009082652134423251
letzten,0.0009082652134423251
salon,0.00045413260672116256
bleichen,0.00045413260672116256
erstarrten,0.00045413260672116256
rote,0.00045413260672116256
schliere,0.00045413260672116256
verwischten,0.00045413260672116256
silbernen,0.00045413260672116256
fleck,0.00045413260672116256
messer,0.00045413260672116256
raum,0.00045413260672116256
flog,0.00045413260672116256
dorthin,0.0009082652134423251
verschwand,0.00045413260672116256
shell,0.0013623978201634877
cottage,0.0013623978201634877
unbekannte,0.00045413260672116256
abgetaucht,0.00045413260672116256
tun,0.00045413260672116256
