term,relative_frequency
lebtage,0.0023148148148148147
wartet,0.0023148148148148147
vater,0.0023148148148148147
hause,0.0023148148148148147
kommt,0.0023148148148148147
nie,0.0023148148148148147
kummer,0.0023148148148148147
gemacht,0.0023148148148148147
perfekter,0.0023148148148148147
murmelte,0.004629629629629629
schlafen,0.0023148148148148147
zimmer,0.0023148148148148147
bekommen,0.0023148148148148147
erklärte,0.0023148148148148147
außerdem,0.0023148148148148147
halb,0.0023148148148148147
lang,0.0023148148148148147
neben,0.0023148148148148147
mrs,0.006944444444444444
weasley,0.006944444444444444
unterhielten,0.0023148148148148147
angeregt,0.0023148148148148147
weltmeisterschaft,0.0023148148148148147
prüfung,0.0023148148148148147
zweimal,0.0023148148148148147
sagte,0.011574074074074073
grinsend,0.004629629629629629
schicke,0.0023148148148148147
mittag,0.0023148148148148147
mann,0.0023148148148148147
gewandt,0.0023148148148148147
gingen,0.0023148148148148147
hinaus,0.0023148148148148147
folgten,0.0023148148148148147
hof,0.0023148148148148147
ah,0.0023148148148148147
ja,0.0023148148148148147
sohn,0.0023148148148148147
gerade,0.0023148148148148147
ministerium,0.0023148148148148147
angefangen,0.0023148148148148147
nein,0.0023148148148148147
tut,0.0023148148148148147
leid,0.0023148148148148147
tochter,0.0023148148148148147
freunde,0.0023148148148148147
komm,0.0023148148148148147
schon,0.0023148148148148147
drei,0.004629629629629629
spielen,0.006944444444444444
kannst,0.0023148148148148147
ausprobieren,0.0023148148148148147
augenblick,0.0023148148148148147
quidditch,0.004629629629629629
macht,0.0023148148148148147
sorgen,0.0023148148148148147
müde,0.0023148148148148147
brauchen,0.0023148148148148147
schlaf,0.0023148148148148147
plötzlich,0.0023148148148148147
schrie,0.0023148148148148147
fenster,0.0023148148148148147
entfernten,0.0023148148148148147
rasch,0.0023148148148148147
immer,0.0023148148148148147
hüter,0.0023148148148148147
lassen,0.0023148148148148147
ferien,0.0023148148148148147
trainiert,0.0023148148148148147
gut,0.0023148148148148147
heimkommt,0.0023148148148148147
allein,0.0023148148148148147
dachkammer,0.0023148148148148147
schläft,0.0023148148148148147
weihnachten,0.0023148148148148147
gelaufen,0.0023148148148148147
moment,0.0023148148148148147
später,0.0023148148148148147
erhoben,0.0023148148148148147
vorne,0.0023148148148148147
zelt,0.0023148148148148147
beide,0.0023148148148148147
festgewändern,0.0023148148148148147
großen,0.0023148148148148147
weißen,0.0023148148148148147
rosen,0.0023148148148148147
knopflöchern,0.0023148148148148147
stieß,0.0023148148148148147
bewundernden,0.0023148148148148147
pfiff,0.0023148148148148147
fingen,0.0023148148148148147
kichern,0.0023148148148148147
längst,0.0023148148148148147
zwei,0.0023148148148148147
cousinen,0.0023148148148148147
dunkelheit,0.0023148148148148147
verschwunden,0.0023148148148148147
untersetzter,0.0023148148148148147
zauberer,0.0023148148148148147
purpurroten,0.0023148148148148147
filzhut,0.0023148148148148147
sangen,0.0023148148148148147
ecke,0.0023148148148148147
odo,0.0023148148148148147
held,0.0023148148148148147
