term,relative_frequency
sagte,0.005453962143086301
junge,0.00016041065126724414
aah,8.020532563362207e-05
gut,0.0005614372794353545
dachte,0.0003208213025344883
wäre,0.0004010266281681104
vielleicht,0.0003208213025344883
scherz,0.00016041065126724414
menge,0.0008020532563362208
unsinn,8.020532563362207e-05
trotzdem,0.00024061597690086623
ganz,0.0012832852101379532
gute,0.00024061597690086623
noten,8.020532563362207e-05
beliebt,8.020532563362207e-05
nimmt,8.020532563362207e-05
immer,0.0013634905357715753
punkte,0.00016041065126724414
gehört,0.0003208213025344883
schulbesen,8.020532563362207e-05
mokierten,8.020532563362207e-05
kamen,0.0004010266281681104
halle,8.020532563362207e-05
sahen,0.0007218479307025986
liefen,0.00024061597690086623
rasch,0.00016041065126724414
kaum,0.0003208213025344883
verschwunden,0.0004010266281681104
jemand,0.00016041065126724414
auftauchte,0.00024061597690086623
weit,0.0003208213025344883
weniger,0.0003208213025344883
willkommen,8.020532563362207e-05
flankiert,8.020532563362207e-05
folgte,0.0003208213025344883
umkleideraum,8.020532563362207e-05
lief,8.020532563362207e-05
hoffnung,8.020532563362207e-05
knie,8.020532563362207e-05
nachgeben,8.020532563362207e-05
lauten,0.0003208213025344883
anfeuerungsrufen,8.020532563362207e-05
hinaus,0.0004010266281681104
spielfeld,8.020532563362207e-05
wirklich,0.00024061597690086623
höllentempo,8.020532563362207e-05
drauf,8.020532563362207e-05
oben,0.0005614372794353545
sauberer,8.020532563362207e-05
pass,8.020532563362207e-05
entdeckung,8.020532563362207e-05
letztes,0.00024061597690086623
jahr,0.0004010266281681104
reservebank,8.020532563362207e-05
johnson,0.00016041065126724414
nein,0.001042669233237087
slytherin,0.00016041065126724414
quaffel,0.0006416426050689766
kapitän,8.020532563362207e-05
marcus,8.020532563362207e-05
flint,0.0003208213025344883
holt,0.00016041065126724414
haut,8.020532563362207e-05
ab,0.0012832852101379532
fliegt,0.00024061597690086623
rum,8.020532563362207e-05
adler,8.020532563362207e-05
gleich,0.0005614372794353545
macht,0.0003208213025344883
to,8.020532563362207e-05
glänzende,0.00016041065126724414
parade,8.020532563362207e-05
stoppt,8.020532563362207e-05
gryffindors,0.00024061597690086623
quaffelbesitz,0.00016041065126724414
jägerin,8.020532563362207e-05
gryffindor,0.0004010266281681104
elegant,8.020532563362207e-05
hindurchgetaucht,8.020532563362207e-05
schnell,0.0004010266281681104
jagt,8.020532563362207e-05
feld,0.0003208213025344883
au,8.020532563362207e-05
wehgetan,8.020532563362207e-05
klatscher,0.0009624639076034649
trifft,8.020532563362207e-05
nacken,8.020532563362207e-05
slytherins,0.00016041065126724414
richtung,8.020532563362207e-05
tore,0.00016041065126724414
losfegt,8.020532563362207e-05
zweiter,8.020532563362207e-05
hält,8.020532563362207e-05
geschickt,8.020532563362207e-05
beiden,0.0005614372794353545
einfach,0.0003208213025344883
auseinanderhalten,8.020532563362207e-05
gutes,8.020532563362207e-05
spiel,0.00016041065126724414
treiber,0.0004010266281681104
jedenfalls,0.00048123195380173246
freie,8.020532563362207e-05
bahn,8.020532563362207e-05
ja,0.0008822585819698428
buchstäblich,8.020532563362207e-05
weicht,8.020532563362207e-05
schnellen,8.020532563362207e-05
schon,0.0019249278152069298
mach,0.00024061597690086623
rein,8.020532563362207e-05
torhüter,8.020532563362207e-05
taucht,8.020532563362207e-05
verfehlt,8.020532563362207e-05
tor,0.00016041065126724414
bevor,0.0003208213025344883
