term,relative_frequency
gehört,0.0005947955390334573
schulbesen,0.00014869888475836432
mokierten,0.00014869888475836432
kamen,0.0005947955390334573
halle,0.00014869888475836432
sahen,0.00029739776951672863
liefen,0.00014869888475836432
rasch,0.0004460966542750929
kennen,0.00014869888475836432
rede,0.00014869888475836432
auswendig,0.00014869888475836432
erklärte,0.0004460966542750929
schon,0.0020817843866171005
letztes,0.00029739776951672863
jahr,0.0004460966542750929
team,0.00014869888475836432
folgte,0.0004460966542750929
umkleideraum,0.00014869888475836432
lief,0.00014869888475836432
hoffnung,0.00014869888475836432
knie,0.00014869888475836432
nachgeben,0.00014869888475836432
lauten,0.00014869888475836432
anfeuerungsrufen,0.00014869888475836432
hinaus,0.0005947955390334573
spielfeld,0.00014869888475836432
goldenes,0.00014869888475836432
aufblitzen,0.00014869888475836432
sehen,0.0007434944237918215
lichtreflex,0.00014869888475836432
armbanduhr,0.00014869888475836432
weasley,0.001486988847583643
klatscher,0.001486988847583643
entschied,0.00014869888475836432
kanonenkugel,0.00014869888475836432
gleich,0.00029739776951672863
zuzujagen,0.00014869888475836432
wich,0.00014869888475836432
kam,0.0005947955390334573
hergefegt,0.00014869888475836432
trugen,0.00029739776951672863
blaue,0.00014869888475836432
pullover,0.00029739776951672863
großen,0.0005947955390334573
gelben,0.00014869888475836432
f,0.00014869888475836432
darauf,0.0007434944237918215
gestickt,0.00014869888475836432
besser,0.00029739776951672863
unserer,0.00014869888475836432
sagte,0.005353159851301115
hielt,0.0008921933085501858
hoch,0.00029739776951672863
zog,0.0005947955390334573
knallte,0.00014869888475836432
ging,0.0005947955390334573
los,0.00029739776951672863
kanone,0.00014869888475836432
hüllte,0.00014869888475836432
wolke,0.00014869888475836432
blauen,0.00029739776951672863
rauchs,0.00014869888475836432
innern,0.00014869888475836432
hut,0.00014869888475836432
admirals,0.00014869888475836432
mehrere,0.00014869888475836432
lebende,0.00014869888475836432
weiße,0.00014869888475836432
mäuse,0.00014869888475836432
herausschossen,0.00014869888475836432
schnür,0.00014869888475836432
gitterstäbe,0.00014869888475836432
warf,0.0007434944237918215
ende,0.00014869888475836432
seils,0.00014869888475836432
dursleys,0.00014869888475836432
aufwachen,0.00014869888475836432
toter,0.00014869888475836432
mann,0.00029739776951672863
band,0.00029739776951672863
seil,0.00014869888475836432
fest,0.0005947955390334573
gitter,0.00029739776951672863
motor,0.00014869888475836432
aufheulen,0.00014869888475836432
ließ,0.0008921933085501858
rücksitz,0.0004460966542750929
neben,0.0008921933085501858
verstaut,0.00014869888475836432
setzte,0.00029739776951672863
rückwärts,0.00029739776951672863
nahe,0.00014869888475836432
möglich,0.00014869888475836432
fenster,0.0004460966542750929
heran,0.00029739776951672863
kletterten,0.00014869888475836432
vorsichtig,0.00014869888475836432
durchs,0.00014869888475836432
zimmer,0.0004460966542750929
kletterte,0.00014869888475836432
zurück,0.0005947955390334573
wagen,0.0007434944237918215
gemeinsam,0.00014869888475836432
ziehen,0.00014869888475836432
schoben,0.00014869888475836432
drinnen,0.00014869888475836432
wenig,0.0004460966542750929
keuchte,0.00014869888475836432
kräftigen,0.00014869888475836432
schubser,0.00014869888475836432
warfen,0.00014869888475836432
schultern,0.00014869888475836432
koffer,0.0004460966542750929
rutschte,0.00014869888475836432
