term,relative_frequency
plötzlich,0.0012547051442910915
schränke,0.0012547051442910915
leer,0.0012547051442910915
koffer,0.0012547051442910915
gepackt,0.0012547051442910915
kröte,0.0012547051442910915
wurde,0.002509410288582183
ecke,0.002509410288582183
toiletten,0.0012547051442910915
umherkriechend,0.0012547051442910915
gefunden,0.0012547051442910915
schüler,0.0012547051442910915
bekamen,0.0012547051442910915
zettel,0.002509410288582183
hand,0.0012547051442910915
denen,0.002509410288582183
ermahnt,0.0012547051442910915
wurden,0.0012547051442910915
ferien,0.0012547051442910915
zaubern,0.0012547051442910915
hoffe,0.0012547051442910915
immer,0.0012547051442910915
mal,0.0012547051442910915
vergessen,0.0012547051442910915
sagte,0.005018820577164366
enttäuscht,0.0012547051442910915
stand,0.0012547051442910915
bereit,0.0012547051442910915
bootsflotte,0.0012547051442910915
hinunterzuführen,0.0012547051442910915
see,0.0012547051442910915
fuhr,0.0012547051442910915
bestiegen,0.0012547051442910915
schwatzten,0.0012547051442910915
lachten,0.0012547051442910915
land,0.0012547051442910915
allmählich,0.0012547051442910915
grüner,0.0012547051442910915
aßen,0.0012547051442910915
bohnen,0.0012547051442910915
geschmacksrichtung,0.0012547051442910915
sahen,0.0012547051442910915
muggelstädte,0.0012547051442910915
vorbeiziehen,0.0012547051442910915
legten,0.0012547051442910915
zaubererumhänge,0.0012547051442910915
ab,0.002509410288582183
zogen,0.0012547051442910915
jacken,0.0012547051442910915
mäntel,0.0012547051442910915
fuhren,0.0012547051442910915
gleis,0.0012547051442910915
neundreiviertel,0.0012547051442910915
bahnhof,0.0012547051442910915
king,0.0012547051442910915
s,0.0012547051442910915
cross,0.0012547051442910915
beide,0.0012547051442910915
aufgeweckt,0.0012547051442910915
natürlich,0.0012547051442910915
ungewöhnlich,0.0012547051442910915
klug,0.0012547051442910915
fragen,0.0012547051442910915
zwei,0.002509410288582183
unheilstifter,0.0012547051442910915
wohl,0.002509410288582183
nie,0.0012547051442910915
na,0.0012547051442910915
weiß,0.0012547051442910915
gluckste,0.0012547051442910915
hätten,0.0012547051442910915
ganz,0.0012547051442910915
schön,0.002509410288582183
konkurrenz,0.0012547051442910915
gemacht,0.0012547051442910915
machten,0.0012547051442910915
stattdessen,0.002509410288582183
spaß,0.0012547051442910915
daraus,0.0012547051442910915
aufgaben,0.0012547051442910915
trimagischen,0.0012547051442910915
turniers,0.0012547051442910915
entlocken,0.0012547051442910915
überlegten,0.0012547051442910915
wild,0.0012547051442910915
her,0.002509410288582183
bewerber,0.0012547051442910915
champion,0.0012547051442910915
schaffen,0.0012547051442910915
inzwischen,0.0012547051442910915
schon,0.0037641154328732747
bartlos,0.0012547051442910915
brüllten,0.0012547051442910915
freude,0.0012547051442910915
spurteten,0.0012547051442910915
gewaltige,0.0012547051442910915
pranke,0.0012547051442910915
drücken,0.0012547051442910915
führte,0.0012547051442910915
hinein,0.0012547051442910915
küche,0.0012547051442910915
lachend,0.0012547051442910915
schwatzend,0.0012547051442910915
stühlen,0.0012547051442910915
niederließen,0.0012547051442910915
tante,0.0012547051442910915
glänzende,0.0012547051442910915
arbeitsplatten,0.0012547051442910915
hockten,0.0012547051442910915
makellos,0.0012547051442910915
sauberen,0.0012547051442910915
haushaltsgeräte,0.0012547051442910915
lehnten,0.0012547051442910915
lang,0.0012547051442910915
schlaksig,0.0012547051442910915
buschige,0.0012547051442910915
haar,0.0075282308657465494
langen,0.0037641154328732747
zopf,0.0012547051442910915
zurückgebunden,0.0012547051442910915
ununterscheidbar,0.0012547051442910915
grinsend,0.0012547051442910915
üblen,0.0012547051442910915
narben,0.0012547051442910915
haaren,0.0012547051442910915
freundlichem,0.0012547051442910915
gesicht,0.0012547051442910915
schütterem,0.0012547051442910915
leicht,0.0012547051442910915
schief,0.0012547051442910915
sitzender,0.0012547051442910915
brille,0.0012547051442910915
kampf,0.0012547051442910915
gezeichnet,0.0012547051442910915
bein,0.0012547051442910915
strahlend,0.0012547051442910915
blauen,0.0012547051442910915
auge,0.0012547051442910915
höhle,0.0012547051442910915
surrte,0.0012547051442910915
kurzes,0.0012547051442910915
lieblingsfarbe,0.0012547051442910915
trug,0.0012547051442910915
knalligen,0.0012547051442910915
pink,0.0012547051442910915
grauer,0.0012547051442910915
faltiger,0.0012547051442910915
schlank,0.0012547051442910915
silbrig,0.0012547051442910915
blonden,0.0012547051442910915
kahlköpfig,0.0012547051442910915
schwarz,0.0012547051442910915
breitschultrig,0.0012547051442910915
struppigen,0.0012547051442910915
bart,0.0012547051442910915
gebückt,0.0012547051442910915
dastand,0.0012547051442910915
kopf,0.002509410288582183
decke,0.0012547051442910915
stoßen,0.0012547051442910915
klein,0.0012547051442910915
schmutzig,0.0012547051442910915
erbärmlich,0.0012547051442910915
matten,0.0012547051442910915
bassetartigen,0.0012547051442910915
hundeaugen,0.0012547051442910915
verfilzten,0.0012547051442910915
barsch,0.0012547051442910915
hob,0.002509410288582183
kragen,0.0012547051442910915
hoch,0.0012547051442910915
setzte,0.0012547051442910915
neben,0.0012547051442910915
ostentativ,0.0012547051442910915
nase,0.0012547051442910915
rümpfte,0.0012547051442910915
wegging,0.0012547051442910915
stellen,0.0012547051442910915
ließ,0.0012547051442910915
eimergroßes,0.0012547051442910915
glas,0.0012547051442910915
wein,0.0012547051442910915
reichen,0.0012547051442910915
längst,0.0012547051442910915
cousinen,0.0012547051442910915
dunkelheit,0.002509410288582183
verschwunden,0.0012547051442910915
untersetzter,0.0012547051442910915
zauberer,0.0012547051442910915
purpurroten,0.0012547051442910915
filzhut,0.0012547051442910915
sangen,0.0012547051442910915
odo,0.0012547051442910915
held,0.0012547051442910915
zauberstab,0.0012547051442910915
dumpfe,0.0012547051442910915
hoffnungslosigkeit,0.0012547051442910915
ergriff,0.0012547051442910915
besitz,0.0012547051442910915
mehr,0.0012547051442910915
starb,0.0012547051442910915
sicher,0.0012547051442910915
gerade,0.0012547051442910915
bereits,0.0012547051442910915
tot,0.0012547051442910915
viele,0.0012547051442910915
umgekommen,0.0012547051442910915
wusste,0.0012547051442910915
seele,0.0012547051442910915
halb,0.0012547051442910915
körper,0.0012547051442910915
verlassen,0.0012547051442910915
hätte,0.0012547051442910915
komm,0.0012547051442910915
irgendwie,0.0012547051442910915
mauerte,0.0012547051442910915
stopfte,0.0012547051442910915
kleinen,0.0012547051442910915
raum,0.0012547051442910915
hineinschauen,0.0012547051442910915
konnte,0.0012547051442910915
gedanken,0.0012547051442910915
furchtbare,0.0012547051442910915
angst,0.0012547051442910915
ganzen,0.0012547051442910915
menschen,0.0012547051442910915
liebte,0.0012547051442910915
überall,0.002509410288582183
schloss,0.0012547051442910915
davor,0.0012547051442910915
verstreut,0.0012547051442910915
all,0.0012547051442910915
warten,0.0012547051442910915
rennen,0.0012547051442910915
schlange,0.0012547051442910915
erreichen,0.0012547051442910915
mussten,0.0012547051442910915
VOLDEMORT,0.0012547051442910915
einzige,0.0012547051442910915
möglichkeit,0.0012547051442910915
beenden,0.0012547051442910915
jagte,0.0012547051442910915
dahin,0.0012547051442910915
fast,0.0012547051442910915
glauben,0.0012547051442910915
tod,0.0012547051442910915
lassen,0.0012547051442910915
achtete,0.0012547051442910915
