term,relative_frequency
lieber,0.0011723329425556857
schule,0.0011723329425556857
geblieben,0.0011723329425556857
mr,0.0023446658851113715
mrs,0.004689331770222743
weasley,0.005861664712778429
ägypten,0.0011723329425556857
besuchen,0.0011723329425556857
schlafen,0.0011723329425556857
zimmer,0.0011723329425556857
bekommen,0.0023446658851113715
erklärte,0.0011723329425556857
schicke,0.0011723329425556857
mittag,0.0011723329425556857
sagte,0.005861664712778429
mann,0.0023446658851113715
gewandt,0.0011723329425556857
gingen,0.0011723329425556857
hinaus,0.0011723329425556857
folgten,0.0011723329425556857
hof,0.0011723329425556857
ah,0.0011723329425556857
ja,0.0023446658851113715
grinsend,0.0035169988276670576
sohn,0.0011723329425556857
gerade,0.0011723329425556857
ministerium,0.0011723329425556857
angefangen,0.0011723329425556857
nein,0.0011723329425556857
tut,0.0023446658851113715
leid,0.0023446658851113715
tochter,0.0011723329425556857
freunde,0.0011723329425556857
komm,0.0011723329425556857
schon,0.0035169988276670576
drei,0.0023446658851113715
spielen,0.0035169988276670576
kannst,0.0011723329425556857
ausprobieren,0.0011723329425556857
augenblick,0.0011723329425556857
quidditch,0.0023446658851113715
macht,0.0023446658851113715
sorgen,0.0011723329425556857
müde,0.0011723329425556857
brauchen,0.0011723329425556857
schlaf,0.0011723329425556857
plötzlich,0.0011723329425556857
murmelte,0.0011723329425556857
wegen,0.0011723329425556857
könne,0.0011723329425556857
tasse,0.0011723329425556857
tee,0.0011723329425556857
vertragen,0.0011723329425556857
sprangen,0.0011723329425556857
schlossen,0.0011723329425556857
lieben,0.0011723329425556857
kommt,0.0011723329425556857
heute,0.0011723329425556857
abend,0.0011723329425556857
beiden,0.0023446658851113715
unterbringen,0.0011723329425556857
wiedersehen,0.0011723329425556857
sagen,0.0023446658851113715
allesamt,0.0011723329425556857
arbeiten,0.0011723329425556857
meisten,0.0011723329425556857
kannte,0.0011723329425556857
allerdings,0.0011723329425556857
darunter,0.0011723329425556857
mitglieder,0.0011723329425556857
phönixordens,0.0011723329425556857
deren,0.0011723329425556857
haar,0.008206330597889801
wunderbarerweise,0.0011723329425556857
höchst,0.0011723329425556857
leuchtenden,0.0011723329425556857
rosa,0.0011723329425556857
offenbar,0.0011723329425556857
hand,0.0035169988276670576
gestützt,0.0011723329425556857
gefolgt,0.0011723329425556857
jacketts,0.0011723329425556857
schwarzer,0.0011723329425556857
drachenhaut,0.0011723329425556857
trugen,0.0011723329425556857
führte,0.0011723329425556857
hinein,0.0011723329425556857
küche,0.0011723329425556857
lachend,0.0011723329425556857
schwatzend,0.0011723329425556857
stühlen,0.0011723329425556857
niederließen,0.0011723329425556857
tante,0.0011723329425556857
glänzende,0.0011723329425556857
arbeitsplatten,0.0011723329425556857
hockten,0.0011723329425556857
makellos,0.0011723329425556857
sauberen,0.0011723329425556857
haushaltsgeräte,0.0011723329425556857
lehnten,0.0011723329425556857
lang,0.0011723329425556857
schlaksig,0.0011723329425556857
buschige,0.0011723329425556857
langen,0.0035169988276670576
zopf,0.0011723329425556857
zurückgebunden,0.0011723329425556857
ununterscheidbar,0.0011723329425556857
üblen,0.0011723329425556857
narben,0.0023446658851113715
haaren,0.0011723329425556857
freundlichem,0.0011723329425556857
gesicht,0.0011723329425556857
schütterem,0.0011723329425556857
leicht,0.0011723329425556857
schief,0.0011723329425556857
sitzender,0.0011723329425556857
brille,0.0011723329425556857
kampf,0.0011723329425556857
gezeichnet,0.0011723329425556857
bein,0.0011723329425556857
strahlend,0.0011723329425556857
blauen,0.0011723329425556857
auge,0.0011723329425556857
höhle,0.0011723329425556857
surrte,0.0011723329425556857
kurzes,0.0011723329425556857
lieblingsfarbe,0.0011723329425556857
trug,0.0011723329425556857
knalligen,0.0011723329425556857
pink,0.0011723329425556857
grauer,0.0011723329425556857
faltiger,0.0011723329425556857
schlank,0.0011723329425556857
schön,0.0011723329425556857
silbrig,0.0011723329425556857
blonden,0.0011723329425556857
kahlköpfig,0.0011723329425556857
schwarz,0.0011723329425556857
breitschultrig,0.0011723329425556857
struppigen,0.0011723329425556857
