term,relative_frequency
gut,0.003937007874015748
gemacht,0.001968503937007874
sagte,0.013779527559055118
leiser,0.001968503937007874
stimme,0.001968503937007874
erzählt,0.001968503937007874
wirklich,0.001968503937007874
höllentempo,0.001968503937007874
drauf,0.001968503937007874
oben,0.005905511811023622
sauberer,0.001968503937007874
pass,0.001968503937007874
gute,0.001968503937007874
entdeckung,0.001968503937007874
letztes,0.001968503937007874
jahr,0.001968503937007874
reservebank,0.001968503937007874
johnson,0.003937007874015748
nein,0.003937007874015748
slytherin,0.001968503937007874
quaffel,0.005905511811023622
kapitän,0.001968503937007874
marcus,0.001968503937007874
flint,0.005905511811023622
holt,0.001968503937007874
haut,0.001968503937007874
ab,0.003937007874015748
fliegt,0.003937007874015748
rum,0.001968503937007874
adler,0.001968503937007874
gleich,0.001968503937007874
macht,0.001968503937007874
to,0.001968503937007874
glänzende,0.001968503937007874
parade,0.001968503937007874
stoppt,0.001968503937007874
gryffindors,0.003937007874015748
quaffelbesitz,0.003937007874015748
jägerin,0.001968503937007874
gryffindor,0.003937007874015748
elegant,0.001968503937007874
hindurchgetaucht,0.001968503937007874
schnell,0.001968503937007874
jagt,0.001968503937007874
feld,0.001968503937007874
au,0.001968503937007874
wehgetan,0.001968503937007874
klatscher,0.00984251968503937
trifft,0.001968503937007874
nacken,0.001968503937007874
slytherins,0.003937007874015748
richtung,0.001968503937007874
tore,0.003937007874015748
losfegt,0.001968503937007874
zweiter,0.001968503937007874
hält,0.001968503937007874
geschickt,0.001968503937007874
beiden,0.001968503937007874
einfach,0.001968503937007874
auseinanderhalten,0.001968503937007874
gutes,0.001968503937007874
spiel,0.001968503937007874
treiber,0.001968503937007874
jedenfalls,0.001968503937007874
freie,0.001968503937007874
bahn,0.001968503937007874
ja,0.003937007874015748
buchstäblich,0.001968503937007874
weicht,0.001968503937007874
schnellen,0.001968503937007874
schon,0.001968503937007874
mach,0.001968503937007874
rein,0.001968503937007874
torhüter,0.001968503937007874
taucht,0.001968503937007874
verfehlt,0.001968503937007874
tor,0.001968503937007874
frage,0.001968503937007874
schlaf,0.001968503937007874
hochgeschreckte,0.001968503937007874
brauchen,0.003937007874015748
spion,0.001968503937007874
auszeit,0.001968503937007874
versuchte,0.001968503937007874
zeichen,0.001968503937007874
geben,0.001968503937007874
zugleich,0.001968503937007874
daran,0.001968503937007874
hindern,0.001968503937007874
nase,0.001968503937007874
zertrümmern,0.001968503937007874
zehn,0.001968503937007874
meter,0.001968503937007874
verhindert,0.001968503937007874
umbringt,0.001968503937007874
wütend,0.001968503937007874
schuld,0.001968503937007874
wutentbrannt,0.001968503937007874
schnatz,0.001968503937007874
stirb,0.001968503937007874
saudumm,0.001968503937007874
sagen,0.001968503937007874
hör,0.001968503937007874
machst,0.001968503937007874
ganz,0.003937007874015748
verlegen,0.001968503937007874
sagten,0.001968503937007874
taten,0.001968503937007874
schämen,0.001968503937007874
toll,0.001968503937007874
s,0.001968503937007874
geschafft,0.001968503937007874
letzte,0.001968503937007874
chance,0.001968503937007874
endlich,0.001968503937007874
namen,0.001968503937007874
pokal,0.001968503937007874
sehen,0.001968503937007874
schien,0.001968503937007874
niedergeschlagen,0.001968503937007874
mitleidig,0.001968503937007874
ansahen,0.001968503937007874
nie,0.003937007874015748
trainiert,0.001968503937007874
team,0.001968503937007874
feuerblitz,0.001968503937007874
mitte,0.001968503937007874
angespornt,0.001968503937007874
übte,0.001968503937007874
schwierigsten,0.001968503937007874
spielzüge,0.001968503937007874
fehlerlos,0.001968503937007874
gelandet,0.001968503937007874
wort,0.001968503937007874
kritik,0.001968503937007874
anzubringen,0.001968503937007874
verkündete,0.001968503937007874
geschehen,0.001968503937007874
