term,relative_frequency
krone,0.001669449081803005
seufzte,0.001669449081803005
strich,0.001669449081803005
sanft,0.001669449081803005
namen,0.001669449081803005
hersteller,0.001669449081803005
fragen,0.001669449081803005
woher,0.001669449081803005
karte,0.001669449081803005
recht,0.001669449081803005
zweifelhaften,0.001669449081803005
magischen,0.001669449081803005
gegenstand,0.001669449081803005
eigentlich,0.001669449081803005
geschichte,0.001669449081803005
hände,0.001669449081803005
gefallen,0.001669449081803005
belasten,0.001669449081803005
eigenen,0.001669449081803005
vater,0.001669449081803005
sowie,0.001669449081803005
professor,0.001669449081803005
letzten,0.001669449081803005
lehrer,0.001669449081803005
verteidigung,0.001669449081803005
dunklen,0.001669449081803005
künste,0.001669449081803005
gepäckkarre,0.001669449081803005
schon,0.00333889816360601
fast,0.001669449081803005
entladen,0.001669449081803005
auftauchten,0.001669449081803005
bitte,0.001669449081803005
plätze,0.001669449081803005
hinten,0.001669449081803005
nehmen,0.001669449081803005
würdet,0.001669449081803005
bleiben,0.001669449081803005
tut,0.001669449081803005
leid,0.001669449081803005
lieben,0.001669449081803005
kommt,0.001669449081803005
heute,0.001669449081803005
abend,0.001669449081803005
beiden,0.001669449081803005
unterbringen,0.001669449081803005
meisten,0.001669449081803005
kannte,0.001669449081803005
allerdings,0.001669449081803005
darunter,0.001669449081803005
mitglieder,0.001669449081803005
phönixordens,0.001669449081803005
deren,0.001669449081803005
haar,0.011686143572621035
wunderbarerweise,0.001669449081803005
höchst,0.001669449081803005
leuchtenden,0.001669449081803005
rosa,0.001669449081803005
offenbar,0.001669449081803005
hand,0.00333889816360601
mr,0.001669449081803005
mrs,0.001669449081803005
weasley,0.001669449081803005
gestützt,0.001669449081803005
gefolgt,0.001669449081803005
jacketts,0.001669449081803005
schwarzer,0.001669449081803005
drachenhaut,0.001669449081803005
trugen,0.001669449081803005
führte,0.001669449081803005
hinein,0.001669449081803005
küche,0.001669449081803005
lachend,0.001669449081803005
schwatzend,0.001669449081803005
stühlen,0.001669449081803005
niederließen,0.001669449081803005
tante,0.001669449081803005
glänzende,0.001669449081803005
arbeitsplatten,0.001669449081803005
hockten,0.001669449081803005
makellos,0.001669449081803005
sauberen,0.001669449081803005
haushaltsgeräte,0.001669449081803005
lehnten,0.001669449081803005
lang,0.001669449081803005
schlaksig,0.001669449081803005
buschige,0.001669449081803005
langen,0.005008347245409015
zopf,0.001669449081803005
zurückgebunden,0.001669449081803005
ununterscheidbar,0.001669449081803005
grinsend,0.001669449081803005
üblen,0.001669449081803005
narben,0.001669449081803005
haaren,0.001669449081803005
freundlichem,0.001669449081803005
gesicht,0.00333889816360601
schütterem,0.001669449081803005
leicht,0.001669449081803005
schief,0.001669449081803005
sitzender,0.001669449081803005
brille,0.001669449081803005
kampf,0.001669449081803005
gezeichnet,0.001669449081803005
bein,0.001669449081803005
strahlend,0.001669449081803005
blauen,0.001669449081803005
auge,0.001669449081803005
höhle,0.001669449081803005
surrte,0.001669449081803005
kurzes,0.001669449081803005
lieblingsfarbe,0.001669449081803005
trug,0.001669449081803005
knalligen,0.001669449081803005
pink,0.001669449081803005
grauer,0.001669449081803005
faltiger,0.001669449081803005
schlank,0.001669449081803005
schön,0.001669449081803005
silbrig,0.001669449081803005
blonden,0.001669449081803005
kahlköpfig,0.001669449081803005
schwarz,0.001669449081803005
breitschultrig,0.001669449081803005
struppigen,0.001669449081803005
bart,0.001669449081803005
gebückt,0.001669449081803005
dastand,0.001669449081803005
kopf,0.001669449081803005
decke,0.001669449081803005
stoßen,0.001669449081803005
klein,0.001669449081803005
schmutzig,0.001669449081803005
erbärmlich,0.001669449081803005
matten,0.001669449081803005
bassetartigen,0.001669449081803005
hundeaugen,0.001669449081803005
verfilzten,0.001669449081803005
wer,0.001669449081803005
gehst,0.001669449081803005
wart,0.001669449081803005
dritten,0.001669449081803005
sah,0.001669449081803005
uhr,0.001669449081803005
geschafft,0.001669449081803005
sollten,0.001669449081803005
etwa,0.001669449081803005
minute,0.001669449081803005
zurück,0.001669449081803005
blaues,0.001669449081803005
licht,0.001669449081803005
dunkelheit,0.001669449081803005
sichtbar,0.001669449081803005
geworden,0.001669449081803005
wurde,0.00333889816360601
größer,0.001669449081803005
heller,0.001669449081803005
tauchten,0.001669449081803005
drehten,0.001669449081803005
stürzten,0.001669449081803005
boden,0.001669449081803005
sofort,0.001669449081803005
klar,0.001669449081803005
stimmte,0.001669449081803005
stützte,0.001669449081803005
bewusstlosen,0.001669449081803005
voller,0.001669449081803005
blut,0.001669449081803005
herum,0.001669449081803005
standen,0.001669449081803005
verstanden,0.001669449081803005
murmelte,0.001669449081803005
verschwommenem,0.001669449081803005
blick,0.001669449081803005
flog,0.001669449081803005
seite,0.001669449081803005
besen,0.001669449081803005
klare,0.001669449081803005
dunkle,0.001669449081803005
nacht,0.001669449081803005
kapuzenvermummten,0.001669449081803005
todessern,0.001669449081803005
begleitet,0.001669449081803005
flogen,0.001669449081803005
wirklichkeit,0.001669449081803005
todesser,0.001669449081803005
überholte,0.001669449081803005
hob,0.001669449081803005
zauberstab,0.001669449081803005
richtete,0.001669449081803005
direkt,0.001669449081803005
rücken,0.001669449081803005
sectumsempra,0.001669449081803005
