term,relative_frequency
leuten,0.0017730496453900709
geben,0.0017730496453900709
ab,0.0017730496453900709
weasley,0.0035460992907801418
gedacht,0.0017730496453900709
familie,0.0017730496453900709
tiefer,0.0017730496453900709
sinken,0.0017730496453900709
gab,0.0017730496453900709
metallisches,0.0017730496453900709
klingen,0.0017730496453900709
kessel,0.0017730496453900709
luft,0.0035460992907801418
flog,0.0017730496453900709
mr,0.005319148936170213
gestürzt,0.0017730496453900709
rücken,0.0017730496453900709
bücherregal,0.0017730496453900709
geworfen,0.0017730496453900709
dutzende,0.0017730496453900709
schwere,0.0017730496453900709
zauberbücher,0.0017730496453900709
donnerten,0.0017730496453900709
köpfe,0.0017730496453900709
pack,0.0017730496453900709
dad,0.0017730496453900709
rief,0.0035460992907801418
mrs,0.0017730496453900709
kreischte,0.0017730496453900709
nein,0.0035460992907801418
menge,0.0017730496453900709
wich,0.0017730496453900709
blitzschnell,0.0017730496453900709
zurück,0.0017730496453900709
warf,0.005319148936170213
mehr,0.005319148936170213
regale,0.0017730496453900709
herren,0.0017730496453900709
bitte,0.0035460992907801418
sah,0.0017730496453900709
wütend,0.0017730496453900709
vorbei,0.0035460992907801418
klassenzimmer,0.0017730496453900709
ging,0.0035460992907801418
hämisch,0.0017730496453900709
glaube,0.0017730496453900709
valentinsgruß,0.0017730496453900709
besonders,0.0017730496453900709
gemocht,0.0017730496453900709
schnellen,0.0017730496453900709
scharfen,0.0017730496453900709
blick,0.0017730496453900709
freund,0.0017730496453900709
buch,0.0017730496453900709
entdeckt,0.0017730496453900709
hätten,0.0017730496453900709
hätte,0.0017730496453900709
schuld,0.0017730496453900709
gegeben,0.0017730496453900709
wissen,0.0017730496453900709
tagebuch,0.0017730496453900709
gekommen,0.0017730496453900709
besten,0.0017730496453900709
vorgenommen,0.0017730496453900709
flederwichtfluch,0.0017730496453900709
extraklasse,0.0017730496453900709
ganzes,0.0017730496453900709
gesicht,0.0017730496453900709
voll,0.0017730496453900709
großen,0.0017730496453900709
flatterdingern,0.0017730496453900709
setzte,0.0017730496453900709
zornig,0.0017730496453900709
dazwischen,0.0017730496453900709
drei,0.0017730496453900709
jahre,0.0017730496453900709
älter,0.0017730496453900709
damals,0.0017730496453900709
wegen,0.0017730496453900709
stein,0.0017730496453900709
weisen,0.0017730496453900709
gekämpft,0.0017730496453900709
hast,0.0035460992907801418
dafür,0.0017730496453900709
gesorgt,0.0017730496453900709
büro,0.0017730496453900709
festsitzt,0.0017730496453900709
riesige,0.0017730496453900709
flederwichte,0.0017730496453900709
angreifen,0.0017730496453900709
schon,0.0035460992907801418
zusammen,0.0017730496453900709
sagte,0.0070921985815602835
leise,0.0017730496453900709
getan,0.0017730496453900709
gesagt,0.0017730496453900709
karte,0.0017730496453900709
rumtreibers,0.0017730496453900709
abgesucht,0.0017730496453900709
darauf,0.0017730496453900709
finden,0.0017730496453900709
konnten,0.0017730496453900709
dachten,0.0017730496453900709
raum,0.0017730496453900709
wünsche,0.0017730496453900709
sache,0.0017730496453900709
beobachten,0.0017730496453900709
geschafft,0.0017730496453900709
vorbeizukommen,0.0017730496453900709
verletzt,0.0017730496453900709
angefallen,0.0017730496453900709
worden,0.0017730496453900709
völlig,0.0017730496453900709
dunkel,0.0017730496453900709
überall,0.0017730496453900709
flogen,0.0017730496453900709
flüche,0.0035460992907801418
umher,0.0017730496453900709
junge,0.0017730496453900709
verschwunden,0.0017730496453900709
vorbeigehuscht,0.0017730496453900709
turmtreppe,0.0017730496453900709
hinauf,0.0017730496453900709
rannten,0.0017730496453900709
denen,0.0017730496453900709
davon,0.0017730496453900709
treppe,0.0017730496453900709
irgendeinem,0.0017730496453900709
fluch,0.0035460992907801418
blockiert,0.0017730496453900709
dagegengerannt,0.0017730496453900709
geschleudert,0.0017730496453900709
konnte,0.0017730496453900709
durchbrechen,0.0017730496453900709
gigantische,0.0017730496453900709
todesser,0.0035460992907801418
schoss,0.0017730496453900709
immer,0.0017730496453900709
gegend,0.0017730496453900709
wänden,0.0017730496453900709
abgeprallt,0.0017730496453900709
haarscharf,0.0017730496453900709
verfehlt,0.0017730496453900709
zurennen,0.0017730496453900709
sehen,0.0017730496453900709
gleich,0.0017730496453900709
danach,0.0017730496453900709
riesigen,0.0017730496453900709
knapp,0.0017730496453900709
geduckt,0.0017730496453900709
mitbekommen,0.0017730496453900709
passiert,0.0017730496453900709
bemerkte,0.0017730496453900709
anstarrten,0.0017730496453900709
worauf,0.0017730496453900709
kurz,0.0017730496453900709
nickte,0.0017730496453900709
abwandte,0.0017730496453900709
