term,relative_frequency
schrie,0.00392156862745098
sprang,0.00261437908496732
sitz,0.00261437908496732
sehen,0.00261437908496732
direkt,0.00130718954248366
zuraste,0.00130718954248366
bemerkte,0.00130718954248366
wälzten,0.00130718954248366
stöhnen,0.00130718954248366
schreien,0.00130718954248366
knäuel,0.00130718954248366
drang,0.00130718954248366
bestand,0.00130718954248366
standen,0.00130718954248366
aufgerissenen,0.00130718954248366
mündern,0.00130718954248366
hob,0.00130718954248366
hand,0.00261437908496732
lichtblitze,0.00130718954248366
schossen,0.00130718954248366
beiden,0.00130718954248366
zauberstäben,0.00130718954248366
trafen,0.00130718954248366
luft,0.00130718954248366
schleuderten,0.00130718954248366
bahn,0.00130718954248366
blitzstrahl,0.00130718954248366
traf,0.00392156862745098
gesicht,0.00130718954248366
jaulte,0.00130718954248366
schlug,0.00130718954248366
hände,0.00261437908496732
nase,0.00130718954248366
große,0.00261437908496732
hässliche,0.00130718954248366
blasen,0.00130718954248366
aufquollen,0.00130718954248366
panisch,0.00130718954248366
wimmernd,0.00130718954248366
presste,0.00130718954248366
mund,0.00130718954248366
größte,0.00130718954248366
teil,0.00130718954248366
klasse,0.00130718954248366
erste,0.00130718954248366
hintertür,0.00130718954248366
hütte,0.00130718954248366
geflohen,0.00130718954248366
verbarrikadiert,0.00130718954248366
jedoch,0.00130718954248366
gehörten,0.00130718954248366
draußen,0.00130718954248366
blieben,0.00261437908496732
versuchten,0.00130718954248366
helfen,0.00130718954248366
stimmte,0.00130718954248366
allerdings,0.00130718954248366
festgestellt,0.00130718954248366
MYRTE,0.00130718954248366
kaputtes,0.00130718954248366
klo,0.00130718954248366
beste,0.00130718954248366
platz,0.00130718954248366
insgeheim,0.00130718954248366
brauen,0.00130718954248366
verbotenen,0.00130718954248366
zaubertrank,0.00130718954248366
stunde,0.00130718954248366
lebende,0.00261437908496732
abbilder,0.00130718954248366
verwandelt,0.00130718954248366
gemeinschaftsraum,0.00130718954248366
slytherins,0.00130718954248366
schmuggeln,0.00130718954248366
konnten,0.00130718954248366
kämpften,0.00130718954248366
schweren,0.00130718954248366
koffern,0.00130718954248366
vorbei,0.00130718954248366
s,0.00130718954248366
recht,0.00130718954248366
überlege,0.00130718954248366
todesser,0.00130718954248366
menge,0.00130718954248366
bessere,0.00130718954248366
spießgesellen,0.00130718954248366
denen,0.00130718954248366
mitmacht,0.00130718954248366
tauschten,0.00130718954248366
blicke,0.00130718954248366
unmissverständlich,0.00130718954248366
bedeuteten,0.00130718954248366
zweck,0.00130718954248366
streiten,0.00130718954248366
umstand,0.00130718954248366
betraf,0.00130718954248366
offenbar,0.00130718954248366
eigene,0.00130718954248366
wege,0.00130718954248366
gingen,0.00130718954248366
obwohl,0.00130718954248366
normalerweise,0.00130718954248366
unzertrennlich,0.00130718954248366
passierte,0.00130718954248366
eben,0.00130718954248366
leute,0.00130718954248366
älter,0.00130718954248366
wurden,0.00130718954248366
dachte,0.00130718954248366
traurig,0.00130718954248366
beweis,0.00130718954248366
dafür,0.00130718954248366
ooh,0.00130718954248366
siehst,0.00130718954248366
leckerer,0.00130718954248366
sagte,0.00130718954248366
ehe,0.00130718954248366
hochgezogene,0.00130718954248366
augenbrauen,0.00130718954248366
erblickte,0.00130718954248366
leicht,0.00130718954248366
errötend,0.00130718954248366
fortfuhr,0.00130718954248366
oh,0.00130718954248366
weißt,0.00130718954248366
trank,0.00130718954248366
sah,0.00130718954248366
popel,0.00130718954248366
zauberstab,0.00130718954248366
flog,0.00130718954248366
verschwand,0.00130718954248366
bollwerk,0.00130718954248366
gegenständen,0.00130718954248366
neben,0.00261437908496732
hüpfte,0.00130718954248366
albern,0.00130718954248366
stelle,0.00261437908496732
umher,0.00130718954248366
versuchte,0.00130718954248366
wiederzufinden,0.00130718954248366
fort,0.00130718954248366
zweiter,0.00130718954248366
schockzauber,0.00261437908496732
erreichen,0.00130718954248366
konnte,0.00392156862745098
plötzlich,0.00130718954248366
ende,0.00130718954248366
ganges,0.00130718954248366
auftauchte,0.00130718954248366
schoss,0.00130718954248366
knapp,0.00130718954248366
verfehlte,0.00130718954248366
zauberstablose,0.00130718954248366
kauerte,0.00130718954248366
dreibeinigen,0.00130718954248366
kleiderschrank,0.00130718954248366
zustürmte,0.00130718954248366
laufen,0.00130718954248366
mehr,0.00130718954248366
abrupt,0.00130718954248366
stehen,0.00130718954248366
feurigen,0.00130718954248366
monster,0.00130718954248366
umzingelten,0.00130718954248366
kamen,0.00130718954248366
näher,0.00261437908496732
schlugen,0.00130718954248366
klauen,0.00130718954248366
hörnern,0.00130718954248366
schwänzen,0.00130718954248366
hitze,0.00130718954248366
herum,0.00392156862745098
fest,0.00261437908496732
mauer,0.00130718954248366
brüllte,0.00130718954248366
stimme,0.00130718954248366
flammende,0.00130718954248366
chimära,0.00130718954248366
herabstürzte,0.00130718954248366
zerrten,0.00130718954248366
besen,0.00130718954248366
stiegen,0.00130718954248366
schlingernd,0.00130718954248366
taumelnd,0.00130718954248366
hoch,0.00130718954248366
hinaufkletterte,0.00130718954248366
ohr,0.00130718954248366
beschleunigte,0.00130718954248366
sauste,0.00130718954248366
hinterher,0.00130718954248366
schwarzen,0.00130718954248366
rauchschwaden,0.00130718954248366
kaum,0.00130718954248366
atmen,0.00130718954248366
diadem,0.00130718954248366
schien,0.00130718954248366
zeitlupe,0.00130718954248366
fallen,0.00130718954248366
glitzernd,0.00130718954248366
drehte,0.00261437908496732
klaffenden,0.00130718954248366
schlund,0.00130718954248366
schlange,0.00261437908496732
zustürzte,0.00130718954248366
aufgefangen,0.00130718954248366
