term,relative_frequency
freundin,0.0027397260273972603
arbeiteten,0.0027397260273972603
zufällig,0.005479452054794521
selben,0.0027397260273972603
schrumpelfeigenbaum,0.0027397260273972603
nein,0.0027397260273972603
sagte,0.00821917808219178
bestimmt,0.0027397260273972603
verdutzt,0.0027397260273972603
anstarrten,0.0027397260273972603
folgen,0.0027397260273972603
hörten,0.0027397260273972603
neugierig,0.0027397260273972603
macmillan,0.010958904109589041
beide,0.0027397260273972603
umhängen,0.0027397260273972603
tauschten,0.0027397260273972603
nachbartisch,0.0027397260273972603
vollem,0.0027397260273972603
mund,0.0027397260273972603
erster,0.0027397260273972603
kam,0.0027397260273972603
dicht,0.0027397260273972603
gefolgt,0.0027397260273972603
zusammen,0.0027397260273972603
magen,0.0027397260273972603
machte,0.0027397260273972603
salto,0.0027397260273972603
rückwärts,0.0027397260273972603
üblich,0.0027397260273972603
kichernden,0.0027397260273972603
freundinnen,0.0027397260273972603
danach,0.0027397260273972603
allein,0.0027397260273972603
verträumt,0.0027397260273972603
hätte,0.0027397260273972603
hereinkommen,0.0027397260273972603
folgten,0.0027397260273972603
rückenlangen,0.0027397260273972603
zopf,0.0027397260273972603
deren,0.0027397260273972603
name,0.0027397260273972603
kannte,0.0027397260273972603
drei,0.00821917808219178
denen,0.0027397260273972603
ziemlich,0.0027397260273972603
sicher,0.0027397260273972603
hießen,0.0027397260273972603
großer,0.0027397260273972603
hagerer,0.0027397260273972603
blonder,0.0027397260273972603
junge,0.0027397260273972603
stupsnase,0.0027397260273972603
mitglied,0.0027397260273972603
hufflepuff,0.0027397260273972603
vager,0.0027397260273972603
erinnerung,0.0027397260273972603
nachhut,0.0027397260273972603
freund,0.0027397260273972603
großen,0.0027397260273972603
papiertüten,0.0027397260273972603
bepackt,0.0027397260273972603
proppenvoll,0.0027397260273972603
sachen,0.0027397260273972603
zonkos,0.0027397260273972603
laden,0.0027397260273972603
mag,0.0027397260273972603
besonders,0.0027397260273972603
gab,0.0027397260273972603
gehört,0.0027397260273972603
geredet,0.0027397260273972603
schien,0.0027397260273972603
wirklich,0.0027397260273972603
interessiert,0.0027397260273972603
dran,0.0027397260273972603
mitzukommen,0.0027397260273972603
konnte,0.0027397260273972603
sagen,0.0027397260273972603
kommen,0.0027397260273972603
blick,0.0027397260273972603
schulter,0.0027397260273972603
bedeutete,0.0027397260273972603
stumm,0.0027397260273972603
gestikulierte,0.0027397260273972603
wild,0.0027397260273972603
zurückkehrten,0.0027397260273972603
schließlich,0.0027397260273972603
fertig,0.0027397260273972603
reiche,0.0027397260273972603
auswahl,0.0027397260273972603
zaubern,0.0027397260273972603
flüchen,0.0027397260273972603
anzuwenden,0.0027397260273972603
beigebracht,0.0027397260273972603
ähnelten,0.0027397260273972603
ehesten,0.0027397260273972603
gigantischen,0.0027397260273972603
schnecken,0.0027397260273972603
gezwängt,0.0027397260273972603
