term,relative_frequency
wandte,0.0009952229299363057
sah,0.002786624203821656
zumindest,0.0003980891719745223
normales,0.0005971337579617834
auge,0.004578025477707006
kopf,0.0017914012738853504
hineingedreht,0.00019904458598726116
gegenteil,0.00019904458598726116
immer,0.002786624203821656
beiden,0.00019904458598726116
zusammen,0.0003980891719745223
beim,0.0003980891719745223
essen,0.00019904458598726116
gang,0.00019904458598726116
begegneten,0.00019904458598726116
deutlichen,0.00019904458598726116
eindruck,0.0003980891719745223
blick,0.0015923566878980893
auswich,0.00019904458598726116
magischen,0.0005971337579617834
normalen,0.00019904458598726116
magisches,0.001393312101910828
flutschte,0.00019904458598726116
herum,0.0011942675159235668
starrte,0.001393312101910828
schien,0.0005971337579617834
aufs,0.00019904458598726116
äußerste,0.00019904458598726116
gespannt,0.0003980891719745223
moment,0.0003980891719745223
später,0.0003980891719745223
breitete,0.00019904458598726116
lächeln,0.0005971337579617834
gesicht,0.0019904458598726115
nie,0.0005971337579617834
gesehen,0.0009952229299363057
jahren,0.00019904458598726116
gab,0.00019904458598726116
menge,0.00019904458598726116
hexen,0.00019904458598726116
zauberer,0.00019904458598726116
beherrscht,0.00019904458598726116
sagte,0.006369426751592357
wusste,0.0015923566878980893
tage,0.00019904458598726116
sprach,0.00019904458598726116
denen,0.00019904458598726116
VOLDEMORT,0.0017914012738853504
höhepunkt,0.00019904458598726116
macht,0.0005971337579617834
hob,0.0007961783439490446
zauberstab,0.0023885350318471337
spürte,0.0009952229299363057
jähe,0.00019904458598726116
kribbeln,0.00019904458598726116
bösen,0.00019904458598726116
vorahnung,0.00019904458598726116
rot,0.00019904458598726116
anlief,0.00019904458598726116
augen,0.001393312101910828
diesmal,0.0007961783439490446
beide,0.0003980891719745223
blickten,0.00019904458598726116
versucht,0.00019904458598726116
aufzuhalten,0.00019904458598726116
frau,0.00019904458598726116
zugerufen,0.00019904458598726116
reißen,0.00019904458598726116
fliehen,0.00019904458598726116
zugegangen,0.00019904458598726116
befohlen,0.00019904458598726116
beiseitezutreten,0.00019904458598726116
töten,0.0007961783439490446
konnte,0.0025875796178343948
angefleht,0.00019904458598726116
statt,0.00019904458598726116
geweigert,0.00019904458598726116
preiszugeben,0.00019904458598726116
ermordet,0.00019904458598726116
gerichtet,0.0009952229299363057
kannte,0.0005971337579617834
einzelheiten,0.00019904458598726116
stimmen,0.00019904458598726116
eltern,0.0005971337579617834
gehört,0.0005971337579617834
letztes,0.00019904458598726116
jahr,0.0003980891719745223
dementoren,0.0003980891719745223
kämpfte,0.0003980891719745223
schreckliche,0.00019904458598726116
gabe,0.00019904458598726116
zwangen,0.00019904458598726116
