term,relative_frequency
beiden,0.0005537098560354374
getroffen,0.0011074197120708748
wusste,0.0016611295681063123
rumänien,0.0005537098560354374
drachen,0.0005537098560354374
erforschen,0.0005537098560354374
ägypten,0.0011074197120708748
zaubererbank,0.0011074197120708748
gringotts,0.0011074197120708748
arbeitete,0.0011074197120708748
tat,0.0011074197120708748
wolle,0.0005537098560354374
wissen,0.0005537098560354374
eule,0.0005537098560354374
koste,0.0005537098560354374
ruhe,0.0005537098560354374
umsehen,0.0005537098560354374
konnte,0.0027685492801771874
erhob,0.0005537098560354374
lächeln,0.0005537098560354374
schüttelte,0.0016611295681063123
hand,0.0033222591362126247
schulsprecher,0.0005537098560354374
hogwarts,0.0005537098560354374
immer,0.0016611295681063123
älteren,0.0005537098560354374
doppelgänger,0.0005537098560354374
vorgestellt,0.0005537098560354374
peinlich,0.0005537098560354374
genau,0.0005537098560354374
darauf,0.0016611295681063123
bedacht,0.0005537098560354374
vorschriften,0.0005537098560354374
einzuhalten,0.0005537098560354374
genuss,0.0005537098560354374
dabei,0.0005537098560354374
herumzukommandieren,0.0005537098560354374
schlafen,0.0005537098560354374
zimmer,0.0005537098560354374
bekommen,0.0005537098560354374
erklärte,0.0005537098560354374
komm,0.0011074197120708748
sagte,0.007751937984496124
hastig,0.0016611295681063123
kramte,0.0005537098560354374
voll,0.0011074197120708748
besteck,0.0005537098560354374
schublade,0.0005537098560354374
gehen,0.0005537098560354374
draußen,0.0005537098560354374
helfen,0.0011074197120708748
schicke,0.0005537098560354374
mittag,0.0005537098560354374
mrs,0.0049833887043189366
weasley,0.005537098560354375
mann,0.0005537098560354374
gewandt,0.0005537098560354374
gingen,0.0005537098560354374
hinaus,0.0005537098560354374
folgten,0.0011074197120708748
hof,0.0005537098560354374
zelte,0.0005537098560354374
ansah,0.0005537098560354374
gedanken,0.0005537098560354374
kommen,0.0005537098560354374
gehörten,0.0005537098560354374
zauberern,0.0005537098560354374
überlegte,0.0005537098560354374
problem,0.0005537098560354374
zehnt,0.0005537098560354374
ah,0.0005537098560354374
ja,0.0011074197120708748
grinsend,0.0016611295681063123
sohn,0.0005537098560354374
gerade,0.0016611295681063123
ministerium,0.0005537098560354374
angefangen,0.0005537098560354374
nein,0.0011074197120708748
tut,0.0005537098560354374
leid,0.0005537098560354374
tochter,0.0005537098560354374
freunde,0.0005537098560354374
schon,0.0011074197120708748
drei,0.0011074197120708748
spielen,0.0016611295681063123
kannst,0.0005537098560354374
ausprobieren,0.0005537098560354374
augenblick,0.0005537098560354374
quidditch,0.0011074197120708748
macht,0.0005537098560354374
sorgen,0.0005537098560354374
müde,0.0005537098560354374
brauchen,0.0005537098560354374
schlaf,0.0005537098560354374
plötzlich,0.0005537098560354374
hörte,0.0005537098560354374
mädchen,0.0005537098560354374
verabschiedete,0.0005537098560354374
fragte,0.0016611295681063123
fiel,0.0005537098560354374
musterte,0.0005537098560354374
schulter,0.0016611295681063123
mutter,0.0005537098560354374
unverhohlenem,0.0005537098560354374
interesse,0.0005537098560354374
amos,0.0005537098560354374
laut,0.0011074197120708748
tür,0.003875968992248062
hinausging,0.0005537098560354374
überhören,0.0005537098560354374
genoss,0.0005537098560354374
morgen,0.0005537098560354374
schlossgelände,0.0005537098560354374
flanieren,0.0005537098560354374
zeigen,0.0005537098560354374
vertrieben,0.0005537098560354374
nachmittag,0.0005537098560354374
langen,0.0027685492801771874
spaziergang,0.0005537098560354374
ums,0.0005537098560354374
schloss,0.0005537098560354374
kehrten,0.0005537098560354374
erst,0.0005537098560354374
abendlichen,0.0005537098560354374
festessen,0.0005537098560354374
große,0.0011074197120708748
halle,0.0005537098560354374
zurück,0.0011074197120708748
erkennen,0.0005537098560354374
halber,0.0005537098560354374
höhe,0.0005537098560354374
tribüne,0.0005537098560354374
höflich,0.0005537098560354374
beifall,0.0005537098560354374
spendeten,0.0005537098560354374
aufstieß,0.0005537098560354374
sah,0.004429678848283499
zermürbt,0.0005537098560354374
wirkende,0.0005537098560354374
madam,0.0005537098560354374
geschart,0.0005537098560354374
wandschirm,0.0005537098560354374
beiseitegeschoben,0.0005537098560354374
bett,0.0011074197120708748
saßen,0.0011074197120708748
starrten,0.0005537098560354374
hinweg,0.0005537098560354374
langes,0.0005537098560354374
haar,0.004429678848283499
pferdeschwanz,0.0005537098560354374
trug,0.0016611295681063123
pergamentbahnen,0.0005537098560354374
zusammenrollte,0.0005537098560354374
offen,0.0005537098560354374
tisch,0.0016611295681063123
lagen,0.0005537098560354374
blickte,0.0016611295681063123
reihum,0.0005537098560354374
zögerte,0.0005537098560354374
