term,relative_frequency
arbeit,0.001610305958132045
drachen,0.008051529790660225
erzählte,0.001610305958132045
zog,0.001610305958132045
blatt,0.001610305958132045
papier,0.001610305958132045
teehaube,0.001610305958132045
hervor,0.001610305958132045
beiden,0.001610305958132045
getroffen,0.001610305958132045
wusste,0.001610305958132045
rumänien,0.001610305958132045
erforschen,0.001610305958132045
ägypten,0.001610305958132045
zaubererbank,0.001610305958132045
gringotts,0.001610305958132045
arbeitete,0.001610305958132045
schlafen,0.001610305958132045
zimmer,0.001610305958132045
bekommen,0.001610305958132045
erklärte,0.001610305958132045
komm,0.00322061191626409
sagte,0.00966183574879227
hastig,0.00322061191626409
kramte,0.001610305958132045
hand,0.001610305958132045
voll,0.001610305958132045
besteck,0.001610305958132045
schublade,0.001610305958132045
gehen,0.001610305958132045
draußen,0.001610305958132045
helfen,0.001610305958132045
schicke,0.001610305958132045
mittag,0.001610305958132045
mrs,0.00322061191626409
weasley,0.001610305958132045
mann,0.001610305958132045
gewandt,0.001610305958132045
gingen,0.001610305958132045
hinaus,0.001610305958132045
folgten,0.001610305958132045
hof,0.001610305958132045
zelte,0.001610305958132045
ansah,0.001610305958132045
gedanken,0.001610305958132045
kommen,0.00322061191626409
gehörten,0.001610305958132045
zauberern,0.001610305958132045
überlegte,0.001610305958132045
problem,0.001610305958132045
zehnt,0.001610305958132045
ah,0.001610305958132045
ja,0.001610305958132045
grinsend,0.001610305958132045
sohn,0.001610305958132045
gerade,0.001610305958132045
ministerium,0.001610305958132045
angefangen,0.001610305958132045
nein,0.001610305958132045
tut,0.001610305958132045
leid,0.001610305958132045
tochter,0.001610305958132045
freunde,0.001610305958132045
lag,0.001610305958132045
starrte,0.001610305958132045
zeltplane,0.001610305958132045
träumereien,0.001610305958132045
fliegen,0.001610305958132045
wiegten,0.001610305958132045
schlaf,0.00322061191626409
erst,0.00322061191626409
lange,0.001610305958132045
nachdem,0.001610305958132045
schnarchen,0.001610305958132045
zelt,0.001610305958132045
erzittern,0.001610305958132045
ließ,0.001610305958132045
döste,0.001610305958132045
endlich,0.001610305958132045
schon,0.001610305958132045
drei,0.00322061191626409
spielen,0.004830917874396135
kannst,0.001610305958132045
ausprobieren,0.001610305958132045
augenblick,0.001610305958132045
quidditch,0.00322061191626409
macht,0.001610305958132045
sorgen,0.001610305958132045
müde,0.001610305958132045
brauchen,0.001610305958132045
plötzlich,0.001610305958132045
hörte,0.001610305958132045
mädchen,0.001610305958132045
verabschiedete,0.001610305958132045
zauberer,0.001610305958132045
ermahnt,0.001610305958132045
näher,0.001610305958132045
wandte,0.001610305958132045
erkannte,0.001610305958132045
deutete,0.001610305958132045
hinterteil,0.001610305958132045
hornschwanzes,0.001610305958132045
konnte,0.001610305958132045
erkennen,0.001610305958132045
schwanz,0.001610305958132045
bronzenen,0.001610305958132045
stacheln,0.001610305958132045
gespickt,0.001610305958132045
meinte,0.001610305958132045
sei,0.001610305958132045
schlimmste,0.001610305958132045
danke,0.001610305958132045
laut,0.001610305958132045
weiterplapperte,0.001610305958132045
verriet,0.001610305958132045
zuvor,0.001610305958132045
gezeigt,0.001610305958132045
natürlich,0.001610305958132045
immer,0.00322061191626409
weasleys,0.001610305958132045
päckchen,0.001610305958132045
neuesten,0.001610305958132045
pulli,0.001610305958132045
angekommen,0.00322061191626409
grün,0.001610305958132045
aufgesticktem,0.001610305958132045
vermutete,0.001610305958132045
hornschwanz,0.001610305958132045
erzählt,0.001610305958132045
unmenge,0.001610305958132045
gemachter,0.001610305958132045
pasteten,0.001610305958132045
gut,0.001610305958132045
heimkommt,0.001610305958132045
allein,0.001610305958132045
dachkammer,0.001610305958132045
schläft,0.001610305958132045
weihnachten,0.001610305958132045
gelaufen,0.001610305958132045
murmelte,0.001610305958132045
trotzdem,0.001610305958132045
erleichtert,0.001610305958132045
ankam,0.001610305958132045
abendliche,0.001610305958132045
geburtstagsessen,0.001610305958132045
küche,0.001610305958132045
fuchsbaus,0.001610305958132045
gesprengt,0.001610305958132045
hätte,0.001610305958132045
bereits,0.001610305958132045
gar,0.001610305958132045
wurden,0.001610305958132045
garten,0.001610305958132045
mehrere,0.001610305958132045
tische,0.001610305958132045
nebeneinander,0.001610305958132045
aufgestellt,0.001610305958132045
stürmten,0.001610305958132045
mehr,0.00322061191626409
leute,0.001610305958132045
vordertreppe,0.001610305958132045
hoch,0.001610305958132045
sah,0.001610305958132045
überholte,0.001610305958132045
smaragdgrünen,0.001610305958132045
pyjama,0.001610305958132045
anhatte,0.001610305958132045
