term,relative_frequency
schon,0.0023103581055063534
gut,0.0011551790527531767
gryffindor,0.0007701193685021178
ballbesitz,0.0003850596842510589
tor,0.0003850596842510589
zog,0.0011551790527531767
gegenrichtung,0.0003850596842510589
vorbei,0.0007701193685021178
suche,0.0003850596842510589
goldenen,0.0007701193685021178
schimmer,0.0007701193685021178
bemerkte,0.0007701193685021178
knapp,0.0007701193685021178
herflog,0.0003850596842510589
brachte,0.0003850596842510589
feuerblitz,0.0007701193685021178
touren,0.0003850596842510589
drehte,0.0003850596842510589
paar,0.0011551790527531767
runden,0.0003850596842510589
torstangen,0.0003850596842510589
fiel,0.0011551790527531767
zurück,0.0007701193685021178
ging,0.0015402387370042356
sturzflug,0.0007701193685021178
entging,0.0007701193685021178
stürzte,0.0011551790527531767
wurde,0.0011551790527531767
immer,0.0015402387370042356
schneller,0.0007701193685021178
unglaubliche,0.0003850596842510589
freude,0.0003850596842510589
durchflutete,0.0003850596842510589
sturzflüge,0.0003850596842510589
spezialität,0.0003850596842510589
drei,0.0015402387370042356
meter,0.0003850596842510589
entfernt,0.0003850596842510589
klatscher,0.0003850596842510589
treiber,0.0003850596842510589
ravenclaws,0.0019252984212552945
geschlagen,0.0003850596842510589
kam,0.0019252984212552945
angeschossen,0.0003850596842510589
machte,0.0011551790527531767
jähen,0.0003850596842510589
schlenker,0.0003850596842510589
haaresbreite,0.0003850596842510589
wenigen,0.0003850596842510589
entscheidenden,0.0003850596842510589
sekunden,0.0003850596842510589
verschwand,0.0007701193685021178
schnatz,0.0023103581055063534
macht,0.0003850596842510589
wirklich,0.0015402387370042356
hölle,0.0003850596842510589
heiß,0.0007701193685021178
geht,0.0007701193685021178
scharf,0.0007701193685021178
kurve,0.0003850596842510589
komet,0.0003850596842510589
einfach,0.0007701193685021178
mithalten,0.0003850596842510589
gleichgewichtsautomatik,0.0003850596842510589
feuerblitzes,0.0003850596842510589
erstaunlich,0.0003850596842510589
langen,0.0003850596842510589
holten,0.0003850596842510589
