term,relative_frequency
saß,0.0002865740077374982
platz,0.0001432870038687491
neben,0.000644791517409371
vergnügt,7.164350193437455e-05
feststellte,7.164350193437455e-05
sitzordnung,7.164350193437455e-05
gerade,0.0013612265367531164
glücklich,7.164350193437455e-05
auslachte,7.164350193437455e-05
verwandelte,0.00021493050580312365
hakennasigen,7.164350193437455e-05
lehrer,0.0002865740077374982
lachen,0.0005731480154749964
spitz,0.0001432870038687491
kalt,7.164350193437455e-05
wurde,0.0008597220232124946
grünes,7.164350193437455e-05
licht,0.00021493050580312365
flammte,7.164350193437455e-05
erwachte,7.164350193437455e-05
zitternd,7.164350193437455e-05
schweiß,0.0001432870038687491
gebadet,7.164350193437455e-05
duell,7.164350193437455e-05
mitternacht,7.164350193437455e-05
hätte,0.0011462960309499928
träumen,0.0001432870038687491
lassen,0.0004298610116062473
je,0.00021493050580312365
jungen,0.00021493050580312365
stoßen,7.164350193437455e-05
mehr,0.0007880785212781201
hasste,0.0001432870038687491
kennen,0.0001432870038687491
lernte,7.164350193437455e-05
seit,0.0005731480154749964
einladung,7.164350193437455e-05
einzigen,7.164350193437455e-05
brief,7.164350193437455e-05
bekommen,0.0001432870038687491
natürlich,0.0004298610116062473
schnell,0.00035821750967187277
bemerkt,0.0002865740077374982
freuten,7.164350193437455e-05
riesig,7.164350193437455e-05
erklärte,7.164350193437455e-05
all,0.0001432870038687491
jahre,0.0001432870038687491
falsch,7.164350193437455e-05
gemacht,7.164350193437455e-05
gib,7.164350193437455e-05
her,0.0002865740077374982
sagte,0.006018054162487462
ruhig,7.164350193437455e-05
konnte,0.002435879065768735
rechtzeitig,7.164350193437455e-05
ausweichen,7.164350193437455e-05
machte,0.0007164350193437455
scharf,0.0001432870038687491
kehrt,7.164350193437455e-05
hielt,0.0007164350193437455
besenstiel,0.00021493050580312365
sah,0.002722453073506233
triumphierende,7.164350193437455e-05
gesichter,7.164350193437455e-05
benommen,7.164350193437455e-05
hertrottete,7.164350193437455e-05
raschen,7.164350193437455e-05
schritts,7.164350193437455e-05
schloss,0.000644791517409371
zuging,7.164350193437455e-05
verschwunden,0.00035821750967187277
sahen,0.0001432870038687491
nahm,0.00035821750967187277
zauberstab,0.0019343745522281128
heraus,7.164350193437455e-05
fall,0.0001432870038687491
hereinsprang,7.164350193437455e-05
sofort,0.0004298610116062473
loslegte,7.164350193437455e-05
erhoben,7.164350193437455e-05
jemanden,0.0002865740077374982
sprechen,0.0001432870038687491
hörten,0.00021493050580312365
reingelegt,7.164350193437455e-05
halloween,7.164350193437455e-05
augen,0.0012179395328843674
trauen,7.164350193437455e-05
nächsten,0.0005015045135406219
tag,0.00021493050580312365
immer,0.0019343745522281128
hogwarts,0.00035821750967187277
müde,7.164350193437455e-05
glänzend,7.164350193437455e-05
gelaunt,0.0001432870038687491
riss,0.00035821750967187277
paket,7.164350193437455e-05
händen,0.0002865740077374982
betastete,7.164350193437455e-05
besen,0.0007164350193437455
geschickt,0.0001432870038687491
professor,0.0005015045135406219
pistole,7.164350193437455e-05
geschossen,0.0001432870038687491
nimbus,7.164350193437455e-05
zweitausend,7.164350193437455e-05
sir,0.00035821750967187277
kämpfen,7.164350193437455e-05
beim,0.0004298610116062473
anblick,0.0002865740077374982
gesicht,0.0017910875483593638
laut,0.0005015045135406219
loszulachen,7.164350193437455e-05
halb,0.0001432870038687491
unterdrücktem,7.164350193437455e-05
unverhohlene,7.164350193437455e-05
wut,0.0002865740077374982
bestürzung,7.164350193437455e-05
stiegen,0.0001432870038687491
marmortreppe,0.00021493050580312365
hoch,0.0005015045135406219
eifersüchtige,7.164350193437455e-05
zornige,7.164350193437455e-05
darauf,0.0002865740077374982
verlegt,7.164350193437455e-05
verhöhnen,7.164350193437455e-05
richtige,7.164350193437455e-05
familie,0.0002865740077374982
hasse,7.164350193437455e-05
beide,0.000644791517409371
dutzend,0.0001432870038687491
wert,0.0001432870038687491
idee,0.00035821750967187277
gebracht,7.164350193437455e-05
ausprobiert,7.164350193437455e-05
bereit,0.0001432870038687491
hals,0.0001432870038687491
jagen,7.164350193437455e-05
geringsten,0.0001432870038687491
anstalten,7.164350193437455e-05
schaden,7.164350193437455e-05
schrie,0.0009313655251468692
sprang,0.00035821750967187277
sitz,0.0001432870038687491
sehen,0.0010746525290156184
direkt,0.0005015045135406219
zuraste,7.164350193437455e-05
bemerkte,0.0005015045135406219
wälzten,0.0001432870038687491
stöhnen,7.164350193437455e-05
schreien,7.164350193437455e-05
knäuel,7.164350193437455e-05
drang,7.164350193437455e-05
bestand,7.164350193437455e-05
gesichtsausdruck,0.0001432870038687491
gefiel,7.164350193437455e-05
überhaupt,0.0002865740077374982
lächeln,7.164350193437455e-05
ganze,0.00035821750967187277
nächste,7.164350193437455e-05
woche,0.0001432870038687491
hängen,0.0001432870038687491
blieb,0.0002865740077374982
nervös,0.0002865740077374982
platzte,7.164350193437455e-05
los,0.00035821750967187277
kaum,0.0005731480154749964
beiden,0.0008597220232124946
erblickt,7.164350193437455e-05
versucht,0.00021493050580312365
finden,0.0002865740077374982
warnen,7.164350193437455e-05
nämlich,7.164350193437455e-05
gesagt,0.000644791517409371
hättest,7.164350193437455e-05
schüttelte,7.164350193437455e-05
heftig,0.0002865740077374982
kopf,0.0005731480154749964
schweigen,0.0001432870038687491
bringen,0.0001432870038687491
gesehen,0.0005731480154749964
gar,0.0002865740077374982
daran,0.0004298610116062473
gedacht,7.164350193437455e-05
erwischt,0.0001432870038687491
gehen,0.00021493050580312365
richtung,7.164350193437455e-05
fang,0.0002865740077374982
gingen,0.00021493050580312365
links,0.00021493050580312365
rechts,0.0001432870038687491
herz,0.00035821750967187277
waldes,7.164350193437455e-05
standen,0.00035821750967187277
erstarrt,0.0001432870038687491
becher,7.164350193437455e-05
tisch,0.0004298610116062473
hauen,0.0001432870038687491
jubelnd,7.164350193437455e-05
stupste,7.164350193437455e-05
rippen,0.0001432870038687491
deutete,0.0002865740077374982
aussah,0.00035821750967187277
jemand,0.00021493050580312365
ganzkörperklammer,7.164350193437455e-05
gejagt,7.164350193437455e-05
gerüchte,7.164350193437455e-05
schon,0.0013612265367531164
häufiger,7.164350193437455e-05
gehört,0.00035821750967187277
überraschten,7.164350193437455e-05
weiß,0.0005015045135406219
hauselfen,0.0002865740077374982
familiendiener,7.164350193437455e-05
schicken,7.164350193437455e-05
rückkehr,0.0001432870038687491
abzuhalten,7.164350193437455e-05
genau,0.0009313655251468692
ähnlich,0.0001432870038687491
nase,0.0004298610116062473
boden,0.0007880785212781201
aufgeschlagen,7.164350193437455e-05
tat,0.0005731480154749964
weh,7.164350193437455e-05
huschte,7.164350193437455e-05
leise,0.000644791517409371
hinüber,0.0005015045135406219
tür,0.0009313655251468692
geschafft,0.0001432870038687491
erschienen,0.0001432870038687491
zwei,0.000644791517409371
gestalten,0.0001432870038687491
seite,0.0005731480154749964
türglases,7.164350193437455e-05
davon,0.0008597220232124946
letzte,0.00035821750967187277
treffen,7.164350193437455e-05
verirrt,7.164350193437455e-05
ruß,7.164350193437455e-05
bedeckt,7.164350193437455e-05
zerbrochene,0.0001432870038687491
brille,0.0001432870038687491
trug,0.0001432870038687491
denken,0.0001432870038687491
sei,0.0002865740077374982
begabt,7.164350193437455e-05
wunderbare,0.0001432870038687491
narbe,7.164350193437455e-05
hast,0.0005015045135406219
mindestens,7.164350193437455e-05
mal,0.0013612265367531164
erzählt,0.0005015045135406219
mr,0.0009313655251468692
mahnendem,7.164350193437455e-05
blick,0.0012179395328843674
sohn,0.00021493050580312365
ersten,0.0002865740077374982
erinnern,7.164350193437455e-05
unklug,7.164350193437455e-05
allzu,0.0001432870038687491
angetan,0.0001432870038687491
meisten,0.00021493050580312365
helden,7.164350193437455e-05
betrachten,7.164350193437455e-05
schwarzen,0.00035821750967187277
lord,0.0001432870038687491
verjagt,7.164350193437455e-05
ah,7.164350193437455e-05
entfuhr,7.164350193437455e-05
freute,0.00021493050580312365
beschämt,7.164350193437455e-05
wütend,0.00035821750967187277
zugleich,7.164350193437455e-05
beobachtete,0.00021493050580312365
neugierigem,7.164350193437455e-05
ausgestellten,7.164350193437455e-05
versteck,7.164350193437455e-05
näher,0.0005015045135406219
rückte,0.0001432870038687491
komm,7.164350193437455e-05
wandte,0.0005731480154749964
ab,0.000644791517409371
wischte,0.0001432870038687491
ärmeln,7.164350193437455e-05
stirn,0.0001432870038687491
berühmte,7.164350193437455e-05
buchhandlung,0.0001432870038687491
titelseite,7.164350193437455e-05
zeitung,7.164350193437455e-05
kommen,0.00035821750967187277
ließ,0.0007880785212781201
bücher,7.164350193437455e-05
ebenfalls,0.00035821750967187277
kessel,0.0001432870038687491
fallen,0.0004298610116062473
stürzte,0.0005731480154749964
packten,7.164350193437455e-05
hinten,0.0004298610116062473
jacke,7.164350193437455e-05
weasley,0.0004298610116062473
gern,7.164350193437455e-05
autogrammkarte,7.164350193437455e-05
spottete,7.164350193437455e-05
wäre,0.0007880785212781201
haus,0.00035821750967187277
blitzschnell,7.164350193437455e-05
zog,0.0007880785212781201
geflickten,7.164350193437455e-05
hervor,0.0004298610116062473
schlug,0.00035821750967187277
abstecher,0.0001432870038687491
vampiren,7.164350193437455e-05
knallend,7.164350193437455e-05
flüsterte,0.00021493050580312365
achtung,7.164350193437455e-05
schraubstock,7.164350193437455e-05
gepresst,7.164350193437455e-05
spöttischem,7.164350193437455e-05
menge,0.0005015045135406219
verschwinden,0.0001432870038687491
spürte,0.00035821750967187277
ganz,0.0010746525290156184
schlimmes,7.164350193437455e-05
mund,0.0004298610116062473
zugemacht,7.164350193437455e-05
aufschrei,7.164350193437455e-05
hören,0.0008597220232124946
draußen,0.0004298610116062473
klo,0.0001432870038687491
luft,0.0005731480154749964
rein,0.0001432870038687491
brummte,7.164350193437455e-05
hätten,0.0001432870038687491
weniger,0.00021493050580312365
scherereien,7.164350193437455e-05
morgen,0.00021493050580312365
einfach,0.0005731480154749964
könntest,7.164350193437455e-05
schnapp,7.164350193437455e-05
schnatz,0.0007880785212781201
bevor,0.000644791517409371
tut,7.164350193437455e-05
stirb,7.164350193437455e-05
versuch,0.00021493050580312365
müssen,7.164350193437455e-05
heute,7.164350193437455e-05
unbedingt,0.0001432870038687491
gewinnen,7.164350193437455e-05
tauchte,0.0002865740077374982
rasch,0.00035821750967187277
auszuweichen,0.0001432870038687491
schaffte,7.164350193437455e-05
klatscher,0.00035821750967187277
harten,7.164350193437455e-05
schlag,0.00021493050580312365
zuzutreiben,7.164350193437455e-05
rief,0.000644791517409371
mitten,0.00035821750967187277
albernen,7.164350193437455e-05
tanz,7.164350193437455e-05
aufführen,7.164350193437455e-05
entgehen,7.164350193437455e-05
beschäftigt,7.164350193437455e-05
auszulachen,7.164350193437455e-05
quälenden,7.164350193437455e-05
moment,0.0004298610116062473
lang,0.0002865740077374982
schwebte,7.164350193437455e-05
wagte,0.00021493050580312365
loszurasen,7.164350193437455e-05
furcht,7.164350193437455e-05
hochschauen,7.164350193437455e-05
bemerken,7.164350193437455e-05
schleier,7.164350193437455e-05
regen,7.164350193437455e-05
schmerz,0.0001432870038687491
schimmernden,7.164350193437455e-05
grinsenden,7.164350193437455e-05
angst,0.0001432870038687491
aufreißen,7.164350193437455e-05
dachte,0.0009313655251468692
angreifen,0.00021493050580312365
unglaubliche,7.164350193437455e-05
fliegerei,7.164350193437455e-05
marcus,7.164350193437455e-05
flint,7.164350193437455e-05
fertiggemacht,7.164350193437455e-05
trugen,7.164350193437455e-05
liste,7.164350193437455e-05
dableiben,7.164350193437455e-05
kam,0.0005731480154749964
verdächtig,7.164350193437455e-05
lieblingsschüler,7.164350193437455e-05
schnippte,7.164350193437455e-05
dauernd,7.164350193437455e-05
pufferfischaugen,7.164350193437455e-05
wussten,7.164350193437455e-05
rächen,7.164350193437455e-05
bekämen,7.164350193437455e-05
schneller,0.0002865740077374982
strafarbeiten,7.164350193437455e-05
aufgehalst,7.164350193437455e-05
ungerecht,7.164350193437455e-05
sagen,0.0007880785212781201
konnten,0.0005015045135406219
spritzer,7.164350193437455e-05
abbekommen,7.164350193437455e-05
herüber,7.164350193437455e-05
abschwelltrank,7.164350193437455e-05
rauskriege,7.164350193437455e-05
wer,0.00035821750967187277
versuchte,0.000644791517409371
verkneifen,7.164350193437455e-05
vorn,0.0001432870038687491
rannte,0.0005015045135406219
gewicht,7.164350193437455e-05
melonengroßen,7.164350193437455e-05
gezogen,0.00021493050580312365
neigten,7.164350193437455e-05
merklich,7.164350193437455e-05
köpfe,0.00035821750967187277
ließen,7.164350193437455e-05
dabei,7.164350193437455e-05
zähle,7.164350193437455e-05
drei,0.0005015045135406219
sprecht,7.164350193437455e-05
zauberflüche,7.164350193437455e-05
entwaffnet,7.164350193437455e-05
gegner,0.00021493050580312365
entwaffnen,7.164350193437455e-05
unfälle,7.164350193437455e-05
eins,7.164350193437455e-05
schwang,7.164350193437455e-05
schulter,0.0004298610116062473
angefangen,7.164350193437455e-05
fluch,0.0007880785212781201
traf,0.0005015045135406219
hart,0.0004298610116062473
gefühl,0.00035821750967187277
suppentopf,7.164350193437455e-05
geflogen,7.164350193437455e-05
stolperte,0.0001432870038687491
schien,0.0005731480154749964
heil,7.164350193437455e-05
zeit,0.0005731480154749964
verschwenden,0.0001432870038687491
richtete,0.0005015045135406219
rictusempra,7.164350193437455e-05
aufgebracht,7.164350193437455e-05
kämpfenden,7.164350193437455e-05
hinweg,0.00021493050580312365
knie,0.0002865740077374982
sank,0.0001432870038687491
kitzelzauber,7.164350193437455e-05
belegt,0.0001432870038687491
bewegen,0.0001432870038687491
unsportlich,7.164350193437455e-05
verhexen,7.164350193437455e-05
lag,0.0005731480154749964
zurück,0.0007880785212781201
fehler,0.0001432870038687491
atem,0.0002865740077374982
ringend,7.164350193437455e-05
würgte,7.164350193437455e-05
tarantallegra,7.164350193437455e-05
beine,0.0002865740077374982
tanzen,7.164350193437455e-05
hörte,0.0007164350193437455
sammeln,7.164350193437455e-05
wär,7.164350193437455e-05
s,0.00035821750967187277
gestikulierte,7.164350193437455e-05
mitte,0.0001432870038687491
halle,0.00035821750967187277
richtet,7.164350193437455e-05
tun,0.00035821750967187277
störte,7.164350193437455e-05
drüben,0.0001432870038687491
slytherins,0.0010030090270812437
lauter,0.00021493050580312365
stimme,0.0007880785212781201
abfällige,7.164350193437455e-05
bemerkungen,0.0001432870038687491
neuen,0.00021493050580312365
pullover,7.164350193437455e-05
stolzierte,7.164350193437455e-05
leben,0.00021493050580312365
grinste,0.00021493050580312365
hämisch,0.0001432870038687491
wies,0.0001432870038687491
handbewegung,7.164350193437455e-05
folgen,0.0001432870038687491
schritt,0.0002865740077374982
hindurch,7.164350193437455e-05
folgten,0.0002865740077374982
wartet,7.164350193437455e-05
paar,0.0005731480154749964
freier,7.164350193437455e-05
stühle,0.0001432870038687491
entfernt,0.00021493050580312365
kamin,7.164350193437455e-05
geh,0.0001432870038687491
hol,7.164350193437455e-05
vater,0.0005015045135406219
neugierig,0.00021493050580312365
zeigen,0.0001432870038687491
