term,relative_frequency
name,0.002551020408163265
FIRENZE,0.04081632653061224
fügte,0.002551020408163265
hinzu,0.002551020408163265
ließ,0.002551020408163265
vorderbeine,0.002551020408163265
sinken,0.002551020408163265
rücken,0.00510204081632653
klettern,0.002551020408163265
konnte,0.00510204081632653
stellte,0.002551020408163265
plötzlich,0.002551020408163265
zornig,0.002551020408163265
hinterbeine,0.002551020408163265
schultern,0.002551020408163265
festklammern,0.002551020408163265
abzurutschen,0.002551020408163265
wirbelte,0.002551020408163265
herum,0.002551020408163265
klammerte,0.002551020408163265
gut,0.002551020408163265
stürzten,0.002551020408163265
bäume,0.00510204081632653
RONAN,0.002551020408163265
bane,0.01020408163265306
lassend,0.002551020408163265
ging,0.002551020408163265
schritt,0.002551020408163265
ermahnte,0.002551020408163265
wegen,0.002551020408163265
tiefen,0.002551020408163265
äste,0.002551020408163265
kopf,0.002551020408163265
gesenkt,0.002551020408163265
halten,0.002551020408163265
antwortete,0.002551020408163265
fragen,0.002551020408163265
wort,0.00510204081632653
sagen,0.002551020408163265
schlugen,0.002551020408163265
lange,0.002551020408163265
schweigend,0.002551020408163265
dachte,0.002551020408163265
wolle,0.002551020408163265
mehr,0.002551020408163265
sprechen,0.002551020408163265
blickte,0.002551020408163265
starr,0.002551020408163265
hinterkopf,0.002551020408163265
mondlicht,0.002551020408163265
silbern,0.002551020408163265
gesprenkelt,0.002551020408163265
glück,0.002551020408163265
sagte,0.007653061224489796
bemerkte,0.002551020408163265
verblassten,0.002551020408163265
hufförmigen,0.002551020408163265
bluterguss,0.002551020408163265
brust,0.00510204081632653
erinnerte,0.002551020408163265
fast,0.00510204081632653
vier,0.00510204081632653
jahren,0.00510204081632653
zentaur,0.002551020408163265
angeschrien,0.002551020408163265
erlaubt,0.002551020408163265
sicherheit,0.002551020408163265
bringen,0.002551020408163265
fragte,0.002551020408163265
getreten,0.002551020408163265
mag,0.002551020408163265
seherin,0.002551020408163265
weiß,0.002551020408163265
fuhr,0.002551020408163265
fort,0.002551020408163265
hörte,0.002551020408163265
erneut,0.002551020408163265
wedeln,0.002551020408163265
schweifs,0.002551020408163265
ab,0.002551020408163265
trottete,0.002551020408163265
verschwendet,0.002551020408163265
zeit,0.002551020408163265
hauptsächlich,0.002551020408163265
eitlen,0.002551020408163265
nonsens,0.002551020408163265
menschen,0.002551020408163265
wahrsagerei,0.002551020408163265
nennen,0.002551020408163265
deutete,0.002551020408163265
roten,0.002551020408163265
stern,0.002551020408163265
direkt,0.002551020408163265
wollten,0.002551020408163265
gerade,0.002551020408163265
folgen,0.002551020408163265
rief,0.002551020408163265
bitte,0.002551020408163265
meinte,0.002551020408163265
sauer,0.002551020408163265
gegangen,0.002551020408163265
arbeiten,0.002551020408163265
betrachtete,0.002551020408163265
profil,0.002551020408163265
eingehend,0.002551020408163265
worauf,0.002551020408163265
boden,0.002551020408163265
ragende,0.002551020408163265
wurzel,0.002551020408163265
stolperte,0.002551020408163265
erkannte,0.002551020408163265
bärtigen,0.002551020408163265
schwarzen,0.002551020408163265
körper,0.002551020408163265
nacht,0.002551020408163265
getroffen,0.002551020408163265
schutz,0.002551020408163265
wütenden,0.002551020408163265
tiraden,0.002551020408163265
trat,0.002551020408163265
unbemerkt,0.002551020408163265
näher,0.002551020408163265
lass,0.002551020408163265
mal,0.002551020408163265
klartext,0.002551020408163265
reden,0.002551020408163265
