term,relative_frequency
gehört,0.0006239276243955701
schulbesen,0.00015598190609889253
mokierten,0.00015598190609889253
kamen,0.0007799095304944627
halle,0.00015598190609889253
sahen,0.00031196381219778506
liefen,0.00015598190609889253
rasch,0.0006239276243955701
folgte,0.00031196381219778506
umkleideraum,0.00015598190609889253
lief,0.00015598190609889253
hoffnung,0.00015598190609889253
knie,0.00015598190609889253
nachgeben,0.00015598190609889253
lauten,0.00015598190609889253
anfeuerungsrufen,0.00015598190609889253
hinaus,0.0007799095304944627
spielfeld,0.00015598190609889253
trugen,0.00031196381219778506
blaue,0.00015598190609889253
pullover,0.00031196381219778506
großen,0.0006239276243955701
gelben,0.00015598190609889253
f,0.00015598190609889253
darauf,0.0004679457182966776
gestickt,0.00015598190609889253
besser,0.0004679457182966776
unserer,0.00015598190609889253
sagte,0.005459366713461238
hielt,0.0009358914365933552
hoch,0.00031196381219778506
schrank,0.00031196381219778506
treppe,0.00015598190609889253
eingeschlossen,0.00015598190609889253
zimmer,0.0006239276243955701
problem,0.00015598190609889253
beifahrersitz,0.00015598190609889253
kletterten,0.00015598190609889253
vorsichtig,0.00031196381219778506
durchs,0.00015598190609889253
fenster,0.00031196381219778506
verstehen,0.00015598190609889253
handwerk,0.00015598190609889253
dachte,0.0007799095304944627
haarnadel,0.00015598190609889253
tasche,0.00031196381219778506
zog,0.0004679457182966776
türschloss,0.00015598190609889253
stochern,0.00015598190609889253
begann,0.00031196381219778506
kletterte,0.00015598190609889253
zurück,0.0015598190609889253
wagen,0.0004679457182966776
gemeinsam,0.00015598190609889253
ziehen,0.00015598190609889253
schoben,0.0004679457182966776
drinnen,0.00015598190609889253
wenig,0.00031196381219778506
keuchte,0.00015598190609889253
kräftigen,0.00031196381219778506
schubser,0.00015598190609889253
warfen,0.00015598190609889253
schultern,0.00015598190609889253
koffer,0.0006239276243955701
rutschte,0.00031196381219778506
rücksitz,0.00015598190609889253
packten,0.00015598190609889253
arme,0.00031196381219778506
zogen,0.00031196381219778506
kraft,0.00015598190609889253
draußen,0.00031196381219778506
wollten,0.00015598190609889253
kleinen,0.00031196381219778506
pferdekoppel,0.00015598190609889253
weasleys,0.0006239276243955701
hügel,0.00015598190609889253
haus,0.00031196381219778506
zaubergrad,0.00015598190609889253
erklärte,0.00031196381219778506
verwirrtes,0.00015598190609889253
gesicht,0.0010918733426922478
sah,0.0031196381219778507
musst,0.00015598190609889253
klar,0.0004679457182966776
deutlich,0.00015598190609889253
sprechen,0.00031196381219778506
lieber,0.00031196381219778506
mrs,0.0015598190609889253
weasley,0.0017158009670878178
gewandt,0.00031196381219778506
hand,0.0020277647792856027
blumentopf,0.00015598190609889253
steckte,0.00031196381219778506
nervös,0.00015598190609889253
feuer,0.0004679457182966776
