term,relative_frequency
liste,0.0011641443538998836
neuen,0.0005820721769499418
bücher,0.0011641443538998836
folgende,0.0005820721769499418
schuljahr,0.0005820721769499418
enthalten,0.0005820721769499418
schüler,0.0005820721769499418
zweiten,0.0011641443538998836
klasse,0.0011641443538998836
benötigen,0.0005820721769499418
miranda,0.0005820721769499418
habicht,0.0005820721769499418
lehrbuch,0.0005820721769499418
zaubersprüche,0.0005820721769499418
band,0.0005820721769499418
tanz,0.0005820721769499418
todesfee,0.0005820721769499418
gammeln,0.0011641443538998836
ghulen,0.0011641443538998836
ferien,0.0005820721769499418
vetteln,0.0005820721769499418
trips,0.0005820721769499418
trollen,0.0005820721769499418
abstecher,0.0005820721769499418
vampiren,0.0005820721769499418
wanderungen,0.0005820721769499418
werwölfen,0.0005820721769499418
jahr,0.0005820721769499418
yeti,0.0005820721769499418
durchgesehen,0.0005820721769499418
spähte,0.0005820721769499418
hinüber,0.0011641443538998836
blatt,0.0017462165308498253
menge,0.002328288707799767
teilte,0.0005820721769499418
verfiel,0.0005820721769499418
erregtes,0.0005820721769499418
flüstern,0.0005820721769499418
machte,0.0005820721769499418
sprung,0.0005820721769499418
packte,0.0011641443538998836
arm,0.0034924330616996507
zog,0.0011641443538998836
vorn,0.0005820721769499418
gesicht,0.0017462165308498253
brannte,0.0005820721769499418
fotografen,0.0005820721769499418
hand,0.002328288707799767
schüttelte,0.0011641443538998836
besessen,0.0005820721769499418
bild,0.0005820721769499418
schoss,0.0005820721769499418
weasleys,0.0005820721769499418
dicken,0.0005820721769499418
rauch,0.0005820721769499418
hüllte,0.0005820721769499418
immer,0.0017462165308498253
schön,0.0005820721769499418
lächeln,0.0011641443538998836
sagte,0.011059371362048894
strahlend,0.0005820721769499418
weißen,0.0011641443538998836
zähne,0.0011641443538998836
zusammen,0.0005820721769499418
schaffen,0.0005820721769499418
titelseite,0.0005820721769499418
junge,0.0011641443538998836
heute,0.0005820721769499418
flourish,0.0005820721769499418
blotts,0.0005820721769499418
betrat,0.0011641443538998836
autobiographie,0.0005820721769499418
kaufen,0.0005820721769499418
natürlich,0.0005820721769499418
gerne,0.0005820721769499418
schenke,0.0005820721769499418
gab,0.0005820721769499418
beifall,0.0005820721769499418
ahnung,0.0005820721769499418
fuhr,0.0005820721769499418
fort,0.0005820721769499418
klein,0.0005820721769499418
wenig,0.0005820721769499418
brille,0.0005820721769499418
nasenspitze,0.0005820721769499418
rutschte,0.0005820721769499418
kürze,0.0005820721769499418
mehr,0.0005820721769499418
buch,0.0005820721769499418
zaubrisches,0.0005820721769499418
bekommen,0.0005820721769499418
jubelte,0.0005820721769499418
klatschte,0.0005820721769499418
sah,0.005820721769499418
plötzlich,0.0005820721769499418
sämtlichen,0.0005820721769499418
werken,0.0005820721769499418
beschenkt,0.0005820721769499418
paar,0.0011641443538998836
plätze,0.0005820721769499418
gewandet,0.0011641443538998836
aquamarinblauen,0.0005820721769499418
umhang,0.002328288707799767
tag,0.0005820721769499418
darauf,0.0011641443538998836
jedoch,0.0005820721769499418
kaum,0.0017462165308498253
grinsen,0.0005820721769499418
hinzugetreten,0.0005820721769499418
kam,0.0011641443538998836
schon,0.0034924330616996507
rasen,0.0005820721769499418
geschritten,0.0005820721769499418
begleitung,0.0005820721769499418
kopfschüttelnd,0.0005820721769499418
großen,0.0005820721769499418
blitzten,0.0005820721769499418
o,0.0005820721769499418
nein,0.0011641443538998836
professor,0.002910360884749709
sehen,0.0005820721769499418
streckte,0.0005820721769499418
schulter,0.0017462165308498253
gerade,0.0011641443538998836
mund,0.0005820721769499418
aufmachen,0.0005820721769499418
patschte,0.0011641443538998836
dröhnte,0.0005820721769499418
gönnerhaft,0.0005820721769499418
dumme,0.0005820721769499418
frage,0.0005820721769499418
schraubstock,0.0005820721769499418
gepresst,0.0011641443538998836
spöttischem,0.0005820721769499418
blick,0.0005820721769499418
verschwinden,0.0011641443538998836
herrschaften,0.0005820721769499418
verkrümelt,0.0005820721769499418
rief,0.0017462165308498253
umstehenden,0.0005820721769499418
ging,0.0011641443538998836
schlosstor,0.0005820721769499418
gesagt,0.0005820721769499418
väterlich,0.0005820721769499418
gebäude,0.0005820721769499418
seitentür,0.0005820721769499418
betraten,0.0005820721769499418
klassenzimmer,0.0005820721769499418
gelangt,0.0005820721769499418
endlich,0.0011641443538998836
ließ,0.0017462165308498253
los,0.0005820721769499418
zupfte,0.0005820721769499418
zurecht,0.0005820721769499418
suchte,0.0005820721769499418
platz,0.0011641443538998836
ganz,0.0011641443538998836
hinten,0.0005820721769499418
beschäftigte,0.0005820721769499418
sieben,0.0005820721769499418
aufzustapeln,0.0005820721769499418
leibhaftigen,0.0005820721769499418
anzusehen,0.0005820721769499418
brauchte,0.0005820721769499418
las,0.0005820721769499418
lieblingsfarbe,0.0005820721769499418
richtete,0.0017462165308498253
fast,0.0005820721769499418
tür,0.0011641443538998836
bitte,0.0011641443538998836
drei,0.0005820721769499418
rest,0.0005820721769499418
einfach,0.0017462165308498253
käfig,0.0005820721769499418
sperren,0.0005820721769499418
unheimliche,0.0005820721769499418
stimme,0.0005820721769499418
nächsten,0.0011641443538998836
tagen,0.0005820721769499418
häufig,0.0005820721769499418
beschäftigt,0.0005820721769499418
rasch,0.0005820721769499418
abzutauchen,0.0005820721769499418
herumstolzieren,0.0005820721769499418
schwarzweißer,0.0005820721769499418
bewegte,0.0005820721769499418
zerrte,0.0005820721769499418
leibeskräften,0.0005820721769499418
eigenen,0.0005820721769499418
erkannte,0.0005820721769499418
wartete,0.0005820721769499418
außer,0.0005820721769499418
sicht,0.0005820721769499418
busch,0.0005820721769499418
hervor,0.0005820721769499418
half,0.0005820721769499418
laut,0.0011641443538998836
anklopften,0.0005820721769499418
gefragt,0.0005820721769499418
wann,0.0005820721769499418
kommt,0.0005820721769499418
rein,0.0011641443538998836
dachte,0.0011641443538998836
wäre,0.0011641443538998836
vielleicht,0.0011641443538998836
halfen,0.0005820721769499418
schwelle,0.0005820721769499418
hütte,0.0005820721769499418
raum,0.0005820721769499418
ecke,0.0005820721769499418
riesiges,0.0005820721769499418
bett,0.0005820721769499418
stand,0.0005820721769499418
munteres,0.0005820721769499418
feuer,0.0005820721769499418
prasselte,0.0005820721769499418
helfen,0.0005820721769499418
dabei,0.0005820721769499418
fanpost,0.0005820721769499418
beantworten,0.0005820721769499418
schleppte,0.0005820721769499418
gang,0.0005820721769499418
stock,0.0005820721769499418
entlang,0.0011641443538998836
büro,0.0005820721769499418
kommen,0.0005820721769499418
herein,0.0005820721769499418
wände,0.0005820721769499418
spiegelten,0.0005820721769499418
zahllose,0.0005820721769499418
gerahmte,0.0005820721769499418
fotos,0.0005820721769499418
licht,0.0011641443538998836
vielen,0.0011641443538998836
kerzen,0.0017462165308498253
wider,0.0005820721769499418
wies,0.0005820721769499418
besondere,0.0005820721769499418
gunst,0.0005820721769499418
worte,0.0011641443538998836
abtröpfeln,0.0005820721769499418
gelegentlich,0.0005820721769499418
mmm,0.0005820721769499418
stimmt,0.0005820721769499418
ja,0.0005820721769499418
brannten,0.0005820721769499418
neige,0.0005820721769499418
warfen,0.0005820721769499418
flackerndes,0.0005820721769499418
gesichter,0.0005820721769499418
ansahen,0.0011641443538998836
bald,0.0011641443538998836
zeit,0.0011641443538998836
gehen,0.0005820721769499418
betrübt,0.0005820721769499418
lass,0.0005820721769499418
hörte,0.0005820721769499418
zischen,0.0005820721769499418
ausgehenden,0.0005820721769499418
gebrabbel,0.0005820721769499418
fans,0.0005820721769499418
höchst,0.0005820721769499418
erstaunt,0.0005820721769499418
