term,relative_frequency
GRAWP,0.02650602409638554
geschichte,0.0012048192771084338
flucht,0.0012048192771084338
freiheit,0.0012048192771084338
wurde,0.0024096385542168677
nächsten,0.0012048192771084338
tage,0.0012048192771084338
häufig,0.0012048192771084338
wiedererzählt,0.0012048192771084338
wusste,0.0036144578313253013
bald,0.0012048192771084338
stoff,0.0012048192771084338
gerade,0.0012048192771084338
mal,0.0024096385542168677
woche,0.0012048192771084338
sogar,0.0012048192771084338
miterlebt,0.0012048192771084338
schon,0.0024096385542168677
halbwegs,0.0012048192771084338
davon,0.0024096385542168677
überzeugt,0.0012048192771084338
hätten,0.0024096385542168677
gesehen,0.0012048192771084338
zwillinge,0.0012048192771084338
besenreitend,0.0012048192771084338
hinabgestürzt,0.0012048192771084338
stinkbomben,0.0012048192771084338
bombardiert,0.0012048192771084338
ehe,0.0012048192771084338
tür,0.0012048192771084338
hinausgeflogen,0.0012048192771084338
gewaltigen,0.0012048192771084338
moosbewachsenen,0.0012048192771084338
felsblock,0.0012048192771084338
links,0.0012048192771084338
großen,0.0024096385542168677
erdhügel,0.0012048192771084338
gehalten,0.0012048192771084338
erkannte,0.0012048192771084338
kopf,0.0024096385542168677
ungefähr,0.0012048192771084338
drei,0.0012048192771084338
meter,0.0024096385542168677
entfernt,0.0024096385542168677
hob,0.0012048192771084338
langen,0.0012048192771084338
abgebrochenen,0.0012048192771084338
ast,0.0012048192771084338
boden,0.0036144578313253013
lächelte,0.0012048192771084338
schulter,0.0012048192771084338
beruhigend,0.0012048192771084338
versetzte,0.0012048192771084338
astspitze,0.0012048192771084338
harten,0.0012048192771084338
stich,0.0012048192771084338
mitten,0.0012048192771084338
rücken,0.0012048192771084338
unterdessen,0.0012048192771084338
erhob,0.0012048192771084338
gigantische,0.0012048192771084338
erbebte,0.0012048192771084338
gewaltiger,0.0012048192771084338
hand,0.0024096385542168677
darauf,0.0024096385542168677
abstützte,0.0012048192771084338
knie,0.0012048192771084338
stemmen,0.0012048192771084338
sagte,0.0036144578313253013
hastete,0.0012048192771084338
hinüber,0.0012048192771084338
is,0.0024096385542168677
packte,0.0012048192771084338
zerrte,0.0012048192771084338
baum,0.0012048192771084338
stamm,0.0012048192771084338
vorbeischrammte,0.0012048192771084338
leer,0.0012048192771084338
faust,0.0012048192771084338
schloss,0.0024096385542168677
einzig,0.0012048192771084338
allein,0.0012048192771084338
spiel,0.0012048192771084338
reden,0.0012048192771084338
schwierig,0.0012048192771084338
gelegenheit,0.0012048192771084338
finden,0.0024096385542168677
erwähnen,0.0012048192771084338
konnten,0.0024096385542168677
lag,0.0012048192771084338
lief,0.0012048192771084338
hastig,0.0012048192771084338
zwei,0.0012048192771084338
dicke,0.0012048192771084338
baumstämme,0.0012048192771084338
bedrohlich,0.0012048192771084338
auseinanderbogen,0.0012048192771084338
unförmige,0.0012048192771084338
gestalt,0.0012048192771084338
riesen,0.006024096385542169
dazwischen,0.0012048192771084338
erschien,0.0012048192771084338
hagger,0.0012048192771084338
bedeutete,0.0012048192771084338
sprache,0.0012048192771084338
stammte,0.0012048192771084338
ziemlich,0.0012048192771084338
gleich,0.0012048192771084338
beobachtete,0.0012048192771084338
füße,0.0024096385542168677
fast,0.0024096385542168677
lang,0.0012048192771084338
ganzer,0.0012048192771084338
körper,0.0012048192771084338
spürte,0.0024096385542168677
schlotterte,0.0012048192771084338
erneut,0.0012048192771084338
mund,0.0024096385542168677
weit,0.0012048192771084338
öffnete,0.0012048192771084338
tiefer,0.0012048192771084338
polternder,0.0012048192771084338
stimme,0.0012048192771084338
eben,0.0012048192771084338
zentauren,0.0036144578313253013
gewartet,0.0012048192771084338
ausgestreckte,0.0012048192771084338
finger,0.0012048192771084338
halben,0.0012048192771084338
mehr,0.0024096385542168677
sirrten,0.0012048192771084338
fünfzig,0.0012048192771084338
pfeile,0.0012048192771084338
luft,0.0012048192771084338
pfefferten,0.0012048192771084338
gewaltiges,0.0012048192771084338
gesicht,0.0012048192771084338
schrie,0.0012048192771084338
stampfte,0.0012048192771084338
riesigen,0.0012048192771084338
füßen,0.0024096385542168677
stoben,0.0012048192771084338
tropfen,0.0012048192771084338
blut,0.0024096385542168677
groß,0.0024096385542168677
kieselsteine,0.0012048192771084338
prasselten,0.0012048192771084338
herab,0.0012048192771084338
zog,0.0012048192771084338
beiden,0.0012048192771084338
schnell,0.0012048192771084338
schutz,0.0012048192771084338
bäume,0.0024096385542168677
rannten,0.0012048192771084338
sahen,0.0012048192771084338
zorn,0.0012048192771084338
aufbrüllte,0.0012048192771084338
nachstürzte,0.0012048192771084338
wobei,0.0024096385542168677
beiseiteschlug,0.0012048192771084338
nein,0.0012048192771084338
verjagt,0.0012048192771084338
selben,0.0012048192771084338
moment,0.0012048192771084338
sanften,0.0012048192771084338
stups,0.0012048192771084338
umhang,0.0012048192771084338
hinunterblickte,0.0012048192771084338
sah,0.0036144578313253013
nächste,0.0012048192771084338
thestral,0.0012048192771084338
ärmel,0.0012048192771084338
leckte,0.0012048192771084338
feucht,0.0012048192771084338
n,0.0012048192771084338
guter,0.0012048192771084338
kerl,0.0012048192771084338
grunde,0.0012048192771084338
tatsächlich,0.0024096385542168677
gedanken,0.0012048192771084338
gemacht,0.0012048192771084338
nich,0.0012048192771084338
probieren,0.0012048192771084338
ne,0.0012048192771084338
freundin,0.0012048192771084338
hätte,0.0012048192771084338
normalerweise,0.0012048192771084338
sofort,0.0012048192771084338
versucht,0.0012048192771084338
idee,0.0012048192771084338
auszureden,0.0012048192771084338
aussicht,0.0012048192771084338
zweiter,0.0012048192771084338
riese,0.0036144578313253013
wald,0.0012048192771084338
wohnlich,0.0012048192771084338
einrichtete,0.0012048192771084338
womöglich,0.0012048192771084338
wilder,0.0012048192771084338
brutaler,0.0012048192771084338
sicher,0.0012048192771084338
grund,0.0012048192771084338
beunruhigung,0.0012048192771084338
irgendwie,0.0012048192771084338
brachte,0.0012048192771084338
kraft,0.0012048192771084338
einwand,0.0012048192771084338
durchzusetzen,0.0012048192771084338
richtete,0.0012048192771084338
blick,0.0012048192771084338
hinteren,0.0012048192771084338
reihe,0.0012048192771084338
zuging,0.0012048192771084338
hinzog,0.0012048192771084338
saß,0.0012048192771084338
jacke,0.0012048192771084338
hose,0.0012048192771084338
jeweils,0.0012048192771084338
kleines,0.0012048192771084338
zirkuszelt,0.0012048192771084338
hässlichen,0.0012048192771084338
felsblockartigen,0.0012048192771084338
geneigt,0.0012048192771084338
friedlich,0.0012048192771084338
menschlich,0.0012048192771084338
konnte,0.0012048192771084338
restliche,0.0012048192771084338
abordnung,0.0012048192771084338
ministeriums,0.0012048192771084338
warten,0.0012048192771084338
sehen,0.0012048192771084338
schluchzenden,0.0012048192771084338
immer,0.0024096385542168677
plätzen,0.0012048192771084338
saßen,0.0012048192771084338
nervöse,0.0012048192771084338
blicke,0.0012048192771084338
zuwarfen,0.0012048192771084338
antwortete,0.0012048192771084338
stand,0.0012048192771084338
leicht,0.0012048192771084338
geöffnet,0.0012048192771084338
wenig,0.0012048192771084338
erinnerte,0.0012048192771084338
taumelte,0.0012048192771084338
ecke,0.0012048192771084338
schlosses,0.0012048192771084338
erst,0.0012048192771084338
bewusst,0.0012048192771084338
kleinwüchsiger,0.0012048192771084338
angreifenden,0.0012048192771084338
trieben,0.0012048192771084338
todesser,0.0024096385542168677
auseinander,0.0012048192771084338
flohen,0.0012048192771084338
stampfenden,0.0012048192771084338
herandonnernde,0.0012048192771084338
verstärkung,0.0012048192771084338
woher,0.0012048192771084338
gekommen,0.0012048192771084338
rückte,0.0012048192771084338
näher,0.0012048192771084338
große,0.0012048192771084338
geflügelte,0.0012048192771084338
wesen,0.0012048192771084338
VOLDEMORT,0.0024096385542168677
köpfe,0.0012048192771084338
flogen,0.0012048192771084338
thestrale,0.0012048192771084338
hippogreif,0.0012048192771084338
SEIDENSCHNABEL,0.0012048192771084338
augen,0.0012048192771084338
auskratzten,0.0012048192771084338
fäusten,0.0012048192771084338
einschlug,0.0012048192771084338
eintrommelte,0.0012048192771084338
wurden,0.0012048192771084338
zauberer,0.0012048192771084338
verteidiger,0.0012048192771084338
hogwarts,0.0012048192771084338
gleichermaßen,0.0012048192771084338
zurück,0.0012048192771084338
gezwungen,0.0012048192771084338
