term,relative_frequency
sagte,0.004297994269340974
gut,0.0028653295128939827
gelaunt,0.0014326647564469914
schüttelte,0.0014326647564469914
hand,0.0028653295128939827
gerade,0.0014326647564469914
mund,0.0028653295128939827
aufgemacht,0.0014326647564469914
hallo,0.0014326647564469914
sagen,0.0028653295128939827
bemerkte,0.0014326647564469914
abrupt,0.0014326647564469914
kehrtmachte,0.0014326647564469914
floh,0.0014326647564469914
erzählte,0.0014326647564469914
reißaus,0.0028653295128939827
genommen,0.0028653295128939827
erbe,0.0014326647564469914
slytherin,0.0014326647564469914
vermute,0.0014326647564469914
magen,0.0028653295128939827
machte,0.0028653295128939827
umdrehung,0.0014326647564469914
plötzlich,0.0014326647564469914
einfiel,0.0014326647564469914
mittag,0.0014326647564469914
hättest,0.0014326647564469914
wunder,0.0014326647564469914
panische,0.0014326647564469914
angst,0.0028653295128939827
gekriegt,0.0014326647564469914
hast,0.0028653295128939827
geklungen,0.0014326647564469914
schlange,0.0014326647564469914
anstacheln,0.0014326647564469914
würdest,0.0014326647564469914
gruslig,0.0014326647564469914
weißt,0.0014326647564469914
starrte,0.0014326647564469914
offenem,0.0014326647564469914
nutzte,0.0014326647564469914
vielleicht,0.0014326647564469914
freie,0.0014326647564469914
stunde,0.0014326647564469914
wenig,0.0014326647564469914
arbeiten,0.0014326647564469914
beschloss,0.0014326647564469914
zuerst,0.0014326647564469914
bibliothek,0.0014326647564469914
nachzuschauen,0.0014326647564469914
natürlich,0.0014326647564469914
gewartet,0.0028653295128939827
seit,0.0028653295128939827
gegenüber,0.0028653295128939827
herausgerutscht,0.0028653295128939827
muggelkind,0.0028653295128939827
stapfte,0.0014326647564469914
treppen,0.0014326647564469914
hoch,0.0014326647564469914
bog,0.0014326647564469914
korridor,0.0014326647564469914
dunkler,0.0014326647564469914
scharfer,0.0014326647564469914
eisiger,0.0014326647564469914
luftzug,0.0014326647564469914
pfiff,0.0014326647564469914
angeln,0.0014326647564469914
schlagendes,0.0014326647564469914
fenster,0.0014326647564469914
fackeln,0.0014326647564469914
gelöscht,0.0014326647564469914
lehrer,0.0014326647564469914
fast,0.0028653295128939827
kopflosen,0.0028653295128939827
beugten,0.0014326647564469914
untersuchen,0.0014326647564469914
schmetterte,0.0014326647564469914
PEEVES,0.0014326647564469914
liedchen,0.0014326647564469914
ach,0.0014326647564469914
schwein,0.0014326647564469914
getan,0.0014326647564469914
dachte,0.0014326647564469914
daran,0.0014326647564469914
sagten,0.0014326647564469914
wachsende,0.0014326647564469914
irgendetwas,0.0014326647564469914
verband,0.0014326647564469914
nein,0.0028653295128939827
gibt,0.0014326647564469914
professor,0.0014326647564469914
doppelangriff,0.0014326647564469914
verwandelte,0.0014326647564469914
angespannte,0.0014326647564469914
stimmung,0.0014326647564469914
schloss,0.0014326647564469914
helle,0.0014326647564469914
panik,0.0014326647564469914
tisch,0.0014326647564469914
hufflepuffs,0.0014326647564469914
herübereilte,0.0014326647564469914
drücken,0.0014326647564469914
endlos,0.0014326647564469914
dafür,0.0014326647564469914
entschuldigen,0.0014326647564469914
verdächtigt,0.0014326647564469914
halb,0.0014326647564469914
vier,0.0014326647564469914
nacht,0.0014326647564469914
auftauchte,0.0014326647564469914
heftig,0.0014326647564469914
schultern,0.0014326647564469914
klopfte,0.0014326647564469914
nase,0.0014326647564469914
puddingteller,0.0014326647564469914
fielen,0.0014326647564469914
vierhundert,0.0014326647564469914
punkte,0.0014326647564469914
gryffindor,0.0014326647564469914
zweite,0.0014326647564469914
jahr,0.0014326647564469914
folge,0.0014326647564469914
hauspokal,0.0014326647564469914
einbrachten,0.0014326647564469914
verkündete,0.0014326647564469914
prüfungen,0.0014326647564469914
seien,0.0014326647564469914
kleines,0.0014326647564469914
geschenk,0.0014326647564469914
schule,0.0014326647564469914
gestrichen,0.0014326647564469914
worden,0.0014326647564469914
o,0.0014326647564469914
macmillan,0.004297994269340974
denen,0.0028653295128939827
verstand,0.0014326647564469914
redeten,0.0014326647564469914
mehr,0.0014326647564469914
obwohl,0.0014326647564469914
selben,0.0014326647564469914
setzkasten,0.0014326647564469914
standen,0.0014326647564469914
springende,0.0014326647564469914
knollen,0.0014326647564469914
umtopften,0.0014326647564469914
erster,0.0014326647564469914
kam,0.0014326647564469914
dicht,0.0014326647564469914
gefolgt,0.0014326647564469914
zusammen,0.0014326647564469914
salto,0.0014326647564469914
rückwärts,0.0014326647564469914
üblich,0.0014326647564469914
kichernden,0.0014326647564469914
freundinnen,0.0014326647564469914
danach,0.0014326647564469914
allein,0.0014326647564469914
verträumt,0.0014326647564469914
zufällig,0.0014326647564469914
hätte,0.0014326647564469914
hereinkommen,0.0014326647564469914
folgten,0.0014326647564469914
rückenlangen,0.0014326647564469914
zopf,0.0014326647564469914
deren,0.0014326647564469914
name,0.0014326647564469914
kannte,0.0014326647564469914
drei,0.004297994269340974
ziemlich,0.0014326647564469914
sicher,0.0014326647564469914
hießen,0.0014326647564469914
großer,0.0014326647564469914
hagerer,0.0014326647564469914
blonder,0.0014326647564469914
junge,0.0014326647564469914
stupsnase,0.0014326647564469914
mitglied,0.0014326647564469914
hufflepuff,0.0014326647564469914
vager,0.0014326647564469914
erinnerung,0.0014326647564469914
nachhut,0.0014326647564469914
freund,0.0014326647564469914
großen,0.0014326647564469914
papiertüten,0.0014326647564469914
bepackt,0.0014326647564469914
proppenvoll,0.0014326647564469914
sachen,0.0014326647564469914
zonkos,0.0014326647564469914
laden,0.0014326647564469914
schließlich,0.0014326647564469914
fertig,0.0014326647564469914
reiche,0.0014326647564469914
auswahl,0.0014326647564469914
zaubern,0.0014326647564469914
flüchen,0.0014326647564469914
anzuwenden,0.0014326647564469914
beigebracht,0.0014326647564469914
ähnelten,0.0014326647564469914
ehesten,0.0014326647564469914
gigantischen,0.0014326647564469914
schnecken,0.0014326647564469914
gezwängt,0.0014326647564469914
hievten,0.0014326647564469914
aufs,0.0014326647564469914
gepäckregal,0.0014326647564469914
ließen,0.0014326647564469914
schwitzen,0.0014326647564469914
