term,relative_frequency
angesichts,0.000663129973474801
verzweiflung,0.000663129973474801
endlich,0.001326259946949602
streit,0.000663129973474801
wegen,0.000663129973474801
KRUMMBEIN,0.028514588859416445
vergessen,0.001326259946949602
weißt,0.000663129973474801
fürchte,0.000663129973474801
recht,0.000663129973474801
sagt,0.000663129973474801
erklärte,0.000663129973474801
argwöhnisch,0.000663129973474801
vertrieb,0.000663129973474801
stunden,0.000663129973474801
dämmerung,0.000663129973474801
kamin,0.000663129973474801
stand,0.001326259946949602
verscheuchte,0.000663129973474801
schon,0.004641909814323607
treppe,0.000663129973474801
jungenschlafsaal,0.000663129973474801
emporschleichen,0.000663129973474801
packte,0.000663129973474801
KRAETZE,0.001989389920424403
schwanz,0.000663129973474801
trat,0.000663129973474801
fuß,0.001326259946949602
jedoch,0.000663129973474801
vergeblich,0.000663129973474801
traf,0.001326259946949602
koffer,0.001326259946949602
bett,0.001989389920424403
fügte,0.000663129973474801
gewandt,0.000663129973474801
hinzu,0.000663129973474801
gelbe,0.000663129973474801
augen,0.0033156498673740055
immer,0.001326259946949602
heimtückisch,0.000663129973474801
gerichtet,0.000663129973474801
erhobenem,0.000663129973474801
haupt,0.000663129973474801
hinausmarschierte,0.000663129973474801
sicher,0.000663129973474801
gefressen,0.000663129973474801
erklären,0.000663129973474801
tatsachen,0.000663129973474801
richtung,0.001326259946949602
deuteten,0.000663129973474801
riss,0.000663129973474801
geduldsfaden,0.000663129973474801
hund,0.000663129973474801
sehen,0.000663129973474801
konnte,0.0033156498673740055
vorbote,0.000663129973474801
todes,0.000663129973474801
gesehen,0.000663129973474801
schlich,0.000663129973474801
körper,0.000663129973474801
boden,0.001326259946949602
geschmiegt,0.000663129973474801
weit,0.000663129973474801
aufgerissenen,0.000663129973474801
gelben,0.001326259946949602
gespenstisch,0.000663129973474801
dunkelheit,0.001989389920424403
glimmend,0.000663129973474801
gewaltigen,0.000663129973474801
sprung,0.000663129973474801
setzte,0.000663129973474801
bevor,0.001989389920424403
hand,0.001989389920424403
rühren,0.000663129973474801
warf,0.000663129973474801
tarnumhang,0.000663129973474801
ab,0.001326259946949602
rannte,0.000663129973474801
hinterher,0.000663129973474801
lang,0.001326259946949602
sagte,0.0033156498673740055
folgte,0.000663129973474801
gebeugtem,0.000663129973474801
rücken,0.000663129973474801
prächtigen,0.000663129973474801
himmelbett,0.000663129973474801
verstaubten,0.000663129973474801
vorhängen,0.000663129973474801
fläzte,0.000663129973474801
anblick,0.000663129973474801
laut,0.001326259946949602
schnurren,0.000663129973474801
begann,0.000663129973474801
getümmel,0.000663129973474801
geworfen,0.000663129973474801
klauen,0.000663129973474801
beider,0.000663129973474801
vorderpfoten,0.000663129973474801
gruben,0.000663129973474801
tief,0.000663129973474801
arm,0.000663129973474801
schüttelte,0.000663129973474801
schoss,0.000663129973474801
zauberstab,0.003978779840848806
brüllte,0.000663129973474801
versetzte,0.000663129973474801
fußtritt,0.000663129973474801
fauchend,0.000663129973474801
ecke,0.001326259946949602
fliegen,0.000663129973474801
ließ,0.001326259946949602
schnappte,0.000663129973474801
wandte,0.000663129973474801
mum,0.000663129973474801
versucht,0.000663129973474801
VOLDEMORT,0.000663129973474801
retten,0.001326259946949602
getan,0.000663129973474801
wort,0.000663129973474801
sagen,0.000663129973474801
huschte,0.000663129973474801
rostbraunes,0.000663129973474801
vorbei,0.000663129973474801
blacks,0.001326259946949602
brust,0.001326259946949602
gesprungen,0.000663129973474801
genau,0.000663129973474801
herzen,0.000663129973474801
zusammengerollt,0.000663129973474801
starrte,0.001326259946949602
black,0.005305039787798408
umklammerte,0.001326259946949602
fester,0.000663129973474801
verbündet,0.000663129973474801
bereit,0.000663129973474801
sterben,0.000663129973474801
schützen,0.000663129973474801
ging,0.000663129973474801
zeigte,0.000663129973474801
mehr,0.001326259946949602
scherte,0.000663129973474801
eltern,0.000663129973474801
hob,0.000663129973474801
zuckte,0.001326259946949602
heftig,0.000663129973474801
zusammen,0.001989389920424403
fast,0.000663129973474801
gerutscht,0.000663129973474801
wäre,0.000663129973474801
krampfhaft,0.000663129973474801
tu,0.000663129973474801
s,0.000663129973474801
stimmte,0.000663129973474801
fiel,0.000663129973474801
plötzlich,0.000663129973474801
krank,0.000663129973474801
ausgesehen,0.000663129973474801
seit,0.001326259946949602
rückkehr,0.000663129973474801
ägypten,0.000663129973474801
geflohen,0.001326259946949602
kater,0.002652519893899204
verrückt,0.000663129973474801
heiserer,0.000663129973474801
stimme,0.000663129973474801
ganz,0.002652519893899204
deutlich,0.000663129973474801
sah,0.0033156498673740055
haare,0.001326259946949602
gesicht,0.001989389920424403
händen,0.000663129973474801
sprießen,0.000663129973474801
hände,0.000663129973474801
ballten,0.000663129973474801
klauenartigen,0.000663129973474801
pfoten,0.000663129973474801
standen,0.000663129973474801
berge,0.000663129973474801
wich,0.000663129973474801
zurück,0.000663129973474801
werwolf,0.000663129973474801
aufbäumte,0.000663129973474801
langes,0.000663129973474801
maul,0.000663129973474801
aufriss,0.000663129973474801
verschwand,0.000663129973474801
seite,0.000663129973474801
moment,0.000663129973474801
musterte,0.000663129973474801
eule,0.000663129973474801
scharf,0.000663129973474801
verblüffung,0.000663129973474801
hielt,0.000663129973474801
beschnüffeln,0.000663129973474801
nase,0.000663129973474801
gnomen,0.001326259946949602
irre,0.000663129973474801
giggeln,0.000663129973474801
hören,0.000663129973474801
pfote,0.001326259946949602
stiefel,0.000663129973474801
steckte,0.001326259946949602
aushieb,0.000663129973474801
paar,0.001326259946949602
irrem,0.000663129973474801
lachen,0.000663129973474801
rosenbüsche,0.000663129973474801
rasten,0.000663129973474801
dicht,0.000663129973474801
gefolgt,0.000663129973474801
fühlte,0.001326259946949602
richtig,0.000663129973474801
satt,0.000663129973474801
zufrieden,0.000663129973474801
welt,0.000663129973474801
brauchte,0.000663129973474801
ganze,0.001326259946949602
weile,0.000663129973474801
knallern,0.000663129973474801
erholen,0.000663129973474801
london,0.000663129973474801
erreichten,0.000663129973474801
furchtbar,0.000663129973474801
