term,relative_frequency
einfach,0.0009041591320072332
fassen,0.0009041591320072332
tot,0.0009041591320072332
arme,0.0009041591320072332
kleine,0.0009041591320072332
muggels,0.0009041591320072332
leben,0.0009041591320072332
ja,0.0045207956600361665
traurig,0.0009041591320072332
reiß,0.0009041591320072332
zusammen,0.0018083182640144665
entdecken,0.0009041591320072332
flüsterte,0.0009041591320072332
klopfte,0.0009041591320072332
behutsam,0.0009041591320072332
arm,0.0009041591320072332
niedrige,0.0009041591320072332
gartenmauer,0.0009041591320072332
stieg,0.0009041591320072332
vordereingang,0.0009041591320072332
trat,0.0009041591320072332
haus,0.0009041591320072332
gerettet,0.0009041591320072332
nachdem,0.0009041591320072332
getötet,0.0009041591320072332
wurden,0.0009041591320072332
expecto,0.0009041591320072332
weißer,0.0009041591320072332
nebel,0.0009041591320072332
erstickte,0.0009041591320072332
sinne,0.0009041591320072332
große,0.0009041591320072332
verschwommene,0.0009041591320072332
gestalten,0.0009041591320072332
bewegten,0.0009041591320072332
her,0.0009041591320072332
hörte,0.0009041591320072332
neue,0.0018083182640144665
stimme,0.0018083182640144665
mannes,0.0009041591320072332
schrie,0.0009041591320072332
angst,0.0009041591320072332
überwältigt,0.0009041591320072332
nimm,0.0018083182640144665
lauf,0.0009041591320072332
versucht,0.0009041591320072332
aufzuhalten,0.0009041591320072332
frau,0.0009041591320072332
zugerufen,0.0009041591320072332
reißen,0.0009041591320072332
fliehen,0.0009041591320072332
VOLDEMORT,0.003616636528028933
zugegangen,0.0009041591320072332
befohlen,0.0009041591320072332
beiseitezutreten,0.0009041591320072332
töten,0.0018083182640144665
konnte,0.0009041591320072332
angefleht,0.0009041591320072332
statt,0.0009041591320072332
geweigert,0.0009041591320072332
preiszugeben,0.0009041591320072332
ermordet,0.0009041591320072332
zauberstab,0.0027124773960217
gerichtet,0.0009041591320072332
kannte,0.0009041591320072332
einzelheiten,0.0009041591320072332
stimmen,0.0009041591320072332
eltern,0.0009041591320072332
gehört,0.0009041591320072332
letztes,0.0009041591320072332
jahr,0.0009041591320072332
dementoren,0.0018083182640144665
kämpfte,0.0018083182640144665
schreckliche,0.0009041591320072332
gabe,0.0009041591320072332
zwangen,0.0009041591320072332
opfer,0.0009041591320072332
schlimmsten,0.0009041591320072332
erinnerungen,0.0009041591320072332
lebens,0.0009041591320072332
durchleiden,0.0009041591320072332
wehrlos,0.0009041591320072332
verzweiflung,0.0009041591320072332
ertrinken,0.0009041591320072332
begann,0.0009041591320072332
erneut,0.0018083182640144665
sprechen,0.0009041591320072332
klang,0.0009041591320072332
ferne,0.0009041591320072332
erinnerte,0.0009041591320072332
grimmauldplatz,0.0009041591320072332
gesagt,0.0009041591320072332
hätte,0.0009041591320072332
vertrauensschüler,0.0009041591320072332
gemacht,0.0009041591320072332
hoffnung,0.0009041591320072332
könne,0.0009041591320072332
wenig,0.0009041591320072332
bändigen,0.0009041591320072332
denkarium,0.0009041591320072332
dagesessen,0.0009041591320072332
geschehen,0.0009041591320072332
lassen,0.0009041591320072332
dachte,0.0009041591320072332
immer,0.0018083182640144665
daran,0.0009041591320072332
eingegriffen,0.0009041591320072332
wäre,0.0009041591320072332
mutter,0.0018083182640144665
etwa,0.0009041591320072332
gestorben,0.003616636528028933
retten,0.0009041591320072332
natürlich,0.0018083182640144665
fuhr,0.0009041591320072332
fort,0.0009041591320072332
genau,0.0018083182640144665
musterte,0.0009041591320072332
gibt,0.0009041591320072332
seit,0.0009041591320072332
jahren,0.0009041591320072332
gerüchte,0.0009041591320072332
erinnere,0.0009041591320072332
schrecklichen,0.0009041591320072332
nacht,0.0009041591320072332
überlebten,0.0009041591320072332
hieß,0.0009041591320072332
kräfte,0.0009041591320072332
müssen,0.0009041591320072332
gewöhnlichen,0.0009041591320072332
hüstelte,0.0009041591320072332
leise,0.0009041591320072332
offensichtlich,0.0009041591320072332
amüsierte,0.0009041591320072332
skepsis,0.0009041591320072332
andeuten,0.0009041591320072332
gleiche,0.0009041591320072332
intuitive,0.0009041591320072332
gespür,0.0009041591320072332
zaubertrankbrauerei,0.0009041591320072332
zweifellos,0.0009041591320072332
bezoar,0.0009041591320072332
hand,0.0027124773960217
funktioniert,0.0009041591320072332
allerdings,0.0009041591320072332
wirken,0.0009041591320072332
ziemlich,0.0009041591320072332
selten,0.0009041591320072332
trotzdem,0.0009041591320072332
wissenswert,0.0009041591320072332
gegengifte,0.0009041591320072332
mischt,0.0009041591320072332
einzige,0.0009041591320072332
raum,0.0009041591320072332
wütender,0.0009041591320072332
dreinblickte,0.0009041591320072332
vergnügen,0.0009041591320072332
bekleckert,0.0009041591320072332
katzenkotze,0.0009041591320072332
aussah,0.0009041591320072332
beide,0.0009041591320072332
jagd,0.0009041591320072332
sohn,0.0018083182640144665
geschickt,0.0009041591320072332
moment,0.0009041591320072332
wichtig,0.0009041591320072332
brief,0.0027124773960217
ungeheurer,0.0009041591320072332
schatz,0.0009041591320072332
beweis,0.0009041591320072332
dafür,0.0009041591320072332
gelebt,0.0018083182640144665
wirklich,0.0009041591320072332
warme,0.0009041591320072332
einst,0.0009041591320072332
pergament,0.0009041591320072332
bewegt,0.0009041591320072332
tintenspur,0.0009041591320072332
buchstaben,0.0009041591320072332
gezogen,0.0009041591320072332
wörter,0.0018083182640144665
steckte,0.0009041591320072332
foto,0.0018083182640144665
tasche,0.0009041591320072332
suchte,0.0009041591320072332
zweiten,0.0009041591320072332
blatt,0.0009041591320072332
hinknien,0.0009041591320072332
ganz,0.0018083182640144665
nahe,0.0009041591320072332
herantreten,0.0009041591320072332
worte,0.0009041591320072332
erkennen,0.0018083182640144665
darin,0.0009041591320072332
eingemeißelt,0.0009041591320072332
geboren,0.0018083182640144665
märz,0.0009041591320072332
oktober,0.0018083182640144665
januar,0.0009041591320072332
letzte,0.0009041591320072332
feind,0.0009041591320072332
zerstört,0.0009041591320072332
tod,0.0009041591320072332
leicht,0.0018083182640144665
allzu,0.0009041591320072332
mitgenommen,0.0009041591320072332
flieh,0.0009041591320072332
jagt,0.0009041591320072332
dritten,0.0009041591320072332
hinterher,0.0009041591320072332
