term,relative_frequency
crouch,0.0016326530612244899
befreite,0.0008163265306122449
umklammerung,0.0008163265306122449
richtete,0.0008163265306122449
abstand,0.0008163265306122449
auffälligste,0.0008163265306122449
zauberern,0.0008163265306122449
bisher,0.0008163265306122449
gesehen,0.0008163265306122449
ließ,0.0008163265306122449
alten,0.0008163265306122449
archie,0.0008163265306122449
geblümten,0.0008163265306122449
nachthemd,0.0008163265306122449
blass,0.0016326530612244899
aussehen,0.0024489795918367346
nase,0.0008163265306122449
gebrochen,0.0008163265306122449
vermutlich,0.0008163265306122449
verirrten,0.0008163265306122449
klatscher,0.0008163265306122449
dachte,0.0024489795918367346
runden,0.0008163265306122449
blauen,0.0008163265306122449
augen,0.0032653061224489797
kurzes,0.0008163265306122449
blondes,0.0008163265306122449
haar,0.0008163265306122449
rosiges,0.0016326530612244899
gesicht,0.0016326530612244899
ließen,0.0016326530612244899
groß,0.0008163265306122449
gewachsenen,0.0008163265306122449
schuljungen,0.0008163265306122449
stutzte,0.0008163265306122449
namen,0.0016326530612244899
fast,0.0008163265306122449
unmerklich,0.0008163265306122449
huschten,0.0008163265306122449
schon,0.005714285714285714
kannte,0.0008163265306122449
narbe,0.0008163265306122449
stirn,0.0008163265306122449
juckte,0.0008163265306122449
eigenen,0.0008163265306122449
feuerblitz,0.0008163265306122449
steigen,0.0008163265306122449
auszuprobieren,0.0008163265306122449
irgendwie,0.0008163265306122449
all,0.0008163265306122449
kurvenreichen,0.0008163265306122449
schaubildern,0.0008163265306122449
nie,0.0008163265306122449
richtig,0.0016326530612244899
geschafft,0.0008163265306122449
zeigen,0.0008163265306122449
zug,0.0008163265306122449
sah,0.0032653061224489797
umhang,0.0016326530612244899
gehüllt,0.0008163265306122449
rücken,0.0008163265306122449
trug,0.0008163265306122449
stellte,0.0008163265306122449
gefühl,0.0008163265306122449
hunderttausendköpfige,0.0008163265306122449
menge,0.0032653061224489797
brüllen,0.0008163265306122449
hören,0.0008163265306122449
stimme,0.0008163265306122449
stadion,0.0008163265306122449
hallte,0.0008163265306122449
kommt,0.0008163265306122449
schwachen,0.0008163265306122449
licht,0.0008163265306122449
beiden,0.0008163265306122449
zauberstäbe,0.0008163265306122449
konnte,0.0016326530612244899
erkennen,0.0008163265306122449
erscheinung,0.0008163265306122449
deutlich,0.0008163265306122449
gewandelt,0.0008163265306122449
verraten,0.0008163265306122449
hogwarts,0.0016326530612244899
passiert,0.0008163265306122449
grummelte,0.0008163265306122449
setzte,0.0008163265306122449
neben,0.0008163265306122449
blick,0.0032653061224489797
wanderte,0.0008163265306122449
zurück,0.0008163265306122449
wäre,0.0016326530612244899
sicher,0.0008163265306122449
soeben,0.0008163265306122449
missverstanden,0.0008163265306122449
plötzlich,0.0008163265306122449
bemerkt,0.0016326530612244899
eingetreten,0.0008163265306122449
sprang,0.0008163265306122449
kam,0.0032653061224489797
beschwingt,0.0008163265306122449
darf,0.0008163265306122449
vorstellen,0.0008163265306122449
fügte,0.0008163265306122449
hinzu,0.0008163265306122449
wies,0.0008163265306122449
hexe,0.0008163265306122449
magentaroten,0.0008163265306122449
schreibt,0.0008163265306122449
tagespropheten,0.0008163265306122449
kleinen,0.0008163265306122449
artikel,0.0008163265306122449
turnier,0.0016326530612244899
vielleicht,0.0008163265306122449
ganz,0.0032653061224489797
klein,0.0008163265306122449
sagte,0.008979591836734694
gerichtet,0.0008163265306122449
fragte,0.0016326530612244899
abzuwenden,0.0008163265306122449
sekunde,0.0008163265306122449
vergangen,0.0008163265306122449
öffnete,0.0016326530612244899
bund,0.0008163265306122449
purpurnen,0.0008163265306122449
seidensäckchens,0.0008163265306122449
ähm,0.0016326530612244899
ja,0.0024489795918367346
tonlos,0.0008163265306122449
stand,0.0016326530612244899
ging,0.0008163265306122449
zelt,0.0008163265306122449
schritte,0.0016326530612244899
fort,0.0024489795918367346
bäume,0.0008163265306122449
führte,0.0016326530612244899
väterlicher,0.0008163265306122449
miene,0.0008163265306122449
ansah,0.0008163265306122449
niemand,0.0008163265306122449
erfahren,0.0008163265306122449
augenzwinkernd,0.0008163265306122449
kommentar,0.0008163265306122449
machte,0.0008163265306122449
schlimmer,0.0008163265306122449
furchtbare,0.0008163265306122449
bilder,0.0008163265306122449
nahmen,0.0008163265306122449
kopf,0.0008163265306122449
gestalt,0.0008163265306122449
lauschte,0.0008163265306122449
oooh,0.0008163265306122449
knapp,0.0016326530612244899
verfehlt,0.0008163265306122449
geht,0.0008163265306122449
volles,0.0008163265306122449
risiko,0.0008163265306122449
junge,0.0008163265306122449
rief,0.0016326530612244899
hörte,0.0024489795918367346
chinesische,0.0008163265306122449
feuerball,0.0008163265306122449
grauenhaften,0.0008163265306122449
kreischenden,0.0008163265306122449
schrei,0.0008163265306122449
ausstieß,0.0008163265306122449
schlag,0.0008163265306122449
atem,0.0008163265306122449
anhielt,0.0008163265306122449
tobte,0.0008163265306122449
irgendetwas,0.0008163265306122449
erreichte,0.0008163265306122449
ohren,0.0008163265306122449
zuhören,0.0008163265306122449
unwichtig,0.0008163265306122449
schwang,0.0008163265306122449
bein,0.0008163265306122449
besen,0.0016326530612244899
stieß,0.0008163265306122449
boden,0.0008163265306122449
ab,0.0016326530612244899
nächsten,0.0008163265306122449
musikpause,0.0008163265306122449
gab,0.0008163265306122449
allseits,0.0008163265306122449
beifall,0.0008163265306122449
hand,0.0008163265306122449
küsste,0.0008163265306122449
platz,0.0008163265306122449
zurückschlängelte,0.0008163265306122449
wimmelte,0.0008163265306122449
jedoch,0.0008163265306122449
ziemlich,0.0008163265306122449
schnell,0.0008163265306122449
entdeckte,0.0008163265306122449
winkte,0.0008163265306122449
tisch,0.0008163265306122449
herüber,0.0008163265306122449
mund,0.0008163265306122449
fragen,0.0016326530612244899
unterbrach,0.0008163265306122449
deutete,0.0008163265306122449
spiegel,0.0008163265306122449
bar,0.0024489795918367346
spiegelbild,0.0008163265306122449
schar,0.0008163265306122449
kobolde,0.0024489795918367346
dunklen,0.0008163265306122449
ecke,0.0008163265306122449
sitzen,0.0008163265306122449
tatsächlich,0.0008163265306122449
merkwürdig,0.0016326530612244899
drei,0.0008163265306122449
saß,0.0008163265306122449
wochenende,0.0008163265306122449
richter,0.0008163265306122449
benötigt,0.0008163265306122449
wurde,0.0008163265306122449
moment,0.0016326530612244899
warf,0.0008163265306122449
erkannte,0.0008163265306122449
barsch,0.0008163265306122449
kobolden,0.0008163265306122449
sagen,0.0016326530612244899
hastete,0.0008163265306122449
pub,0.0008163265306122449
jungenhaft,0.0008163265306122449
grinsend,0.0008163265306122449
ans,0.0008163265306122449
ende,0.0008163265306122449
weit,0.0008163265306122449
möglich,0.0008163265306122449
madam,0.0008163265306122449
ROSMERTA,0.0008163265306122449
mal,0.0016326530612244899
glänzenden,0.0008163265306122449
leistung,0.0008163265306122449
hornschwanz,0.0008163265306122449
gratulieren,0.0016326530612244899
danke,0.0024489795918367346
wusste,0.0008163265306122449
hätte,0.0016326530612244899
alptraum,0.0008163265306122449
sag,0.0008163265306122449
murmelte,0.0008163265306122449
beobachtete,0.0008163265306122449
auffiel,0.0008163265306122449
immer,0.0016326530612244899
scharf,0.0008163265306122449
visier,0.0008163265306122449
blickte,0.0008163265306122449
rundes,0.0008163265306122449
geweiteten,0.0008163265306122449
babyblauen,0.0008163265306122449
ungeduldig,0.0008163265306122449
stell,0.0008163265306122449
sieger,0.0008163265306122449
nein,0.0024489795918367346
letzten,0.0008163265306122449
enttäuschten,0.0008163265306122449
jungs,0.0008163265306122449
schienen,0.0008163265306122449
weniger,0.0008163265306122449
enttäuscht,0.0008163265306122449
mr,0.0024489795918367346
musterte,0.0008163265306122449
übel,0.0008163265306122449
stich,0.0008163265306122449
gelassen,0.0008163265306122449
behauptet,0.0008163265306122449
suchen,0.0008163265306122449
entgegnete,0.0008163265306122449
ungeheuer,0.0008163265306122449
erleichtert,0.0008163265306122449
schien,0.0008163265306122449
sehen,0.0008163265306122449
wisperte,0.0008163265306122449
zog,0.0008163265306122449
paar,0.0008163265306122449
standen,0.0008163265306122449
strahlten,0.0008163265306122449
entgegen,0.0008163265306122449
ufer,0.0008163265306122449
zuschwammen,0.0008163265306122449
jünger,0.0008163265306122449
aussah,0.0008163265306122449
wasser,0.0008163265306122449
gepatscht,0.0008163265306122449
begrüßen,0.0008163265306122449
zogen,0.0008163265306122449
beine,0.0008163265306122449
madame,0.0008163265306122449
griff,0.0008163265306122449
entwunden,0.0008163265306122449
umarmte,0.0008163265306122449
schwester,0.0008163265306122449
bester,0.0008163265306122449
wirkung,0.0008163265306122449
kiemenkraut,0.0008163265306122449
genommen,0.0008163265306122449
fuhr,0.0008163265306122449
gesagt,0.0008163265306122449
dunkeln,0.0008163265306122449
tappen,0.0008163265306122449
launig,0.0008163265306122449
letzte,0.0008163265306122449
hecke,0.0008163265306122449
gestiegen,0.0008163265306122449
dreien,0.0008163265306122449
angelangt,0.0008163265306122449
grinste,0.0008163265306122449
schön,0.0008163265306122449
mehr,0.0008163265306122449
habt,0.0008163265306122449
gehen,0.0008163265306122449
oben,0.0008163265306122449
schloss,0.0024489795918367346
wenig,0.0008163265306122449
frisch,0.0008163265306122449
schlängelten,0.0008163265306122449
wachsenden,0.0008163265306122449
irrgarten,0.0008163265306122449
raschen,0.0008163265306122449
schritten,0.0008163265306122449
ahnte,0.0008163265306122449
gleich,0.0008163265306122449
hilfe,0.0008163265306122449
anbieten,0.0008163265306122449
tippte,0.0008163265306122449
schulter,0.0008163265306122449
gut,0.0024489795918367346
unterdrückte,0.0008163265306122449
lächeln,0.0008163265306122449
denke,0.0008163265306122449
finde,0.0008163265306122449
allein,0.0008163265306122449
zweiten,0.0008163265306122449
pfeifen,0.0008163265306122449
locker,0.0008163265306122449
endlich,0.0008163265306122449
