term,relative_frequency
unruhige,0.00030441400304414006
nacht,0.00030441400304414006
ja,0.0006088280060882801
sagte,0.009741248097412482
verträumt,0.0006088280060882801
augen,0.0006088280060882801
abzuwenden,0.00030441400304414006
sahen,0.0006088280060882801
beim,0.0006088280060882801
lachen,0.0006088280060882801
blick,0.0012176560121765602
heft,0.0006088280060882801
boden,0.0015220700152207
geworfen,0.00030441400304414006
fiel,0.00030441400304414006
plötzlich,0.0006088280060882801
bückte,0.00030441400304414006
flugs,0.00030441400304414006
danach,0.0006088280060882801
paar,0.0009132420091324201
interessante,0.00030441400304414006
durchaus,0.00030441400304414006
möchte,0.00030441400304414006
gern,0.0006088280060882801
zurückhaben,0.00030441400304414006
danke,0.00030441400304414006
kalt,0.00030441400304414006
beugte,0.00030441400304414006
riss,0.0006088280060882801
hand,0.0009132420091324201
konnte,0.0012176560121765602
offen,0.00030441400304414006
reden,0.00030441400304414006
trage,0.00030441400304414006
eule,0.00030441400304414006
willst,0.00030441400304414006
langte,0.00030441400304414006
PIDWIDGEON,0.00030441400304414006
TREVOR,0.00030441400304414006
vorsichtig,0.00030441400304414006
innentasche,0.00030441400304414006
steckte,0.00030441400304414006
trägt,0.00030441400304414006
antwortete,0.0006088280060882801
wandte,0.0012176560121765602
rasch,0.0006088280060882801
unbedingt,0.0006088280060882801
fragen,0.00030441400304414006
wissen,0.0009132420091324201
pferdewesen,0.00030441400304414006
kutsche,0.00030441400304414006
zugingen,0.00030441400304414006
bereits,0.00030441400304414006
saßen,0.0006088280060882801
begierig,0.00030441400304414006
neue,0.00030441400304414006
lied,0.00030441400304414006
sprechenden,0.00030441400304414006
huts,0.00030441400304414006
mochte,0.0006088280060882801
erzählen,0.00030441400304414006
gleiche,0.00030441400304414006
halluzination,0.00030441400304414006
fielen,0.00030441400304414006
unheimlichen,0.00030441400304414006
geflügelten,0.00030441400304414006
pferde,0.00030441400304414006
abend,0.00030441400304414006
ankunft,0.00030441400304414006
gesehen,0.0012176560121765602
denen,0.0015220700152207
behauptet,0.00030441400304414006
könne,0.00030441400304414006
sehen,0.0006088280060882801
