term,relative_frequency
einfach,0.0006192909119058678
fassen,0.00015482272797646694
tot,0.00015482272797646694
arme,0.0003096454559529339
kleine,0.0003096454559529339
muggels,0.00015482272797646694
leben,0.0003096454559529339
ja,0.0015482272797646694
traurig,0.00015482272797646694
reiß,0.00015482272797646694
zusammen,0.00015482272797646694
entdecken,0.00015482272797646694
flüsterte,0.00046446818392940084
klopfte,0.0003096454559529339
behutsam,0.00015482272797646694
arm,0.00015482272797646694
niedrige,0.00015482272797646694
gartenmauer,0.00015482272797646694
stieg,0.00015482272797646694
vordereingang,0.00015482272797646694
trat,0.0003096454559529339
freundlichen,0.0003096454559529339
grüßen,0.0003096454559529339
stellvertretende,0.00046446818392940084
schulleiterin,0.0006192909119058678
feuerwerk,0.00015482272797646694
explodierten,0.00015482272797646694
fragen,0.0003096454559529339
kopf,0.0007741136398823347
konnte,0.0021675181916705373
entscheiden,0.00015482272797646694
zuerst,0.00046446818392940084
stellen,0.00015482272797646694
gang,0.00015482272797646694
rechten,0.00015482272797646694
summen,0.00015482272797646694
hunderter,0.00015482272797646694
stimmen,0.0003096454559529339
hören,0.0003096454559529339
schüler,0.0006192909119058678
mussten,0.00015482272797646694
schon,0.0018578727357176034
führte,0.00046446818392940084
erstklässler,0.0003096454559529339
leere,0.00046446818392940084
kammer,0.0003096454559529339
neben,0.0010837590958352687
halle,0.0006192909119058678
wandte,0.0013934045517882026
blick,0.0013934045517882026
rasch,0.0006192909119058678
unten,0.00046446818392940084
schweigend,0.00046446818392940084
vierbeinigen,0.00015482272797646694
stuhl,0.00015482272797646694
stellte,0.0003096454559529339
wünschte,0.00015482272797646694
bevorzugen,0.00015482272797646694
sagte,0.009289363678588018
sah,0.002941631831552872
triumphierende,0.00015482272797646694
gesichter,0.00015482272797646694
benommen,0.00015482272797646694
hertrottete,0.00015482272797646694
raschen,0.00015482272797646694
schritts,0.00015482272797646694
schloss,0.0009289363678588017
zuging,0.00015482272797646694
folgt,0.00015482272797646694
beiden,0.0012385818238117355
gingen,0.0003096454559529339
korridor,0.0007741136398823347
entlang,0.00046446818392940084
wobei,0.00015482272797646694
neugierige,0.00015482272797646694
blicke,0.00046446818392940084
zuwarf,0.00015482272797646694
plattgemacht,0.00015482272797646694
slytherin,0.00015482272797646694
letzten,0.0006192909119058678
spiel,0.00046446818392940084
wochenlang,0.00015482272797646694
augen,0.0006192909119058678
sehen,0.0012385818238117355
ernstem,0.0003096454559529339
brillengläser,0.00015482272797646694
hinweg,0.00015482272797646694
gerade,0.0006192909119058678
erzählt,0.0006192909119058678
passiert,0.0003096454559529339
nachdem,0.00046446818392940084
gegangen,0.00015482272797646694
professor,0.0023223409196470044
fiel,0.0003096454559529339
schwer,0.00046446818392940084
freude,0.00015482272797646694
verbergen,0.00015482272797646694
brief,0.00015482272797646694
lesen,0.00015482272797646694
gab,0.0006192909119058678
besonderen,0.0003096454559529339
umstände,0.00015482272797646694
eingehend,0.00015482272797646694
erläutert,0.00015482272797646694
blickte,0.00046446818392940084
letzte,0.0003096454559529339
woche,0.0006192909119058678
vorbeigekommen,0.00015482272797646694
liste,0.0006192909119058678
eingetragen,0.00015482272797646694
weihnachtsferien,0.00015482272797646694
dableiben,0.00015482272797646694
sofort,0.00046446818392940084
gemeldet,0.00015482272797646694
beobachtete,0.00015482272797646694
mehr,0.0013934045517882026
wein,0.00015482272797646694
verlangte,0.00015482272797646694
gesicht,0.0010837590958352687
immer,0.0013934045517882026
röter,0.00015482272797646694
wurde,0.0020126954636940702
schließlich,0.0003096454559529339
wange,0.0003096454559529339
küsste,0.0003096454559529339
verdutzt,0.00015482272797646694
feststellte,0.00015482272797646694
leicht,0.00046446818392940084
verrutschten,0.00015482272797646694
spitzhut,0.00015482272797646694
errötete,0.00015482272797646694
anfing,0.00015482272797646694
kichern,0.00015482272797646694
platzte,0.00015482272797646694
los,0.0003096454559529339
kaum,0.0006192909119058678
erblickt,0.00015482272797646694
versucht,0.0003096454559529339
finden,0.0003096454559529339
warnen,0.00015482272797646694
nämlich,0.00046446818392940084
gesagt,0.0010837590958352687
hättest,0.00015482272797646694
schüttelte,0.00015482272797646694
heftig,0.0003096454559529339
schweigen,0.00046446818392940084
bringen,0.00046446818392940084
gesehen,0.0010837590958352687
ganzen,0.0006192909119058678
aufregung,0.00015482272797646694
verlorenen,0.00015482272797646694
punkte,0.00046446818392940084
ganz,0.0007741136398823347
vergessen,0.0003096454559529339
strafarbeiten,0.00015482272797646694
ließ,0.00046446818392940084
vorsicht,0.00015482272797646694
fahren,0.00015482272797646694
geht,0.00046446818392940084
stein,0.00015482272797646694
weisen,0.00015482272797646694
erwartet,0.00046446818392940084
heute,0.0006192909119058678
nacht,0.0003096454559529339
sobald,0.0003096454559529339
sicher,0.0012385818238117355
kalter,0.0003096454559529339
stimme,0.0009289363678588017
gewandt,0.0003096454559529339
gryffindor,0.0006192909119058678
sprechen,0.0003096454559529339
scharf,0.00046446818392940084
unterbrach,0.0003096454559529339
helfen,0.0003096454559529339
dabei,0.0006192909119058678
fanpost,0.00015482272797646694
beantworten,0.00015482272797646694
holen,0.00015482272797646694
madam,0.0006192909119058678
hastete,0.00015482272797646694
fußende,0.00015482272797646694
