term,relative_frequency
fresse,0.0007002801120448179
sagte,0.011204481792717087
matt,0.0007002801120448179
blickte,0.0014005602240896359
zurück,0.0007002801120448179
spähte,0.0007002801120448179
verfilztes,0.0007002801120448179
rotbraunes,0.0007002801120448179
haar,0.004901960784313725
niedergeschlagen,0.0007002801120448179
hinüber,0.0014005602240896359
unentwegt,0.0007002801120448179
anstarrte,0.0007002801120448179
stöberte,0.0007002801120448179
fahrig,0.0007002801120448179
taschen,0.0007002801120448179
zog,0.0007002801120448179
schmierige,0.0007002801120448179
schwarze,0.0007002801120448179
pfeife,0.0007002801120448179
hervor,0.0007002801120448179
tisch,0.0014005602240896359
sitzen,0.0007002801120448179
geblieben,0.0007002801120448179
immer,0.0014005602240896359
traurig,0.0007002801120448179
anblinzelte,0.0007002801120448179
hör,0.0007002801120448179
mal,0.0021008403361344537
wär,0.0007002801120448179
ja,0.0014005602240896359
nich,0.0007002801120448179
weggegangen,0.0007002801120448179
beugte,0.0007002801120448179
schlug,0.0007002801120448179
flehenden,0.0007002801120448179
ton,0.0007002801120448179
einmalige,0.0007002801120448179
geschäft,0.0007002801120448179
spürte,0.0014005602240896359
knien,0.0007002801120448179
entlangstreichen,0.0007002801120448179
zuckte,0.0007002801120448179
zusammen,0.0007002801120448179
KRUMMBEIN,0.0014005602240896359
säbelbeiniger,0.0007002801120448179
orangeroter,0.0007002801120448179
kater,0.0007002801120448179
schnurrend,0.0007002801120448179
beine,0.0007002801120448179
schlängelte,0.0007002801120448179
schoß,0.0007002801120448179
hüpfte,0.0007002801120448179
zusammenrollte,0.0007002801120448179
drehten,0.0007002801120448179
tauchten,0.0007002801120448179
blitzschnell,0.0007002801120448179
sorry,0.0007002801120448179
altes,0.0007002801120448179
haus,0.0028011204481792717
absicht,0.0007002801120448179
lachten,0.0007002801120448179
rücklings,0.0007002801120448179
stuhl,0.0007002801120448179
gefallen,0.0007002801120448179
rappelte,0.0007002801120448179
fluchend,0.0007002801120448179
zornig,0.0007002801120448179
gefaucht,0.0007002801120448179
anrichte,0.0007002801120448179
geflohen,0.0007002801120448179
großen,0.0007002801120448179
gelben,0.0007002801120448179
augen,0.0021008403361344537
dunkelheit,0.0007002801120448179
glommen,0.0007002801120448179
versseihung,0.0007002801120448179
rasch,0.0007002801120448179
wischte,0.0007002801120448179
zwinkerte,0.0014005602240896359
reihum,0.0007002801120448179
seit,0.0007002801120448179
abgehauen,0.0007002801120448179
statt,0.0007002801120448179
folgen,0.0007002801120448179
ganz,0.0021008403361344537
scharf,0.0007002801120448179
drauf,0.0007002801120448179
schnecke,0.0007002801120448179
mama,0.0007002801120448179
legt,0.0007002801120448179
los,0.0007002801120448179
oh,0.0014005602240896359
weiß,0.0007002801120448179
gelinde,0.0007002801120448179
erschrocken,0.0007002801120448179
meinung,0.0007002801120448179
gefragt,0.0007002801120448179
stahl,0.0007002801120448179
davon,0.0014005602240896359
ecke,0.0014005602240896359
köpfe,0.0007002801120448179
zusammengesteckt,0.0007002801120448179
verstummte,0.0007002801120448179
sah,0.0014005602240896359
winkte,0.0007002801120448179
heran,0.0007002801120448179
schon,0.0014005602240896359
ordnung,0.0007002801120448179
erklärte,0.0007002801120448179
vertrauen,0.0007002801120448179
finanzier,0.0007002801120448179
schau,0.0007002801120448179
mitgebracht,0.0007002801120448179
streckte,0.0007002801120448179
hand,0.0007002801120448179
entgegen,0.0007002801120448179
macht,0.0007002801120448179
gern,0.0007002801120448179
witze,0.0007002801120448179
gewandt,0.0007002801120448179
vermutete,0.0007002801120448179
mitglied,0.0007002801120448179
ordens,0.0007002801120448179
vorbeischauen,0.0007002801120448179
kam,0.0007002801120448179
lehnte,0.0007002801120448179
bequemer,0.0007002801120448179
wand,0.0014005602240896359
SEIDENSCHNABEL,0.0007002801120448179
raum,0.0007002801120448179
versteckte,0.0007002801120448179
versuchte,0.0007002801120448179
vergessen,0.0014005602240896359
hungrig,0.0007002801120448179
hippogreif,0.0007002801120448179
toten,0.0007002801120448179
ratten,0.0007002801120448179
fütterte,0.0007002801120448179
auto,0.0007002801120448179
bezweifelte,0.0007002801120448179
stark,0.0007002801120448179
zustimmung,0.0007002801120448179
besitzers,0.0007002801120448179
ausgeliehen,0.0007002801120448179
zauber,0.0007002801120448179
vergrößert,0.0007002801120448179
worden,0.0007002801120448179
einst,0.0007002801120448179
alte,0.0007002801120448179
ford,0.0007002801120448179
anglia,0.0007002801120448179
weasleys,0.0007002801120448179
mrs,0.0007002801120448179
weasley,0.0007002801120448179
zögerte,0.0007002801120448179
bevor,0.0007002801120448179
einstieg,0.0007002801120448179
wusste,0.0007002801120448179
abneigung,0.0007002801120448179
abscheu,0.0007002801120448179
reisen,0.0007002801120448179
magie,0.0007002801120448179
kämpfte,0.0007002801120448179
schließlich,0.0007002801120448179
triumphierten,0.0007002801120448179
kälte,0.0007002801120448179
inständige,0.0007002801120448179
bitten,0.0007002801120448179
kinder,0.0007002801120448179
ließ,0.0014005602240896359
guten,0.0007002801120448179
mutes,0.0007002801120448179
rücksitz,0.0007002801120448179
nieder,0.0007002801120448179
stiegen,0.0007002801120448179
wagen,0.0007002801120448179
fuhr,0.0007002801120448179
warten,0.0007002801120448179
allo,0.0007002801120448179
gar,0.0007002801120448179
überzeugenden,0.0007002801120448179
versuch,0.0007002801120448179
lässig,0.0007002801120448179
wirken,0.0007002801120448179
fragte,0.0007002801120448179
beobachtete,0.0007002801120448179
diverse,0.0007002801120448179
schmutzig,0.0014005602240896359
aussehende,0.0007002801120448179
gegenstände,0.0007002801120448179
auflas,0.0007002801120448179
gurgel,0.0014005602240896359
gepackt,0.0007002801120448179
pubs,0.0007002801120448179
gedrückt,0.0007002801120448179
hast,0.0028011204481792717
geholt,0.0007002801120448179
fast,0.0014005602240896359
nase,0.0028011204481792717
gegenüberstand,0.0007002801120448179
knall,0.0007002801120448179
ertönte,0.0007002801120448179
hände,0.0007002801120448179
weggerissen,0.0007002801120448179
wurden,0.0007002801120448179
fluchte,0.0007002801120448179
leibeskräften,0.0007002801120448179
drehte,0.0007002801120448179
stelle,0.0007002801120448179
sehen,0.0007002801120448179
wohin,0.0007002801120448179
verschwunden,0.0007002801120448179
sir,0.0007002801120448179
zögernd,0.0007002801120448179
hogsmeade,0.0007002801120448179
getroffen,0.0007002801120448179
verschluckten,0.0007002801120448179
frühstück,0.0007002801120448179
okay,0.0014005602240896359
tot,0.0007002801120448179
wurde,0.0021008403361344537
festgenommen,0.0007002801120448179
askaban,0.0007002801120448179
gebracht,0.0007002801120448179
führte,0.0007002801120448179
hinein,0.0007002801120448179
küche,0.0007002801120448179
lachend,0.0007002801120448179
schwatzend,0.0007002801120448179
stühlen,0.0007002801120448179
niederließen,0.0007002801120448179
tante,0.0007002801120448179
glänzende,0.0007002801120448179
arbeitsplatten,0.0007002801120448179
hockten,0.0007002801120448179
makellos,0.0007002801120448179
sauberen,0.0007002801120448179
haushaltsgeräte,0.0007002801120448179
lehnten,0.0007002801120448179
lang,0.0007002801120448179
schlaksig,0.0007002801120448179
buschige,0.0007002801120448179
langen,0.0021008403361344537
zopf,0.0007002801120448179
zurückgebunden,0.0007002801120448179
ununterscheidbar,0.0007002801120448179
grinsend,0.0007002801120448179
üblen,0.0007002801120448179
narben,0.0007002801120448179
haaren,0.0007002801120448179
freundlichem,0.0007002801120448179
gesicht,0.0007002801120448179
schütterem,0.0007002801120448179
leicht,0.0007002801120448179
schief,0.0007002801120448179
sitzender,0.0007002801120448179
brille,0.0007002801120448179
kampf,0.0007002801120448179
gezeichnet,0.0007002801120448179
bein,0.0007002801120448179
strahlend,0.0007002801120448179
blauen,0.0007002801120448179
auge,0.0007002801120448179
höhle,0.0007002801120448179
surrte,0.0007002801120448179
kurzes,0.0007002801120448179
lieblingsfarbe,0.0007002801120448179
trug,0.0007002801120448179
knalligen,0.0007002801120448179
pink,0.0007002801120448179
grauer,0.0007002801120448179
faltiger,0.0007002801120448179
schlank,0.0007002801120448179
schön,0.0014005602240896359
silbrig,0.0007002801120448179
blonden,0.0007002801120448179
kahlköpfig,0.0007002801120448179
schwarz,0.0007002801120448179
breitschultrig,0.0007002801120448179
struppigen,0.0007002801120448179
bart,0.0007002801120448179
gebückt,0.0007002801120448179
dastand,0.0007002801120448179
kopf,0.0007002801120448179
decke,0.0007002801120448179
stoßen,0.0007002801120448179
klein,0.0007002801120448179
erbärmlich,0.0007002801120448179
matten,0.0007002801120448179
bassetartigen,0.0007002801120448179
hundeaugen,0.0007002801120448179
verfilzten,0.0007002801120448179
ging,0.0007002801120448179
anblick,0.0007002801120448179
herz,0.0007002801120448179
warm,0.0007002801120448179
freute,0.0007002801120448179
unglaublich,0.0007002801120448179
sogar,0.0007002801120448179
letzten,0.0007002801120448179
zusammentreffen,0.0007002801120448179
erwürgt,0.0007002801120448179
hätte,0.0007002801120448179
wussten,0.0014005602240896359
sieben,0.0007002801120448179
geben,0.0007002801120448179
verwirrt,0.0007002801120448179
moment,0.0007002801120448179
aufgetaucht,0.0007002801120448179
falls,0.0007002801120448179
