term,relative_frequency
vertrauensschüler,0.0007530120481927711
stand,0.00037650602409638556
schüttelte,0.00037650602409638556
begeistert,0.0007530120481927711
hand,0.0011295180722891566
riefen,0.00037650602409638556
gut,0.0007530120481927711
gemacht,0.0011295180722891566
hervorragend,0.00037650602409638556
sagte,0.007153614457831325
wichtigtuerisch,0.00037650602409638556
kopf,0.0007530120481927711
hinweg,0.00037650602409638556
slytherin,0.0007530120481927711
wurde,0.00037650602409638556
seite,0.00037650602409638556
sprachen,0.00037650602409638556
unterricht,0.00037650602409638556
hoffe,0.0011295180722891566
fangen,0.00037650602409638556
gleich,0.0007530120481927711
gibt,0.00037650602409638556
lernen,0.00037650602409638556
zieh,0.00037650602409638556
los,0.00037650602409638556
komm,0.0007530120481927711
schon,0.0015060240963855422
sogar,0.00037650602409638556
gekriegt,0.0007530120481927711
glücklicherweise,0.00037650602409638556
sah,0.002259036144578313
niemand,0.00037650602409638556
außer,0.0007530120481927711
augenblick,0.00037650602409638556
kam,0.002259036144578313
älterer,0.00037650602409638556
bruder,0.0011295180722891566
herein,0.0007530120481927711
bisher,0.00037650602409638556
mahlzeiten,0.00037650602409638556
gesehen,0.0015060240963855422
rest,0.00037650602409638556
zeit,0.00037650602409638556
blieb,0.00037650602409638556
zimmer,0.0007530120481927711
drehten,0.00037650602409638556
belebte,0.00037650602409638556
straße,0.00037650602409638556
rannten,0.00037650602409638556
natürlich,0.00037650602409638556
ehrgeizig,0.0007530120481927711
geplant,0.00037650602409638556
zaubereiminister,0.00037650602409638556
gedämpfter,0.00037650602409638556
stimme,0.0011295180722891566
buch,0.00037650602409638556
allein,0.0007530120481927711
ließen,0.0007530120481927711
endlich,0.00037650602409638556
bequem,0.00037650602409638556
rückbank,0.00037650602409638556
platz,0.0011295180722891566
genommen,0.00037650602409638556
spähte,0.0007530120481927711
mrs,0.0015060240963855422
weasley,0.002259036144578313
scheibe,0.00037650602409638556
wageninnere,0.00037650602409638556
muggel,0.00037650602409638556
mehr,0.0007530120481927711
zutrauen,0.00037650602409638556
wahr,0.00037650602409638556
stieß,0.00037650602409638556
rippen,0.00037650602409638556
nickte,0.00037650602409638556
richtung,0.00037650602409638556
nacht,0.0007530120481927711
rief,0.0007530120481927711
genau,0.0007530120481927711
gleichen,0.00037650602409638556
vorwurfsvollen,0.00037650602409638556
blick,0.0007530120481927711
aufgesetzt,0.0007530120481927711
wegen,0.00037650602409638556
heiser,0.00037650602409638556
brüllte,0.00037650602409638556
fabelhafte,0.00037650602409638556
anblick,0.0007530120481927711
mandarinefarbene,0.00037650602409638556
funken,0.00037650602409638556
ausstiebenden,0.00037650602409638556
salamanders,0.00037650602409638556
explosionen,0.00037650602409638556
begleitete,0.00037650602409638556
flucht,0.00037650602409638556
feuer,0.00037650602409638556
vertrieb,0.00037650602409638556
gedanken,0.0007530120481927711
wenig,0.0011295180722891566
umgesehen,0.00037650602409638556
meinte,0.0007530120481927711
achselzuckend,0.00037650602409638556
spuren,0.00037650602409638556
weißt,0.00037650602409638556
schwoll,0.00037650602409638556
weise,0.00037650602409638556
stark,0.00037650602409638556
erinnerte,0.0007530120481927711
setzten,0.00037650602409638556
abend,0.00037650602409638556
gemeinschaftsraum,0.00037650602409638556
weit,0.0007530120481927711
möglich,0.00037650602409638556
treibt,0.00037650602409638556
mädchentoilette,0.00037650602409638556
rum,0.00037650602409638556
lachte,0.00037650602409638556
gekünstelt,0.00037650602409638556
wartete,0.00037650602409638556
sicht,0.00037650602409638556
machte,0.00037650602409638556
schnurstracks,0.00037650602409638556
klo,0.0007530120481927711
maulenden,0.00037650602409638556
MYRTE,0.0007530120481927711
nehmen,0.00037650602409638556
vorhut,0.00037650602409638556
gänge,0.00037650602409638556
marschieren,0.00037650602409638556
rufen,0.00037650602409638556
macht,0.00037650602409638556
erben,0.00037650602409638556
gaaanz,0.00037650602409638556
böser,0.00037650602409638556
zauberer,0.0007530120481927711
kommt,0.00037650602409638556
missbilligte,0.00037650602409638556
verhalten,0.00037650602409638556
zutiefst,0.00037650602409638556
hätte,0.0018825301204819277
beinahe,0.00037650602409638556
entschuldigendes,0.00037650602409638556
wort,0.00037650602409638556
zugerufen,0.00037650602409638556
fing,0.0011295180722891566
jedoch,0.0007530120481927711
gerade,0.002259036144578313
rechtzeitig,0.00037650602409638556
hob,0.00037650602409638556
geduld,0.00037650602409638556
verloren,0.00037650602409638556
steht,0.0007530120481927711
schock,0.00037650602409638556
leise,0.00037650602409638556
wirklich,0.00037650602409638556
lieber,0.00037650602409638556
nie,0.0007530120481927711
unbehaglichen,0.00037650602409638556
miene,0.0011295180722891566
ach,0.0007530120481927711
beim,0.00037650602409638556
f,0.00037650602409638556
frühstück,0.00037650602409638556
sagen,0.0011295180722891566
k,0.00037650602409638556
konnte,0.0018825301204819277
s,0.00037650602409638556
sch,0.00037650602409638556
schwöre,0.00037650602409638556
r,0.00037650602409638556
VOLDEMORT,0.0007530120481927711
gebracht,0.00037650602409638556
h,0.00037650602409638556
geholt,0.00037650602409638556
hast,0.00037650602409638556
ding,0.00037650602409638556
getötet,0.00037650602409638556
streckte,0.00037650602409638556
feierlich,0.00037650602409638556
entgegen,0.0007530120481927711
hätten,0.00037650602409638556
hallo,0.0015060240963855422
mühte,0.00037650602409638556
lachen,0.0007530120481927711
neben,0.0011295180722891566
verschwunden,0.00037650602409638556
wandte,0.00037650602409638556
gesicht,0.0007530120481927711
rahmen,0.00037650602409638556
versteckt,0.00037650602409638556
nase,0.0007530120481927711
ganz,0.0015060240963855422
fleckig,0.00037650602409638556
geworden,0.00037650602409638556
begann,0.00037650602409638556
schneiten,0.00037650602409638556
gratulieren,0.0007530120481927711
abermals,0.00037650602409638556
weißglut,0.00037650602409638556
getrieben,0.00037650602409638556
später,0.00037650602409638556
murmelte,0.0007530120481927711
hereingestürmt,0.00037650602409638556
setzte,0.0007530120481927711
fond,0.00037650602409638556
wagens,0.00037650602409638556
bald,0.00037650602409638556
stiegen,0.00037650602409638556
abscheu,0.00037650602409638556
mal,0.0011295180722891566
tauchten,0.00037650602409638556
beide,0.00037650602409638556
wandten,0.00037650602409638556
ab,0.00037650602409638556
verbergen,0.00037650602409638556
mädchen,0.0007530120481927711
langem,0.00037650602409638556
lockenhaar,0.00037650602409638556
hinüberschritt,0.00037650602409638556
geschwellter,0.00037650602409638556
brust,0.0007530120481927711
schimmerndes,0.00037650602409638556
abzeichen,0.00037650602409638556
unmöglich,0.00037650602409638556
übersehen,0.00037650602409638556
stühle,0.00037650602409638556
entfernt,0.0007530120481927711
saß,0.0007530120481927711
warf,0.00037650602409638556
erneut,0.00037650602409638556
blickte,0.0007530120481927711
achtung,0.00037650602409638556
heischend,0.00037650602409638556
runde,0.00037650602409638556
beobachtete,0.00037650602409638556
suchte,0.00037650602409638556
schlafsäcken,0.00037650602409638556
umherstreifte,0.00037650602409638556
tadelte,0.00037650602409638556
unterhielten,0.00037650602409638556
hörten,0.00037650602409638556
näher,0.00037650602409638556
kommen,0.0007530120481927711
taten,0.00037650602409638556
schleunigst,0.00037650602409638556
schlafen,0.00037650602409638556
öffnete,0.0007530120481927711
winzigen,0.00037650602409638556
schlitzbreit,0.00037650602409638556
augen,0.00037650602409638556
dreien,0.00037650602409638556
empor,0.00037650602409638556
kehrte,0.00037650602409638556
rücken,0.00037650602409638556
atemlos,0.00037650602409638556
gespannte,0.00037650602409638556
zornerfülltes,0.00037650602409638556
profil,0.00037650602409638556
sehen,0.0007530120481927711
lehrer,0.00037650602409638556
begleiteten,0.00037650602409638556
irgendwelchen,0.00037650602409638556
vorwänden,0.00037650602409638556
korridore,0.00037650602409638556
anweisung,0.00037650602409638556
mutter,0.00037650602409638556
argwöhnte,0.00037650602409638556
folgte,0.0007530120481927711
überallhin,0.00037650602409638556
äußerst,0.00037650602409638556
wichtigtuerischer,0.00037650602409638556
wachhund,0.00037650602409638556
behauptete,0.00037650602409638556
