term,relative_frequency
sagte,0.013485477178423237
schriller,0.001037344398340249
stimme,0.008298755186721992
täuschte,0.001037344398340249
ausgiebiges,0.001037344398340249
gähnen,0.001037344398340249
augen,0.0031120331950207467
wanderten,0.001037344398340249
raum,0.001037344398340249
umher,0.001037344398340249
blieben,0.001037344398340249
ruhen,0.001037344398340249
kam,0.002074688796680498
bekannt,0.001037344398340249
oh,0.001037344398340249
na,0.001037344398340249
schön,0.001037344398340249
zauberer,0.001037344398340249
namens,0.001037344398340249
beäugte,0.001037344398340249
leichter,0.001037344398340249
sorge,0.001037344398340249
zauberstab,0.002074688796680498
obwohl,0.0031120331950207467
inzwischen,0.001037344398340249
wahrscheinlich,0.001037344398340249
bild,0.002074688796680498
zerstört,0.001037344398340249
ja,0.002074688796680498
meisten,0.001037344398340249
familie,0.001037344398340249
rausgeworfen,0.001037344398340249
weiß,0.001037344398340249
wohl,0.001037344398340249
porträt,0.004149377593360996
zerstören,0.001037344398340249
darf,0.001037344398340249
fiel,0.001037344398340249
sofort,0.001037344398340249
schon,0.001037344398340249
gehört,0.001037344398340249
scheinbar,0.001037344398340249
leeren,0.002074688796680498
rahmen,0.0031120331950207467
schlafzimmer,0.001037344398340249
grimmauldplatz,0.002074688796680498
gedrungen,0.001037344398340249
verletzt,0.002074688796680498
frau,0.001037344398340249
kinder,0.001037344398340249
kommen,0.002074688796680498
haus,0.001037344398340249
betete,0.001037344398340249
gelangweilter,0.001037344398340249
herunter,0.001037344398340249
meinte,0.001037344398340249
sei,0.002074688796680498
schwer,0.001037344398340249
frag,0.001037344398340249
leinwand,0.002074688796680498
porträts,0.001037344398340249
erschienen,0.001037344398340249
gelehnt,0.001037344398340249
betrachtete,0.001037344398340249
belustigter,0.001037344398340249
miene,0.001037344398340249
rein,0.001037344398340249
gar,0.001037344398340249
zog,0.001037344398340249
schmale,0.001037344398340249
schwarze,0.001037344398340249
augenbraue,0.001037344398340249
hoch,0.001037344398340249
unverschämt,0.001037344398340249
finden,0.001037344398340249
weißt,0.001037344398340249
lauter,0.001037344398340249
genau,0.002074688796680498
grund,0.001037344398340249
warum,0.001037344398340249
lehrerberuf,0.001037344398340249
gehasst,0.001037344398340249
zuschwang,0.001037344398340249
hörte,0.001037344398340249
dumm,0.001037344398340249
wäre,0.002074688796680498
VOLDEMORT,0.002074688796680498
list,0.001037344398340249
hereinzufallen,0.001037344398340249
überzeugt,0.001037344398340249
traum,0.001037344398340249
gesehen,0.001037344398340249
wirklichkeit,0.001037344398340249
denken,0.001037344398340249
möglichkeit,0.001037344398340249
zugelassen,0.001037344398340249
hätte,0.001037344398340249
gemeint,0.001037344398340249
vorliebe,0.001037344398340249
helden,0.001037344398340249
spielen,0.001037344398340249
gesetzt,0.001037344398340249
unerträglich,0.001037344398340249
darüber,0.001037344398340249
nachdenken,0.001037344398340249
hielt,0.0031120331950207467
schreckliche,0.001037344398340249
leere,0.001037344398340249
spüren,0.001037344398340249
erforschen,0.001037344398340249
dunkles,0.001037344398340249
loch,0.001037344398340249
verschwunden,0.001037344398340249
allein,0.001037344398340249
müssen,0.001037344398340249
großen,0.001037344398340249
stillen,0.001037344398340249
büro,0.002074688796680498
konnte,0.002074688796680498
ertragen,0.001037344398340249
drang,0.001037344398340249
besonders,0.001037344398340249
lautes,0.001037344398340249
grunzendes,0.001037344398340249
schnarchen,0.001037344398340249
kühle,0.001037344398340249
ah,0.002074688796680498
gähnte,0.001037344398340249
herzhaft,0.001037344398340249
streckte,0.001037344398340249
arme,0.001037344398340249
schlauem,0.001037344398340249
blick,0.002074688796680498
schmalen,0.001037344398340249
ansah,0.001037344398340249
wusste,0.0031120331950207467
tot,0.002074688796680498
sagen,0.001037344398340249
richtig,0.001037344398340249
verstanden,0.001037344398340249
links,0.001037344398340249
langsamer,0.001037344398340249
ururenkel,0.001037344398340249
letzte,0.001037344398340249
blacks,0.001037344398340249
wandte,0.002074688796680498
kopf,0.0031120331950207467
sah,0.0031120331950207467
gerade,0.001037344398340249
schritt,0.001037344398340249
gemälde,0.001037344398340249
besuchen,0.002074688796680498
gegangen,0.001037344398340249
fragte,0.001037344398340249
eindeutig,0.001037344398340249
gefühl,0.002074688796680498
vielleicht,0.002074688796680498
weit,0.001037344398340249
gehen,0.001037344398340249
offenbar,0.001037344398340249
teilte,0.001037344398340249
zischte,0.001037344398340249
leise,0.001037344398340249
schulleiter,0.001037344398340249
schulleiterinnen,0.001037344398340249
wänden,0.001037344398340249
ringsumher,0.001037344398340249
schienen,0.001037344398340249
entscheidung,0.001037344398340249
weniger,0.001037344398340249
beeindruckt,0.001037344398340249
schüttelten,0.001037344398340249
schnaubte,0.001037344398340249
sogar,0.002074688796680498
wütend,0.001037344398340249
geschlafen,0.001037344398340249
dennoch,0.001037344398340249
atem,0.001037344398340249
niederkniete,0.001037344398340249
mitte,0.001037344398340249
richtete,0.001037344398340249
räusperte,0.001037344398340249
ähm,0.001037344398340249
egal,0.001037344398340249
erstarrte,0.001037344398340249
gab,0.001037344398340249
versuche,0.001037344398340249
gemalte,0.001037344398340249
augenbinde,0.001037344398340249
herunterzuziehen,0.001037344398340249
interesse,0.001037344398340249
wachhalten,0.001037344398340249
drehte,0.001037344398340249
richtungen,0.001037344398340249
möglichst,0.001037344398340249
erhaschen,0.001037344398340249
gesicht,0.002074688796680498
richtung,0.001037344398340249
gekommen,0.001037344398340249
wenig,0.001037344398340249
geknickt,0.001037344398340249
heftiger,0.001037344398340249
bemühte,0.001037344398340249
verlassen,0.001037344398340249
quetschte,0.001037344398340249
perlentasche,0.001037344398340249
verschloss,0.001037344398340249
warf,0.002074688796680498
beiseite,0.001037344398340249
blickte,0.001037344398340249
strahlendem,0.001037344398340249
zuvor,0.001037344398340249
erklärt,0.001037344398340249
nie,0.001037344398340249
schien,0.001037344398340249
gelegenheit,0.001037344398340249
entgehen,0.001037344398340249
lassen,0.001037344398340249
mehr,0.001037344398340249
pläne,0.001037344398340249
herauszufinden,0.001037344398340249
willigte,0.001037344398340249
paar,0.001037344398340249
tage,0.001037344398340249
verbundenen,0.001037344398340249
erscheinen,0.001037344398340249
energischem,0.001037344398340249
durchgreifen,0.001037344398340249
erzählte,0.001037344398340249
stellte,0.001037344398340249
kurzen,0.001037344398340249
wahnhaften,0.001037344398340249
moment,0.002074688796680498
tatsächlich,0.001037344398340249
einfach,0.001037344398340249
schule,0.001037344398340249
zurückgehen,0.001037344398340249
mithelfen,0.001037344398340249
regime,0.001037344398340249
untergraben,0.001037344398340249
essen,0.001037344398340249
versorgt,0.001037344398340249
weichen,0.001037344398340249
bett,0.001037344398340249
schlafen,0.001037344398340249
leute,0.001037344398340249
kümmerten,0.001037344398340249
erschien,0.001037344398340249
herrlichste,0.001037344398340249
sache,0.001037344398340249
welt,0.001037344398340249
machte,0.001037344398340249
