term,relative_frequency
trug,0.001589825119236884
arm,0.001589825119236884
voll,0.001589825119236884
mullbinden,0.001589825119236884
erneuten,0.001589825119236884
anflug,0.001589825119236884
schuldgefühlen,0.001589825119236884
erkannte,0.003179650238473768
ferne,0.001589825119236884
peitschende,0.001589825119236884
weide,0.001589825119236884
etliche,0.001589825119236884
zweige,0.001589825119236884
bandagen,0.001589825119236884
lenkte,0.0047694753577106515
ab,0.001589825119236884
klasse,0.001589825119236884
hässlichsten,0.001589825119236884
pflanzen,0.001589825119236884
zeigte,0.001589825119236884
je,0.001589825119236884
gesehen,0.003179650238473768
sagen,0.003179650238473768
berichtet,0.001589825119236884
taktvolle,0.001589825119236884
art,0.001589825119236884
aufzumuntern,0.001589825119236884
fand,0.001589825119236884
bekam,0.001589825119236884
selten,0.001589825119236884
hören,0.001589825119236884
irgendetwas,0.001589825119236884
gut,0.003179650238473768
sei,0.003179650238473768
gefühl,0.0047694753577106515
sogar,0.001589825119236884
sprechen,0.001589825119236884
schließlich,0.003179650238473768
leiterin,0.001589825119236884
hauses,0.001589825119236884
hufflepuff,0.001589825119236884
feuerblitz,0.001589825119236884
brauchte,0.001589825119236884
flüsterte,0.001589825119236884
nachdem,0.001589825119236884
drei,0.003179650238473768
minuten,0.001589825119236884
später,0.001589825119236884
gewächshaus,0.003179650238473768
gestürmt,0.001589825119236884
vorbeigehen,0.001589825119236884
rasch,0.003179650238473768
entschuldigung,0.001589825119236884
zugemurmelt,0.001589825119236884
gehst,0.001589825119236884
besten,0.001589825119236884
krankenflügel,0.001589825119236884
sagte,0.001589825119236884
eulen,0.001589825119236884
davonflogen,0.001589825119236884
abgeblieben,0.001589825119236884
gewarnt,0.001589825119236884
augenbrauen,0.003179650238473768
zerzausten,0.001589825119236884
haar,0.001589825119236884
verschwunden,0.001589825119236884
mund,0.001589825119236884
dünnlippig,0.001589825119236884
nie,0.0047694753577106515
dunkle,0.001589825119236884
dermaßen,0.001589825119236884
zusammengezogen,0.001589825119236884
eindeutig,0.001589825119236884
falke,0.001589825119236884
wirkte,0.001589825119236884
sah,0.001589825119236884
deutlich,0.001589825119236884
sagenden,0.001589825119236884
blick,0.001589825119236884
tauschte,0.001589825119236884
hätte,0.001589825119236884
gewünscht,0.001589825119236884
lehrer,0.001589825119236884
allesamt,0.001589825119236884
bleiben,0.001589825119236884
lassen,0.001589825119236884
allmählich,0.001589825119236884
überkam,0.001589825119236884
mal,0.003179650238473768
einfiel,0.001589825119236884
viele,0.001589825119236884
hausaufgaben,0.001589825119236884
erledigen,0.001589825119236884
bohrendes,0.001589825119236884
angst,0.001589825119236884
magen,0.001589825119236884
dramatisch,0.001589825119236884
verschlimmerte,0.001589825119236884
ende,0.0047694753577106515
stunde,0.001589825119236884
weiteren,0.001589825119236884
aufsatz,0.001589825119236884
aufgab,0.001589825119236884
gryffindor,0.001589825119236884
zwanzig,0.001589825119236884
punkte,0.001589825119236884
gießkanne,0.001589825119236884
reichte,0.001589825119236884
strahlender,0.001589825119236884
professor,0.0047694753577106515
drückte,0.001589825119236884
zauberkunst,0.001589825119236884
schachtel,0.001589825119236884
quiekender,0.001589825119236884
zuckermäuse,0.001589825119236884
hand,0.001589825119236884
machte,0.003179650238473768
schhh,0.001589825119236884
mittwoch,0.001589825119236884
zutiefst,0.001589825119236884
dankbar,0.001589825119236884
moment,0.001589825119236884
komplimentierte,0.001589825119236884
zwang,0.001589825119236884
sermon,0.001589825119236884
abzubrechen,0.001589825119236884
antwortete,0.001589825119236884
schob,0.001589825119236884
menge,0.003179650238473768
vorbei,0.003179650238473768
quiekend,0.001589825119236884
versuchte,0.001589825119236884
paar,0.001589825119236884
ravenclaws,0.001589825119236884
richtig,0.001589825119236884
aufzustellen,0.001589825119236884
vorne,0.001589825119236884
stehen,0.001589825119236884
wollten,0.001589825119236884
hufflepuffs,0.001589825119236884
reihe,0.001589825119236884
scheuchte,0.001589825119236884
macmillan,0.001589825119236884
herumschlüpfte,0.001589825119236884
platz,0.001589825119236884
ganz,0.001589825119236884
ergatterte,0.001589825119236884
direkt,0.001589825119236884
allgemeinen,0.001589825119236884
aufruhr,0.001589825119236884
nutzte,0.001589825119236884
streit,0.001589825119236884
fortzusetzen,0.001589825119236884
zwei,0.001589825119236884
meter,0.001589825119236884
entfernt,0.001589825119236884
stand,0.003179650238473768
rebellisch,0.001589825119236884
dreinblickte,0.001589825119236884
lagen,0.001589825119236884
genau,0.001589825119236884
deutliche,0.001589825119236884
laune,0.001589825119236884
