term,relative_frequency
fragte,0.0007093456286575634
woher,0.00017733640716439085
professor,0.0026600461074658627
namen,0.0005320092214931725
kannte,0.0005320092214931725
ließ,0.0008866820358219542
schreibtisch,0.0003546728143287817
nieder,0.00017733640716439085
begann,0.0003546728143287817
umschweife,0.00017733640716439085
eule,0.00017733640716439085
vorausgeschickt,0.00017733640716439085
benachrichtigen,0.00017733640716439085
zug,0.00017733640716439085
erkrankt,0.00017733640716439085
zugabteil,0.00017733640716439085
gesessen,0.00017733640716439085
gehörte,0.00017733640716439085
klatschten,0.00017733640716439085
wild,0.0003546728143287817
hände,0.0005320092214931725
habt,0.00017733640716439085
fragen,0.0003546728143287817
beginn,0.0003546728143287817
unterrichts,0.00017733640716439085
richtig,0.00017733640716439085
beantwortet,0.00017733640716439085
sagte,0.009930838801205887
gelassen,0.0003546728143287817
ging,0.0007093456286575634
rasch,0.0005320092214931725
zurück,0.0008866820358219542
sehen,0.0007093456286575634
wer,0.0003546728143287817
traf,0.00017733640716439085
bürotür,0.00017733640716439085
beugte,0.0003546728143287817
erzählt,0.0003546728143287817
reichte,0.00017733640716439085
leicht,0.0005320092214931725
angeschrammte,0.00017733640716439085
teetasse,0.00017733640716439085
feigling,0.00017733640716439085
halten,0.00017733640716439085
ohnehin,0.00017733640716439085
schon,0.0017733640716439084
glauben,0.0003546728143287817
schien,0.0007093456286575634
irrwicht,0.00017733640716439085
aufnehmen,0.00017733640716439085
konnte,0.001064018442986345
vorging,0.00017733640716439085
gesicht,0.00212803688597269
verraten,0.0003546728143287817
hast,0.0005320092214931725
problem,0.00017733640716439085
verdutzt,0.00017733640716439085
erwartet,0.00017733640716439085
bestreiten,0.00017733640716439085
offenbar,0.0007093456286575634
lag,0.001064018442986345
falsch,0.00017733640716439085
sah,0.004610746586274162
immer,0.00212803688597269
stirnrunzelnd,0.00017733640716439085
stellte,0.00017733640716439085
dampfenden,0.00017733640716439085
becher,0.0003546728143287817
ab,0.0008866820358219542
dabei,0.0005320092214931725
abwechselnd,0.0003546728143287817
gerade,0.0014186912573151268
grindeloh,0.00017733640716439085
gezeigt,0.00017733640716439085
freundlich,0.0005320092214931725
deutete,0.0003546728143287817
aquarium,0.00017733640716439085
nahm,0.0005320092214931725
schlürfer,0.00017733640716439085
spürte,0.0003546728143287817
plötzlich,0.0005320092214931725
verzweifelten,0.00017733640716439085
drang,0.00017733640716439085
hand,0.0008866820358219542
schlagen,0.00017733640716439085
wisst,0.00017733640716439085
senkte,0.0003546728143287817
stimme,0.001064018442986345
nervös,0.0003546728143287817
wirklich,0.0003546728143287817
versucht,0.0003546728143287817
vergiften,0.00017733640716439085
hätte,0.0026600461074658627
getan,0.0003546728143287817
bevor,0.00017733640716439085
unterbrach,0.00017733640716439085
notizen,0.00017733640716439085
stoff,0.00017733640716439085
hinterlassen,0.00017733640716439085
bisher,0.00017733640716439085
behandelt,0.0007093456286575634
bitte,0.00017733640716439085
sir,0.00017733640716439085
irrwichte,0.00017733640716439085
rotkappen,0.00017733640716439085
kappas,0.00017733640716439085
grindelohs,0.00017733640716439085
sprudelte,0.00017733640716439085
los,0.0005320092214931725
wollten,0.0005320092214931725
schweigen,0.00017733640716439085
kalter,0.00017733640716439085
läutete,0.00017733640716439085
packten,0.0003546728143287817
sachen,0.00017733640716439085
gingen,0.00017733640716439085
tür,0.0007093456286575634
wart,0.00017733640716439085
moment,0.0008866820358219542
rief,0.0007093456286575634
möchte,0.0005320092214931725
kurz,0.0003546728143287817
sprechen,0.00017733640716439085
kam,0.001064018442986345
glaskasten,0.00017733640716439085
hinkepanks,0.00017733640716439085
tuch,0.00017733640716439085
abdeckte,0.00017733640716439085
schwäche,0.00017733640716439085
tun,0.0008866820358219542
scharf,0.0003546728143287817
gedanken,0.0003546728143287817
lesen,0.00017733640716439085
nahe,0.00017733640716439085
kommen,0.0007093456286575634
starrte,0.001241354850150736
zugeschnürter,0.00017733640716439085
kehle,0.00017733640716439085
pult,0.00017733640716439085
hören,0.0005320092214931725
VOLDEMORT,0.00017733640716439085
mutter,0.0005320092214931725
ermordet,0.00017733640716439085
machte,0.0007093456286575634
jähe,0.00017733640716439085
bewegung,0.00017733640716439085
rechten,0.00017733640716439085
arm,0.001064018442986345
schulter,0.0007093456286575634
packen,0.00017733640716439085
besann,0.00017733640716439085
wäre,0.0007093456286575634
fachmann,0.00017733640716439085
kampf,0.0003546728143287817
dementoren,0.0007093456286575634
ganz,0.0008866820358219542
gegenteil,0.00017733640716439085
nächsten,0.0003546728143287817
kämpfen,0.00017733640716439085
entschlossenes,0.00017733640716439085
zögerte,0.00017733640716439085
gut,0.0007093456286575634
versprechen,0.0003546728143287817
kunst,0.0003546728143287817
verteidigung,0.0005320092214931725
einzuweihen,0.00017733640716439085
hoffnung,0.0005320092214931725
tod,0.00017733640716439085
nie,0.0007093456286575634
mehr,0.001064018442986345
anhören,0.00017733640716439085
müssen,0.0003546728143287817
tatsache,0.00017733640716439085
ravenclaw,0.00017733640716439085
hufflepuffs,0.00017733640716439085
ende,0.00017733640716439085
november,0.00017733640716439085
einfach,0.0005320092214931725
plattmachte,0.00017733640716439085
all,0.00017733640716439085
hob,0.0005320092214931725
stimmung,0.0003546728143287817
beträchtlich,0.00017733640716439085
ah,0.00017733640716439085
ja,0.001241354850150736
schluss,0.00017733640716439085
stunde,0.00017733640716439085
erinnerte,0.0005320092214931725
mühte,0.0003546728143287817
klingen,0.00017733640716439085
locker,0.00017733640716439085
froh,0.00017733640716439085
guten,0.0003546728143287817
ersatz,0.00017733640716439085
echten,0.00017733640716439085
dementor,0.0005320092214931725
gefunden,0.00017733640716439085
zauberstab,0.0017733640716439084
gezückt,0.00017733640716439085
bedeutete,0.00017733640716439085
nachzutun,0.00017733640716439085
komm,0.00017733640716439085
gab,0.0005320092214931725
saftige,0.00017733640716439085
ohrfeige,0.00017733640716439085
schreien,0.00017733640716439085
kopf,0.0005320092214931725
klang,0.00017733640716439085
diesmal,0.0003546728143287817
dringe,0.00017733640716439085
schlecht,0.0003546728143287817
eingestellten,0.00017733640716439085
radio,0.00017733640716439085
leiser,0.0003546728143287817
lauter,0.00017733640716439085
blieb,0.0005320092214931725
stehen,0.0005320092214931725
rauschte,0.00017733640716439085
mächtiger,0.00017733640716439085
silberner,0.00017733640716439085
schatten,0.00017733640716439085
spitze,0.00017733640716439085
schweben,0.00017733640716439085
