term,relative_frequency
o,0.0037174721189591076
nein,0.0037174721189591076
ging,0.0037174721189591076
knie,0.0037174721189591076
rücken,0.0037174721189591076
verstecken,0.0037174721189591076
augenblick,0.0037174721189591076
schwebte,0.0037174721189591076
vorbei,0.0037174721189591076
begleitet,0.0037174721189591076
ravenclaws,0.0037174721189591076
eindruck,0.0037174721189591076
beschäftigt,0.007434944237918215
anzustarren,0.0037174721189591076
wort,0.0037174721189591076
verstanden,0.0037174721189591076
hätte,0.0037174721189591076
klang,0.0037174721189591076
irgendwie,0.0037174721189591076
danach,0.0037174721189591076
sollten,0.0037174721189591076
dazwischenplatzen,0.0037174721189591076
blickte,0.0037174721189591076
sah,0.007434944237918215
ganz,0.0037174721189591076
nähe,0.0037174721189591076
halb,0.0037174721189591076
verdeckt,0.0037174721189591076
rosenbusch,0.007434944237918215
tippte,0.0037174721189591076
schulter,0.0037174721189591076
nickte,0.0037174721189591076
beiden,0.0037174721189591076
hinüber,0.0037174721189591076
bedeuten,0.0037174721189591076
leicht,0.0037174721189591076
unbemerkt,0.0037174721189591076
entkommen,0.0037174721189591076
konnten,0.0037174721189591076
kamen,0.0037174721189591076
stimme,0.0037174721189591076
gellte,0.0037174721189591076
nebelhorn,0.0037174721189591076
friedliche,0.0037174721189591076
nacht,0.0037174721189591076
hörte,0.0037174721189591076
stürzten,0.0037174721189591076
wäre,0.0037174721189591076
lieber,0.0037174721189591076
hätten,0.0037174721189591076
bleiben,0.0037174721189591076
lassen,0.0037174721189591076
gefühl,0.007434944237918215
maßstäbe,0.0037174721189591076
setzte,0.0037174721189591076
bald,0.0037174721189591076
erwarten,0.0037174721189591076
mithielt,0.0037174721189591076
sagte,0.0037174721189591076
magen,0.0037174721189591076
gerade,0.0037174721189591076
salto,0.0037174721189591076
rückwärts,0.0037174721189591076
hinlegte,0.0037174721189591076
eher,0.0037174721189591076
schwächlich,0.0037174721189591076
schlingerte,0.0037174721189591076
aufs,0.0037174721189591076
feld,0.0037174721189591076
herauskam,0.0037174721189591076
glänzendes,0.0037174721189591076
schwarzes,0.0037174721189591076
haar,0.0037174721189591076
leichten,0.0037174721189591076
brise,0.0037174721189591076
wellte,0.0037174721189591076
ehrlich,0.0037174721189591076
gesagt,0.0037174721189591076
spiel,0.0037174721189591076
mitgekriegt,0.0037174721189591076
erste,0.0037174721189591076
tor,0.0037174721189591076
