term,relative_frequency
rotblonde,0.0005652911249293386
junge,0.0005652911249293386
schlange,0.0005652911249293386
saß,0.0005652911249293386
fast,0.0016958733747880158
minute,0.0005652911249293386
lang,0.0011305822498586771
stuhl,0.0005652911249293386
bevor,0.0011305822498586771
hut,0.0011305822498586771
verkündete,0.0011305822498586771
sei,0.0011305822498586771
gryffindor,0.0005652911249293386
paar,0.0005652911249293386
lachten,0.0005652911249293386
fing,0.0005652911249293386
blick,0.0033917467495760316
zuzwinkerte,0.0005652911249293386
trotz,0.0005652911249293386
konnte,0.0005652911249293386
gerade,0.0016958733747880158
gelungenen,0.0005652911249293386
abschluss,0.0005652911249293386
tages,0.0005652911249293386
reden,0.0005652911249293386
dachte,0.0005652911249293386
später,0.0005652911249293386
lange,0.0005652911249293386
wach,0.0005652911249293386
lag,0.0005652911249293386
hörte,0.0005652911249293386
einschliefen,0.0005652911249293386
krankenflügel,0.0005652911249293386
zurückgekehrt,0.0005652911249293386
partner,0.0005652911249293386
worüber,0.0005652911249293386
froh,0.0005652911249293386
schon,0.002826455624646693
herübergespäht,0.0005652911249293386
wutschten,0.0005652911249293386
schnipsten,0.0005652911249293386
feder,0.0005652911249293386
himmelwärts,0.0005652911249293386
schicken,0.0005652911249293386
sollten,0.0005652911249293386
blieb,0.0005652911249293386
einfach,0.0011305822498586771
tisch,0.0022611644997173543
liegen,0.0005652911249293386
wurde,0.0011305822498586771
ungeduldig,0.0005652911249293386
zauberstab,0.0016958733747880158
anstachelte,0.0005652911249293386
worauf,0.0005652911249293386
anfing,0.0005652911249293386
brennen,0.0005652911249293386
feuer,0.0005652911249293386
ersticken,0.0005652911249293386
brauchst,0.0005652911249293386
kraft,0.0005652911249293386
sagte,0.007348784624081402
danke,0.0005652911249293386
sah,0.0045223289994347085
ketchup,0.0005652911249293386
würste,0.0005652911249293386
schüttete,0.0005652911249293386
spielte,0.0005652911249293386
schachmenschen,0.0005652911249293386
geliehen,0.0005652911249293386
trauten,0.0005652911249293386
überhaupt,0.0011305822498586771
leiser,0.0005652911249293386
stimme,0.0005652911249293386
aufzuwecken,0.0005652911249293386
wiederholte,0.0011305822498586771
wort,0.0005652911249293386
gehört,0.0016958733747880158
traf,0.0005652911249293386
mitschüler,0.0005652911249293386
haus,0.0005652911249293386
gryffindors,0.0005652911249293386
hallo,0.0005652911249293386
beugte,0.0005652911249293386
messingwaage,0.0005652911249293386
borgen,0.0005652911249293386
hast,0.0005652911249293386
fragte,0.0016958733747880158
grinsend,0.0005652911249293386
näher,0.0005652911249293386
getreten,0.0005652911249293386
begrüßt,0.0005652911249293386
aaaah,0.0005652911249293386
geheimnisvoll,0.0005652911249293386
waberndes,0.0005652911249293386
flüstern,0.0005652911249293386
nachahmend,0.0005652911249293386
zwei,0.0011305822498586771
neptune,0.0005652911249293386
himmel,0.0005652911249293386
erscheinen,0.0005652911249293386
sicheres,0.0005652911249293386
zeichen,0.0005652911249293386
zwerg,0.0005652911249293386
brille,0.0005652911249293386
geboren,0.0005652911249293386
nebentisch,0.0005652911249293386
arbeiteten,0.0005652911249293386
wieherten,0.0005652911249293386
laut,0.0016958733747880158
genug,0.0005652911249293386
aufgeregte,0.0005652911249293386
kreischen,0.0005652911249293386
übertönen,0.0005652911249293386
o,0.0005652911249293386
professor,0.0011305822498586771
sehen,0.0005652911249293386
herumbeugte,0.0005652911249293386
ansah,0.0005652911249293386
führte,0.0005652911249293386
hinüber,0.0011305822498586771
darüber,0.0005652911249293386
unterhielten,0.0011305822498586771
volljährigen,0.0005652911249293386
wohl,0.0005652911249293386
bewerben,0.0005652911249293386
bebte,0.0005652911249293386
zorn,0.0005652911249293386
moment,0.0005652911249293386
gefühl,0.0011305822498586771
früher,0.0005652911249293386
wandte,0.0011305822498586771
ab,0.0011305822498586771
ließ,0.0016958733747880158
allein,0.0011305822498586771
zurück,0.0022611644997173543
setzte,0.0005652911249293386
starrte,0.0005652911249293386
ei,0.0005652911249293386
zugeklappt,0.0005652911249293386
uhr,0.0005652911249293386
morgens,0.0005652911249293386
schließlich,0.0005652911249293386
schlafsaal,0.0016958733747880158
hochstieg,0.0005652911249293386
bemerkte,0.0005652911249293386
schweifen,0.0005652911249293386
unschöne,0.0005652911249293386
schnittwunde,0.0005652911249293386
wange,0.0005652911249293386
deren,0.0005652911249293386
umhang,0.0005652911249293386
stark,0.0005652911249293386
versengt,0.0005652911249293386
mehrere,0.0005652911249293386
verbrannte,0.0005652911249293386
finger,0.0005652911249293386
leckte,0.0005652911249293386
hüttenfenster,0.0005652911249293386
große,0.0016958733747880158
rest,0.0005652911249293386
klasse,0.0005652911249293386
nasen,0.0005652911249293386
scheibe,0.0005652911249293386
platt,0.0005652911249293386
drückte,0.0005652911249293386
wartete,0.0005652911249293386
luft,0.0005652911249293386
rein,0.0005652911249293386
mädchen,0.0011305822498586771
ging,0.0005652911249293386
ziemlich,0.0011305822498586771
verletzter,0.0005652911249293386
miene,0.0016958733747880158
davon,0.0005652911249293386
ganzen,0.0005652911249293386
geschichtsstunde,0.0005652911249293386
spötteleien,0.0005652911249293386
ergehen,0.0005652911249293386
lassen,0.0011305822498586771
zogen,0.0005652911249293386
oben,0.0005652911249293386
festumhänge,0.0005652911249293386
guckten,0.0005652911249293386
dabei,0.0005652911249293386
allesamt,0.0005652911249293386
recht,0.0011305822498586771
verlegen,0.0005652911249293386
wäsche,0.0005652911249293386
litt,0.0005652911249293386
qualen,0.0005652911249293386
hohen,0.0005652911249293386
spiegel,0.0005652911249293386
ecke,0.0005652911249293386
entsetzt,0.0005652911249293386
anstarrte,0.0005652911249293386
schwestern,0.0005652911249293386
schicksals,0.0005652911249293386
stimmten,0.0005652911249293386
langsame,0.0005652911249293386
traurige,0.0005652911249293386
melodie,0.0005652911249293386
ganz,0.0011305822498586771
darauf,0.0005652911249293386
bedacht,0.0005652911249293386
ja,0.002826455624646693
niemanden,0.0005652911249293386
anzusehen,0.0011305822498586771
schritt,0.0005652911249293386
hell,0.0005652911249293386
erleuchtete,0.0005652911249293386
tanzfläche,0.0005652911249293386
augenwinkeln,0.0005652911249293386
zuwinkten,0.0005652911249293386
kicherten,0.0005652911249293386
händen,0.0005652911249293386
gefasst,0.0005652911249293386
legte,0.0005652911249293386
hüfte,0.0005652911249293386
hielt,0.0005652911249293386
fest,0.0005652911249293386
eigenen,0.0005652911249293386
tut,0.0005652911249293386
unendlich,0.0005652911249293386
leid,0.0005652911249293386
