term,relative_frequency
oh,0.0008741258741258741
bemerkte,0.0008741258741258741
blasse,0.00043706293706293706
junge,0.00043706293706293706
lässig,0.00043706293706293706
blick,0.0017482517482517483
folgte,0.00043706293706293706
außer,0.0008741258741258741
verschwindet,0.00043706293706293706
sofort,0.0008741258741258741
sagte,0.0030594405594405595
mutiger,0.00043706293706293706
klang,0.00043706293706293706
fühlte,0.00043706293706293706
kräftiger,0.00043706293706293706
sah,0.004807692307692308
triumphierende,0.00043706293706293706
gesichter,0.00043706293706293706
benommen,0.00043706293706293706
hertrottete,0.00043706293706293706
raschen,0.00043706293706293706
schritts,0.00043706293706293706
schloss,0.0008741258741258741
zuging,0.00043706293706293706
schrie,0.0008741258741258741
sprang,0.00043706293706293706
sitz,0.0008741258741258741
sehen,0.0017482517482517483
direkt,0.0017482517482517483
zuraste,0.00043706293706293706
wälzten,0.0008741258741258741
stöhnen,0.00043706293706293706
schreien,0.00043706293706293706
knäuel,0.00043706293706293706
drang,0.00043706293706293706
bestand,0.00043706293706293706
großen,0.00043706293706293706
halle,0.00043706293706293706
kommen,0.00043706293706293706
sahen,0.0008741258741258741
verschwanden,0.00043706293706293706
rasch,0.0008741258741258741
rüstung,0.00043706293706293706
neben,0.00043706293706293706
eingangstür,0.00043706293706293706
sobald,0.0008741258741258741
sicher,0.0008741258741258741
eimern,0.00043706293706293706
wischern,0.00043706293706293706
verstaut,0.00043706293706293706
riss,0.00043706293706293706
paar,0.0013111888111888112
borsten,0.00043706293706293706
stirn,0.00043706293706293706
wuchsen,0.00043706293706293706
nahm,0.00043706293706293706
haare,0.0008741258741258741
warf,0.00043706293706293706
mittlere,0.00043706293706293706
letzte,0.0008741258741258741
glas,0.00043706293706293706
rannten,0.00043706293706293706
steinernen,0.00043706293706293706
stufen,0.00043706293706293706
hinunter,0.0008741258741258741
dunkelheit,0.00043706293706293706
tritte,0.00043706293706293706
hallten,0.0008741258741258741
besonders,0.00043706293706293706
laut,0.0008741258741258741
wider,0.00043706293706293706
füße,0.00043706293706293706
steine,0.00043706293706293706
krachten,0.00043706293706293706
höhnisch,0.00043706293706293706
grinsend,0.00043706293706293706
zeigte,0.00043706293706293706
erkannte,0.00043706293706293706
VOLDEMORT,0.00043706293706293706
kalender,0.00043706293706293706
hand,0.0017482517482517483
hielt,0.0008741258741258741
hörten,0.00043706293706293706
unterhielten,0.00043706293706293706
gedämpft,0.00043706293706293706
unangenehme,0.00043706293706293706
gefühl,0.00043706293706293706
ausheckten,0.00043706293706293706
unterricht,0.00043706293706293706
besten,0.0008741258741258741
stören,0.00043706293706293706
konnten,0.0008741258741258741
zuzwinkerte,0.00043706293706293706
abwandte,0.00043706293706293706
zornig,0.0008741258741258741
moment,0.0008741258741258741
rief,0.00043706293706293706
solltet,0.00043706293706293706
inzwischen,0.00043706293706293706
zutaten,0.00043706293706293706
reingemischt,0.00043706293706293706
trank,0.0013111888111888112
weile,0.00043706293706293706
köcheln,0.00043706293706293706
bevor,0.0008741258741258741
getrunken,0.00043706293706293706
räumt,0.00043706293706293706
wenig,0.00043706293706293706
blubbert,0.00043706293706293706
testen,0.00043706293706293706
gebräu,0.00043706293706293706
longbottom,0.00043706293706293706
lachten,0.00043706293706293706
fieberhaft,0.00043706293706293706
umrührte,0.00043706293706293706
brach,0.00043706293706293706
schweiß,0.00043706293706293706
kurz,0.00043706293706293706
umkleideraum,0.00043706293706293706
betrat,0.00043706293706293706
stadion,0.0008741258741258741
riesigen,0.00043706293706293706
schirm,0.00043706293706293706
hervor,0.00043706293706293706
lachend,0.00043706293706293706
deuteten,0.00043706293706293706
leise,0.00043706293706293706
schlich,0.00043706293706293706
bückte,0.00043706293706293706
grub,0.00043706293706293706
große,0.0008741258741258741
voll,0.00043706293706293706
schlamm,0.00043706293706293706
fußweg,0.00043706293706293706
duckte,0.00043706293706293706
seitlich,0.00043706293706293706
hob,0.0013111888111888112
ast,0.00043706293706293706
boden,0.0008741258741258741
schleuderte,0.00043706293706293706
rücken,0.00043706293706293706
schreck,0.00043706293706293706
ab,0.00043706293706293706
drehte,0.00043706293706293706
pirouette,0.00043706293706293706
luft,0.0008741258741258741
krümmte,0.00043706293706293706
stummem,0.00043706293706293706
lachen,0.00043706293706293706
einzige,0.00043706293706293706
konnte,0.0026223776223776225
ging,0.0008741258741258741
los,0.00043706293706293706
stellte,0.00043706293706293706
bein,0.00043706293706293706
riesiger,0.00043706293706293706
plattfuß,0.00043706293706293706
verhedderte,0.00043706293706293706
saum,0.00043706293706293706
umhang,0.00043706293706293706
standen,0.00043706293706293706
aufgerissenen,0.00043706293706293706
mündern,0.00043706293706293706
fiel,0.0013111888111888112
schienen,0.00043706293706293706
ungefähr,0.00043706293706293706
statur,0.00043706293706293706
hang,0.00043706293706293706
herauf,0.00043706293706293706
näher,0.0017482517482517483
kamen,0.0008741258741258741
licht,0.0008741258741258741
eingangshalle,0.0008741258741258741
gestalten,0.00043706293706293706
deshalb,0.00043706293706293706
massig,0.00043706293706293706
wirkten,0.00043706293706293706
mäntel,0.00043706293706293706
art,0.0013111888111888112
zottigem,0.00043706293706293706
verfilztem,0.00043706293706293706
pelz,0.00043706293706293706
trugen,0.0008741258741258741
runde,0.00043706293706293706
feixen,0.00043706293706293706
aaah,0.00043706293706293706
seht,0.00043706293706293706
her,0.00043706293706293706
jungs,0.00043706293706293706
champion,0.00043706293706293706
persönlich,0.00043706293706293706
nah,0.00043706293706293706
genug,0.00043706293706293706
hören,0.00043706293706293706
größte,0.00043706293706293706
teil,0.00043706293706293706
klasse,0.00043706293706293706
erste,0.00043706293706293706
hintertür,0.00043706293706293706
hütte,0.00043706293706293706
geflohen,0.00043706293706293706
verbarrikadiert,0.00043706293706293706
jedoch,0.0008741258741258741
gehörten,0.00043706293706293706
draußen,0.0008741258741258741
blieben,0.0008741258741258741
versuchten,0.0008741258741258741
helfen,0.00043706293706293706
beide,0.0008741258741258741
grün,0.00043706293706293706
ähnelten,0.0008741258741258741
moosbewachsenen,0.00043706293706293706
geröllblöcken,0.00043706293706293706
befriedigt,0.00043706293706293706
feststellte,0.00043706293706293706
beiden,0.00043706293706293706
gelungen,0.00043706293706293706
partnerin,0.00043706293706293706
finden,0.00043706293706293706
stimmte,0.00043706293706293706
allerdings,0.00043706293706293706
festgestellt,0.00043706293706293706
MYRTE,0.00043706293706293706
kaputtes,0.00043706293706293706
klo,0.00043706293706293706
beste,0.00043706293706293706
platz,0.0008741258741258741
insgeheim,0.00043706293706293706
brauen,0.00043706293706293706
verbotenen,0.00043706293706293706
zaubertrank,0.00043706293706293706
stunde,0.00043706293706293706
lebende,0.0008741258741258741
abbilder,0.00043706293706293706
verwandelt,0.00043706293706293706
gemeinschaftsraum,0.0013111888111888112
slytherins,0.0017482517482517483
schmuggeln,0.00043706293706293706
gewächshaus,0.00043706293706293706
verließen,0.00043706293706293706
pflege,0.00043706293706293706
magischer,0.00043706293706293706
geschöpfe,0.00043706293706293706
machten,0.00043706293706293706
steintreppe,0.00043706293706293706
herunterkommen,0.00043706293706293706
drüben,0.00043706293706293706
flüstern,0.00043706293706293706
