term,relative_frequency
drehten,0.000778816199376947
belebte,0.000778816199376947
straße,0.000778816199376947
rannten,0.000778816199376947
sagte,0.007009345794392523
entrüstet,0.000778816199376947
gleich,0.000778816199376947
darauf,0.002336448598130841
lenkte,0.000778816199376947
anblick,0.001557632398753894
eltern,0.001557632398753894
ab,0.001557632398753894
nervös,0.000778816199376947
schalter,0.000778816199376947
standen,0.000778816199376947
große,0.000778816199376947
marmorne,0.000778816199376947
halle,0.000778816199376947
durchmaß,0.000778816199376947
warteten,0.000778816199376947
vorstellte,0.000778816199376947
bestand,0.000778816199376947
schluck,0.000778816199376947
tropfenden,0.000778816199376947
kessel,0.001557632398753894
mitzunehmen,0.000778816199376947
verabschiedeten,0.000778816199376947
pub,0.000778816199376947
richtung,0.000778816199376947
muggelstraße,0.000778816199376947
verließen,0.000778816199376947
gerade,0.002336448598130841
fragen,0.000778816199376947
bushaltestellen,0.000778816199376947
zuging,0.000778816199376947
verstummte,0.000778816199376947
jedoch,0.000778816199376947
sofort,0.000778816199376947
beim,0.000778816199376947
mrs,0.004672897196261682
weasleys,0.002336448598130841
miene,0.000778816199376947
wären,0.000778816199376947
natürlich,0.000778816199376947
ebenfalls,0.000778816199376947
willkommen,0.000778816199376947
fürchte,0.000778816199376947
gehen,0.002336448598130841
lieber,0.001557632398753894
schulfest,0.000778816199376947
kommen,0.001557632398753894
trollen,0.000778816199376947
mal,0.002336448598130841
hoch,0.000778816199376947
krankenflügel,0.000778816199376947
ähm,0.000778816199376947
begleiten,0.000778816199376947
las,0.000778816199376947
gerunzelter,0.000778816199376947
stirn,0.000778816199376947
titelseite,0.000778816199376947
tagespropheten,0.000778816199376947
weasley,0.003894080996884735
erzählte,0.000778816199376947
liebestrank,0.000778816199376947
junges,0.000778816199376947
mädchen,0.000778816199376947
gebraut,0.000778816199376947
sobald,0.001557632398753894
übrigen,0.000778816199376947
führten,0.000778816199376947
kleine,0.000778816199376947
gruppe,0.001557632398753894
vollen,0.000778816199376947
abteilen,0.000778816199376947
vorbei,0.000778816199376947
ans,0.000778816199376947
ende,0.000778816199376947
zuges,0.000778816199376947
waggon,0.000778816199376947
recht,0.002336448598130841
leer,0.000778816199376947
schien,0.001557632398753894
gemeinsam,0.000778816199376947
fand,0.000778816199376947
heraus,0.000778816199376947
meisten,0.000778816199376947
stangen,0.000778816199376947
heringe,0.000778816199376947
hingehörten,0.000778816199376947
obwohl,0.000778816199376947
eher,0.000778816199376947
hinderlich,0.000778816199376947
hilfreich,0.000778816199376947
richtig,0.001557632398753894
häuschen,0.000778816199376947
geriet,0.000778816199376947
holzhammer,0.000778816199376947
benutzen,0.001557632398753894
durfte,0.000778816199376947
schließlich,0.000778816199376947
paar,0.002336448598130841
abgenutzte,0.000778816199376947
zweimannzelte,0.000778816199376947
stehen,0.000778816199376947
wundern,0.000778816199376947
warf,0.001557632398753894
fragenden,0.000778816199376947
blick,0.001557632398753894
vieren,0.000778816199376947
erste,0.000778816199376947
zelt,0.000778816199376947
